^SAMPLE = GSM705470
!Sample_title = SJPHALL010
!Sample_geo_accession = GSM705470
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705470/suppl/GSM705470.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1055.4	P	0.001602
1053_at	405.3	P	0.001892
117_at	226.9	P	0.043968
121_at	1751.7	P	0.002617
1255_g_at	125.3	A	0.11716
1294_at	1919.3	P	0.000266
1316_at	218.4	P	0.017001
1320_at	137.4	A	0.581931
1405_i_at	112.6	A	0.078906
1431_at	139.6	A	0.081337
1438_at	234.1	A	0.52062
1487_at	524.4	P	0.048995
1494_f_at	500.9	A	0.066865
1598_g_at	559.9	A	0.098054
160020_at	818.7	P	0.035163
1729_at	508.4	P	0.002617
1773_at	331.4	A	0.204022
177_at	121.4	A	0.284747
179_at	1142.3	P	0.039365
1861_at	399.2	P	0.039365
200000_s_at	2365.2	P	0.000244
200001_at	5642.5	P	0.000244
200002_at	11078.3	P	0.000244
200003_s_at	19449.8	P	0.000244
200004_at	7106.5	P	0.000244
200005_at	4703.6	P	0.000244
200006_at	5333.2	P	0.000244
200007_at	5521.3	P	0.000244
200008_s_at	4708.5	P	0.000244
200009_at	8248.6	P	0.000244
200010_at	21188.9	P	0.000244
200011_s_at	2596.6	P	0.000244
200012_x_at	17658.8	P	0.000244
200013_at	14929.1	P	0.000244
200014_s_at	2131.2	P	0.000244
200015_s_at	2449.6	P	0.000732
200016_x_at	19591.9	P	0.000244
200017_at	21343	P	0.000732
200018_at	21931.6	P	0.000244
200019_s_at	18252.7	P	0.000244
200020_at	1809.5	P	0.000244
200021_at	24223.1	P	0.001221
200022_at	20132.6	P	0.000244
200023_s_at	6865.1	P	0.000244
200024_at	14246.1	P	0.000732
200025_s_at	20131.8	P	0.000244
200026_at	25977.2	P	0.000732
200027_at	2213.6	P	0.000244
200028_s_at	2464.8	P	0.000244
200029_at	18805	P	0.000244
200030_s_at	6952.6	P	0.000244
200031_s_at	37141.2	P	0.000244
200032_s_at	30873.1	P	0.000244
200033_at	9734.4	P	0.000244
200034_s_at	14772	P	0.000244
200035_at	1222	P	0.001221
200036_s_at	11123.6	P	0.000244
200037_s_at	3515.4	P	0.000244
200038_s_at	20573	P	0.000244
200039_s_at	2492.2	P	0.000244
200040_at	3014.9	P	0.000732
200041_s_at	7082.5	P	0.000244
200042_at	1446	P	0.00293
200043_at	4563.8	P	0.001953
200044_at	2984.9	P	0.000244
200045_at	1635.3	P	0.000244
200046_at	1825	P	0.000732
200047_s_at	2649.1	P	0.000244
200048_s_at	3742.3	P	0.000244
200049_at	822.5	P	0.000244
200050_at	1312.2	P	0.000732
200051_at	790.1	P	0.000732
200052_s_at	2435.5	P	0.000244
200053_at	1380.2	P	0.000244
200054_at	287.3	P	0.008057
200055_at	2179.2	P	0.000244
200056_s_at	384.9	P	0.005859
200057_s_at	7825.3	P	0.000244
