^SAMPLE = GSM705473
!Sample_title = SJPHALL008
!Sample_geo_accession = GSM705473
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705473/suppl/GSM705473.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1528.6	P	0.002228
1053_at	448.6	P	0.011447
117_at	31.5	A	0.581931
121_at	1518.9	P	0.004863
1255_g_at	141.6	A	0.107301
1294_at	1569.7	P	0.001602
1316_at	163.5	A	0.089405
1320_at	32.9	A	0.810313
1405_i_at	23.6	A	0.801637
1431_at	190	P	0.008689
1438_at	35.9	A	0.795978
1487_at	638.7	A	0.162935
1494_f_at	435.6	A	0.098054
1598_g_at	1361.5	P	0.024711
160020_at	626.8	A	0.089405
1729_at	637.7	P	0.017001
1773_at	316.4	A	0.162935
177_at	219.4	A	0.127645
179_at	1479.3	A	0.150527
1861_at	254.6	A	0.47938
200000_s_at	4289.7	P	0.000244
200001_at	2423.8	P	0.001221
200002_at	14299.9	P	0.000244
200003_s_at	25983.2	P	0.000244
200004_at	6688.9	P	0.000244
200005_at	4439.3	P	0.000244
200006_at	3192.8	P	0.000732
200007_at	5873.2	P	0.000244
200008_s_at	4891.4	P	0.000244
200009_at	8144.9	P	0.000244
200010_at	16605.7	P	0.000244
200011_s_at	1257.7	P	0.000244
200012_x_at	33018.3	P	0.000244
200013_at	14082.5	P	0.000244
200014_s_at	2203.4	P	0.000244
200015_s_at	2364.6	P	0.000732
200016_x_at	19240.7	P	0.000244
200017_at	17026.8	P	0.000244
200018_at	23127.9	P	0.000244
200019_s_at	17327.6	P	0.000244
200020_at	1454.9	P	0.000244
200021_at	30268.3	P	0.001221
200022_at	23037.5	P	0.000244
200023_s_at	4984.2	P	0.000244
200024_at	13560.9	P	0.001221
200025_s_at	27001.7	P	0.000244
200026_at	37522.3	P	0.000732
200027_at	2890.4	P	0.000244
200028_s_at	2979.8	P	0.000244
200029_at	29713.3	P	0.000244
200030_s_at	6402.3	P	0.000244
200031_s_at	49273.2	P	0.000244
200032_s_at	39635.2	P	0.000244
200033_at	12177.7	P	0.000244
200034_s_at	18510	P	0.000244
200035_at	1578.5	P	0.00293
200036_s_at	16238.5	P	0.000244
200037_s_at	2010.3	P	0.000244
200038_s_at	27653.7	P	0.000244
200039_s_at	1386.2	P	0.000732
200040_at	2672.7	P	0.000244
200041_s_at	9621.7	P	0.000244
200042_at	1494.9	P	0.00415
200043_at	5436.6	P	0.001221
200044_at	2342.8	P	0.000244
200045_at	1690.7	P	0.000244
200046_at	1758.7	P	0.000244
200047_s_at	2090	P	0.000244
200048_s_at	2878.5	P	0.000244
200049_at	670.8	P	0.000244
200050_at	954.7	P	0.00293
