^SAMPLE = GSM705475
!Sample_title = SJPHALL011
!Sample_geo_accession = GSM705475
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705475/suppl/GSM705475.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1134.6	P	0.003067
1053_at	341	P	0.007543
117_at	112.3	A	0.378184
121_at	1386	P	0.021866
1255_g_at	62.6	A	0.5
1294_at	1727	P	0.000322
1316_at	156.2	M	0.060419
1320_at	152.6	A	0.67917
1405_i_at	77.1	A	0.51252
1431_at	119.6	A	0.127645
1438_at	317.1	A	0.189687
1487_at	584.8	A	0.089405
1494_f_at	469.9	P	0.024711
1598_g_at	1223.3	P	0.043968
160020_at	934.3	P	0.013092
1729_at	505.2	P	0.013092
1773_at	251.4	A	0.204022
177_at	104.6	A	0.35869
179_at	829.1	A	0.162935
1861_at	331.2	A	0.066865
200000_s_at	2554.7	P	0.000244
200001_at	2029	P	0.001953
200002_at	16939.6	P	0.000244
200003_s_at	26944.9	P	0.000244
200004_at	8424.3	P	0.000244
200005_at	4086.8	P	0.000244
200006_at	5289.7	P	0.000732
200007_at	6546.6	P	0.000244
200008_s_at	6723.2	P	0.000244
200009_at	9874.9	P	0.000244
200010_at	21253.8	P	0.000244
200011_s_at	984	P	0.000244
200012_x_at	17336.7	P	0.000244
200013_at	19847.5	P	0.000244
200014_s_at	3433.9	P	0.000244
200015_s_at	1921.7	P	0.000732
200016_x_at	18104.6	P	0.000244
200017_at	13382.3	P	0.000244
200018_at	30548.6	P	0.000244
200019_s_at	24726.1	P	0.000244
200020_at	1899.7	P	0.000732
200021_at	17165	P	0.001221
200022_at	19937	P	0.000244
200023_s_at	11208.1	P	0.000244
200024_at	15584.3	P	0.000244
200025_s_at	19548.7	P	0.000244
200026_at	31784.5	P	0.000732
200027_at	2862.6	P	0.000244
200028_s_at	2953.8	P	0.000244
200029_at	19951.7	P	0.000244
200030_s_at	5452.2	P	0.000244
200031_s_at	43393.3	P	0.000244
200032_s_at	45753.6	P	0.000244
200033_at	11249.7	P	0.000244
200034_s_at	14194.2	P	0.000244
200035_at	994.8	P	0.00293
200036_s_at	13059.2	P	0.000244
200037_s_at	2745.9	P	0.000244
200038_s_at	26850.7	P	0.000244
200039_s_at	1158.5	P	0.000244
200040_at	3234.7	P	0.000244
200041_s_at	8242.3	P	0.000244
200042_at	1668	P	0.00293
200043_at	6718	P	0.000244
200044_at	2487.9	P	0.000244
200045_at	1589.1	P	0.001221
200046_at	2054.5	P	0.000244
200047_s_at	3070.6	P	0.000244
200048_s_at	4117.1	P	0.000244
200049_at	653.8	P	0.000244
200050_at	1895.6	P	0.000732
200051_at	711.1	P	0.00293
