^SAMPLE = GSM705658
!Sample_title = SJBALL202
!Sample_geo_accession = GSM705658
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705658/suppl/GSM705658.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1385.4	P	0.011447
1053_at	306.8	P	0.043968
117_at	260.7	A	0.175989
121_at	2462.3	P	0.008689
1255_g_at	164	A	0.11716
1294_at	970.8	P	0.001892
1316_at	281.6	P	0.035163
1320_at	40	A	0.64131
1405_i_at	257.5	A	0.099061
1431_at	113.7	A	0.162935
1438_at	553.7	M	0.060419
1487_at	504.3	A	0.204022
1494_f_at	635.7	A	0.07383
1598_g_at	1067.4	A	0.107301
160020_at	1001.8	A	0.098054
1729_at	542.4	P	0.048995
1773_at	273.8	A	0.302547
177_at	59.6	A	0.458816
179_at	1354.5	A	0.107301
1861_at	210.5	A	0.234557
200000_s_at	2961.3	P	0.000732
200001_at	3512.4	P	0.001953
200002_at	5585.6	P	0.000244
200003_s_at	13296.3	P	0.000244
200004_at	5970	P	0.000244
200005_at	2572	P	0.000244
200006_at	3625.7	P	0.000732
200007_at	2852.3	P	0.000244
200008_s_at	4313.8	P	0.000244
200009_at	7393	P	0.000244
200010_at	15619	P	0.000244
200011_s_at	2615.8	P	0.001221
200012_x_at	15226.1	P	0.000244
200013_at	8617	P	0.000244
200014_s_at	1644.9	P	0.000244
200015_s_at	1505.7	P	0.001221
200016_x_at	16133.7	P	0.000244
200017_at	10200	P	0.000732
200018_at	16379.5	P	0.000244
200019_s_at	10710.5	P	0.000244
200020_at	2238.4	P	0.000244
200021_at	24669.2	P	0.001221
200022_at	16279.6	P	0.000732
200023_s_at	7168.7	P	0.000244
200024_at	9547.7	P	0.001221
200025_s_at	17628.3	P	0.000244
200026_at	15607.3	P	0.001221
200027_at	1377.8	P	0.000244
200028_s_at	1832.9	P	0.000244
200029_at	14653.4	P	0.000244
200030_s_at	6082.4	P	0.000244
200031_s_at	30911.7	P	0.000244
200032_s_at	26693.3	P	0.000244
200033_at	7610.5	P	0.000244
200034_s_at	11668.4	P	0.000244
200035_at	1551.1	P	0.001953
200036_s_at	6877.3	P	0.000244
200037_s_at	2131.8	P	0.000244
200038_s_at	16100.3	P	0.000244
200039_s_at	2140.3	P	0.000244
200040_at	2745.8	P	0.000732
200041_s_at	8142.2	P	0.000244
200042_at	1186.5	P	0.010742
200043_at	3171.7	P	0.001953
200044_at	2576	P	0.000244
200045_at	1500.3	P	0.00415
200046_at	1618.3	P	0.001221
200047_s_at	2188.8	P	0.000244
200048_s_at	2500.6	P	0.000244
200049_at	1214.1	P	0.000244
200050_at	987	P	0.000732
200051_at	595.3	P	0.00415
