^SAMPLE = GSM705663
!Sample_title = SJERG025
!Sample_geo_accession = GSM705663
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705663/suppl/GSM705663.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2188.3	P	0.000805
1053_at	304.9	M	0.05447
117_at	172.5	A	0.35869
121_at	1400.4	P	0.024711
1255_g_at	265.6	A	0.07383
1294_at	1858.9	P	0.000562
1316_at	332.1	A	0.098054
1320_at	36.4	A	0.837065
1405_i_at	179	A	0.51252
1431_at	74.4	A	0.561639
1438_at	116.2	A	0.561639
1487_at	377.1	A	0.284715
1494_f_at	387.5	P	0.048995
1598_g_at	619	A	0.218983
160020_at	970.2	P	0.02786
1729_at	345.8	A	0.35869
1773_at	353	A	0.267463
177_at	153.6	A	0.35869
179_at	1007.2	A	0.250724
1861_at	89.7	A	0.749276
200000_s_at	2692.4	P	0.000244
200001_at	2978.8	P	0.001953
200002_at	22182.8	P	0.000244
200003_s_at	32330.1	P	0.000244
200004_at	6065.6	P	0.000244
200005_at	8730	P	0.000244
200006_at	7436.3	P	0.000244
200007_at	4768.6	P	0.000244
200008_s_at	4461.2	P	0.000244
200009_at	8238.8	P	0.000244
200010_at	28512.5	P	0.000244
200011_s_at	1267.3	P	0.000244
200012_x_at	28492.7	P	0.000244
200013_at	23834.5	P	0.000244
200014_s_at	2205.3	P	0.000732
200015_s_at	1692.3	P	0.001953
200016_x_at	34977.1	P	0.000244
200017_at	21948	P	0.000244
200018_at	32326.4	P	0.000244
200019_s_at	24354.6	P	0.000244
200020_at	1685.7	P	0.000732
200021_at	14193.4	P	0.001953
200022_at	28507.8	P	0.000244
200023_s_at	10002.4	P	0.000244
200024_at	21600.5	P	0.000732
200025_s_at	36974.5	P	0.000244
200026_at	62074.8	P	0.000732
200027_at	2223.5	P	0.000244
200028_s_at	2363.1	P	0.000732
200029_at	32947.6	P	0.000244
200030_s_at	9221.7	P	0.000244
200031_s_at	38935.4	P	0.000244
200032_s_at	56153.4	P	0.000244
200033_at	10113.9	P	0.000244
200034_s_at	25058.1	P	0.000244
200035_at	1572	P	0.01416
200036_s_at	25008.4	P	0.000244
200037_s_at	2815.5	P	0.000244
200038_s_at	38410.6	P	0.000244
200039_s_at	1247.1	P	0.000244
200040_at	3480.3	P	0.000244
200041_s_at	7034.5	P	0.000244
200042_at	1576.7	P	0.00293
200043_at	3276.3	P	0.001953
200044_at	3631.7	P	0.000244
200045_at	1576.5	P	0.000244
200046_at	1383.9	P	0.000732
200047_s_at	2182	P	0.000244
200048_s_at	3773.2	P	0.000244
200049_at	1062.4	P	0.000732
200050_at	1547.5	P	0.000732
200051_at	762.9	P	0.000244
200052_s_at	2989.4	P	0.000244
200053_at	1890.7	P	0.000244
200054_at	572.5	P	0.01416
200055_at	2982.9	P	0.000244
200056_s_at	345.4	P	0.030273
200057_s_at	9767.2	P	0.000244
200058_s_at	2980.2	P	0.000244
200059_s_at	8627.1	P	0.000244
200060_s_at	2688.5	P	0.001221
200061_s_at	55571.7	P	0.000244
200062_s_at	66984.8	P	0.000244
200063_s_at	17137.7	P	0.000244
200064_at	13326.1	P	0.000732
200065_s_at	5152.4	P	0.000244
200066_at	1432.3	P	0.00415
200067_x_at	2348.5	P	0.000732
200068_s_at	5644.6	P	0.000244
200069_at	478.9	P	0.010742
200070_at	451.1	A	0.080566
200071_at	529.9	P	0.046143
200072_s_at	4584.9	P	0.000244
200073_s_at	2926.6	P	0.000244
200074_s_at	13432.2	P	0.000244
200075_s_at	1013	P	0.005859
200076_s_at	1111.5	P	0.001221
200077_s_at	11618.2	P	0.000244
200078_s_at	2540.2	P	0.010742
200079_s_at	3532.3	P	0.000244
200080_s_at	17563.5	P	0.000244
200081_s_at	38299.3	P	0.000244
200082_s_at	34661.7	P	0.000244
200083_at	1636.4	P	0.010742
200084_at	2294.6	P	0.000244
200085_s_at	2105.3	P	0.000732
200086_s_at	3919	P	0.000244
200087_s_at	2621.4	P	0.000244
200088_x_at	33750.9	P	0.000244
200089_s_at	23742.8	P	0.000244
200090_at	2752.1	P	0.001221
200091_s_at	14022.2	P	0.000244
200092_s_at	32216	P	0.000244
200093_s_at	2508.8	P	0.000244
200094_s_at	12902.2	P	0.000244
200095_x_at	61499.5	P	0.000244
200096_s_at	1719.3	P	0.000244
200097_s_at	5452.1	P	0.000244
200098_s_at	2097.2	P	0.001953
200099_s_at	49385.1	P	0.000244
200593_s_at	3552.7	P	0.000244
200594_x_at	6193.6	P	0.000244
200595_s_at	2090.8	P	0.000732
200596_s_at	902.4	P	0.005859
200597_at	783.8	P	0.00415
200598_s_at	1793.6	P	0.000244
200599_s_at	3515.5	P	0.001953
200600_at	5094	P	0.000244
200601_at	948.5	P	0.023926
200602_at	1097.4	P	0.000244
200603_at	1598.8	P	0.000244
200604_s_at	1135.8	P	0.000244
200605_s_at	1793.5	P	0.000732
200606_at	87.7	A	0.850342
200607_s_at	1950.9	P	0.00415
200608_s_at	1584.3	P	0.000732
200609_s_at	1596.9	P	0.01416
200610_s_at	8118.7	P	0.000732
200611_s_at	1713.7	P	0.010742
200612_s_at	29.4	A	0.962402
200613_at	2019.7	P	0.001953
200614_at	12519.2	P	0.000244
200615_s_at	303.3	A	0.246094
200616_s_at	245.4	A	0.246094
200617_at	840.8	P	0.030273
200618_at	1935.5	P	0.001953
200619_at	1461.7	P	0.010742
200620_at	2350.4	P	0.000732
200621_at	746.8	P	0.046143
200622_x_at	403.5	A	0.334473
200623_s_at	1369.3	P	0.00293
200624_s_at	5190.2	P	0.000732
200625_s_at	2198.6	P	0.000244
200626_s_at	2927	P	0.000244
200627_at	6362.2	P	0.000244
200628_s_at	72.9	A	0.828613
200629_at	698.5	P	0.037598
200630_x_at	6670.9	P	0.000244
200631_s_at	6700.9	P	0.000244
200632_s_at	1013.7	P	0.000244
200633_at	17187.5	P	0.000244
200634_at	7765.9	P	0.000244
200635_s_at	91.1	A	0.780518
200636_s_at	135.2	A	0.696289
200637_s_at	10.3	A	0.991943
200638_s_at	3787.1	P	0.000244
200639_s_at	3658.3	P	0.000732
200640_at	5678	P	0.000244
200641_s_at	3868.9	P	0.000244
200642_at	3765.1	P	0.000732
200643_at	325.2	A	0.111572
200644_at	4929.3	P	0.000244
200645_at	5518.9	P	0.000244
200646_s_at	552	P	0.00293
200647_x_at	3365.2	P	0.000732
200648_s_at	609.3	A	0.067627
200649_at	922.7	P	0.010742
200650_s_at	4845.5	P	0.000244
200651_at	49544.9	P	0.000244
200652_at	3390	P	0.000732
200653_s_at	1973.9	P	0.000244
200654_at	3154.2	P	0.008057
200655_s_at	4031.8	P	0.000244
200656_s_at	1014.6	P	0.00293
200657_at	5892.5	P	0.000244
200658_s_at	1245.3	P	0.000244
200659_s_at	843.1	P	0.018555
200660_at	23.5	A	0.904785
200661_at	746.8	P	0.037598
200662_s_at	2928.5	P	0.000244
200663_at	1349.7	P	0.00415
200664_s_at	673.5	A	0.080566
200665_s_at	32.7	A	0.780518
200666_s_at	1289	P	0.000732
200667_at	1784.4	P	0.000244
200668_s_at	4103.9	P	0.000244
200669_s_at	2755.6	P	0.000244
200670_at	11802.3	P	0.000244
200671_s_at	974.2	M	0.056152
200672_x_at	1502.7	P	0.000244
200673_at	3526.1	P	0.000244
200674_s_at	62689.7	P	0.000244
200675_at	4858.2	P	0.000732
200676_s_at	389.4	P	0.037598
200677_at	5594.9	P	0.000244
200678_x_at	1596.5	P	0.010742
200679_x_at	8323.5	P	0.000244
200680_x_at	21346.3	P	0.000244
200681_at	1338	P	0.001221
200682_s_at	1895.8	P	0.000244
200683_s_at	944.1	P	0.023926
200684_s_at	519.8	P	0.008057
200685_at	352	P	0.023926
200686_s_at	1842.8	P	0.000244
200687_s_at	1098.5	P	0.000244
200688_at	294.4	A	0.398926
200689_x_at	35324.9	P	0.000244
200690_at	28.7	A	0.567627
200691_s_at	1606.3	P	0.000244
200692_s_at	1420.3	P	0.001953
200693_at	5468.7	P	0.000244
