^SAMPLE = GSM705761
!Sample_title = SJBALL113
!Sample_geo_accession = GSM705761
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705761/suppl/GSM705761.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1480.2	P	0.00418
1053_at	158.2	A	0.098054
117_at	156.9	A	0.250724
121_at	1295.4	P	0.011447
1255_g_at	127.4	A	0.458816
1294_at	2807.4	P	0.000219
1316_at	141.2	M	0.060419
1320_at	34.7	A	0.697453
1405_i_at	86.9	A	0.318883
1431_at	124.9	P	0.031336
1438_at	44.4	A	0.781017
1487_at	405.1	A	0.250724
1494_f_at	416.4	P	0.031336
1598_g_at	953.7	A	0.098054
160020_at	546.5	M	0.060419
1729_at	330.1	A	0.204022
1773_at	212.9	A	0.218983
177_at	109.7	A	0.204022
179_at	1102.6	A	0.11716
1861_at	217	A	0.204022
200000_s_at	2785.3	P	0.000244
200001_at	5524.8	P	0.000244
200002_at	24155.7	P	0.000244
200003_s_at	28092.5	P	0.000244
200004_at	9327.5	P	0.000244
200005_at	6116.4	P	0.000244
200006_at	4173.4	P	0.000244
200007_at	6978.9	P	0.000244
200008_s_at	2311.2	P	0.000244
200009_at	4105	P	0.000244
200010_at	22339.3	P	0.000244
200011_s_at	1359.4	P	0.000244
200012_x_at	37905.6	P	0.000244
200013_at	21202.9	P	0.000244
200014_s_at	2312.3	P	0.000732
200015_s_at	3172.5	P	0.000732
200016_x_at	18546.8	P	0.000244
200017_at	28489.7	P	0.000244
200018_at	31829.4	P	0.000244
200019_s_at	55731.1	P	0.000244
200020_at	646	P	0.000244
200021_at	26158.1	P	0.00293
200022_at	41698.8	P	0.000244
200023_s_at	10386.5	P	0.000244
200024_at	25217.6	P	0.000732
200025_s_at	33711.6	P	0.000244
200026_at	37652.8	P	0.000732
200027_at	1690.9	P	0.000244
200028_s_at	995.6	P	0.018555
200029_at	24698.3	P	0.000244
200030_s_at	14397.5	P	0.000244
200031_s_at	65359.7	P	0.000244
200032_s_at	42316.9	P	0.000244
200033_at	15739.2	P	0.000244
200034_s_at	24279.3	P	0.000244
200035_at	2348.7	P	0.00415
200036_s_at	12071.3	P	0.000244
200037_s_at	1493.5	P	0.001953
200038_s_at	36574.7	P	0.000244
200039_s_at	1153.5	P	0.000244
200040_at	1453.7	P	0.000732
200041_s_at	5244.8	P	0.000244
200042_at	549.7	P	0.023926
200043_at	5184.3	P	0.001221
200044_at	2282.3	P	0.000244
200045_at	1024.7	P	0.001221
200046_at	3659.6	P	0.000244
200047_s_at	1973.6	P	0.000244
200048_s_at	7379.7	P	0.000244
200049_at	543.4	P	0.001221
200050_at	403.6	P	0.000244
