^SAMPLE = GSM705777
!Sample_title = SJERG006
!Sample_geo_accession = GSM705777
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705777/suppl/GSM705777.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1556.5	P	0.000673
1053_at	410	P	0.009985
117_at	57.5	A	0.397994
121_at	1384.5	P	0.003067
1255_g_at	92.1	A	0.189687
1294_at	1118.3	P	0.000562
1316_at	221.7	P	0.004863
1320_at	16.6	A	0.795978
1405_i_at	155.7	A	0.181343
1431_at	81.9	A	0.204022
1438_at	61.7	A	0.581931
1487_at	347.2	A	0.162935
1494_f_at	365.6	P	0.039365
1598_g_at	617.1	A	0.081337
160020_at	733.3	P	0.013092
1729_at	342.4	M	0.05447
1773_at	235.5	A	0.234557
177_at	37.6	A	0.339558
179_at	555	P	0.048995
1861_at	217.3	A	0.138765
200000_s_at	3703.5	P	0.000244
200001_at	3037.4	P	0.000732
200002_at	17474.5	P	0.000244
200003_s_at	25525.9	P	0.000244
200004_at	9100.2	P	0.000244
200005_at	7759.7	P	0.000244
200006_at	6950.1	P	0.000244
200007_at	7432.9	P	0.000244
200008_s_at	4686.6	P	0.000244
200009_at	8563.2	P	0.000244
200010_at	26322.7	P	0.000244
200011_s_at	1288.8	P	0.001221
200012_x_at	20444.1	P	0.000244
200013_at	22445.6	P	0.000244
200014_s_at	3231.6	P	0.000244
200015_s_at	3554.2	P	0.000244
200016_x_at	30445.8	P	0.000244
200017_at	18823.5	P	0.000244
200018_at	27020.9	P	0.000244
200019_s_at	16991.5	P	0.000244
200020_at	2524.9	P	0.000244
200021_at	22443.3	P	0.001953
200022_at	21520	P	0.000244
200023_s_at	10597.5	P	0.000244
200024_at	19848.7	P	0.000732
200025_s_at	26751.2	P	0.000244
200026_at	38963.4	P	0.000732
200027_at	2694.6	P	0.000244
200028_s_at	3064.5	P	0.000244
200029_at	27174.6	P	0.000244
200030_s_at	10427.6	P	0.000244
200031_s_at	41440.4	P	0.000244
200032_s_at	42869.1	P	0.000244
200033_at	12281.3	P	0.000244
200034_s_at	20877.9	P	0.000244
200035_at	2149.7	P	0.001953
200036_s_at	17952.7	P	0.000244
200037_s_at	5213.7	P	0.000244
200038_s_at	29345.3	P	0.000244
200039_s_at	2315	P	0.000244
200040_at	4247.6	P	0.000244
200041_s_at	8951.5	P	0.000244
200042_at	1488.3	P	0.001953
200043_at	6690.4	P	0.000244
200044_at	3880.5	P	0.000244
200045_at	1693.3	P	0.000244
200046_at	1829.6	P	0.000244
200047_s_at	3501.5	P	0.000244
200048_s_at	3580.5	P	0.000244
200049_at	778.9	P	0.000244
200050_at	2586.5	P	0.000244
200051_at	500.4	P	0.000732
200052_s_at	4533.6	P	0.000244
200053_at	1447.6	P	0.000244
200054_at	327	P	0.00293
200055_at	2829.6	P	0.000244
200056_s_at	460	P	0.000732
200057_s_at	11556.3	P	0.000244
200058_s_at	3187.1	P	0.000244
200059_s_at	13556.8	P	0.000244
200060_s_at	4006.6	P	0.000732
200061_s_at	40789.6	P	0.000244
200062_s_at	39825.1	P	0.000244
200063_s_at	14454.6	P	0.000244
200064_at	12252.2	P	0.000732
200065_s_at	5671.3	P	0.000244
200066_at	1566.3	P	0.000732
200067_x_at	1503	P	0.000244
200068_s_at	4896	P	0.000244
200069_at	908.2	P	0.000244
200070_at	730.8	P	0.001953
200071_at	796.6	P	0.005859
200072_s_at	5703.2	P	0.000244
200073_s_at	5702.9	P	0.000244
200074_s_at	12763.5	P	0.000244
200075_s_at	1176.9	P	0.000244
200076_s_at	875.6	P	0.001953
200077_s_at	12585.8	P	0.000244
200078_s_at	1812.8	P	0.00415
200079_s_at	3588.7	P	0.000732
200080_s_at	15341.4	P	0.000244
200081_s_at	31820.2	P	0.000244
200082_s_at	28429.6	P	0.000244
200083_at	2313.6	P	0.001221
200084_at	3040	P	0.000244
200085_s_at	2491.9	P	0.000244
200086_s_at	2720.2	P	0.000244
200087_s_at	3556.8	P	0.000244
200088_x_at	23428.1	P	0.000244
200089_s_at	17490	P	0.000244
200090_at	3608.7	P	0.000244
200091_s_at	13016.9	P	0.000244
200092_s_at	21403.1	P	0.000244
200093_s_at	3090.5	P	0.000244
200094_s_at	8718.1	P	0.000244
200095_x_at	46420.4	P	0.000244
200096_s_at	1161.6	P	0.000244
200097_s_at	5024.3	P	0.000244
200098_s_at	3201.8	P	0.000732
200099_s_at	34892.8	P	0.000244
200593_s_at	3795.8	P	0.000244
200594_x_at	8349.6	P	0.000244
200595_s_at	2037.8	P	0.000244
200596_s_at	983.3	P	0.000732
200597_at	785.8	P	0.000732
200598_s_at	915.6	P	0.000244
200599_s_at	2177.9	P	0.000244
200600_at	4991.6	P	0.000244
200601_at	930.3	P	0.00415
200602_at	677.8	P	0.000244
200603_at	1946.1	P	0.000244
200604_s_at	999.2	P	0.000732
200605_s_at	1858.1	P	0.000244
200606_at	36	A	0.398926
200607_s_at	1276	P	0.000732
200608_s_at	2693.2	P	0.000244
200609_s_at	1432.9	P	0.000244
200610_s_at	12151.7	P	0.000732
200611_s_at	2089.6	P	0.00293
200612_s_at	263.3	A	0.366211
200613_at	1690.3	P	0.001221
200614_at	15590.7	P	0.000244
200615_s_at	742.8	P	0.023926
200616_s_at	152.9	A	0.432373
200617_at	818.2	P	0.00415
200618_at	1611.9	P	0.001221
200619_at	1690.7	P	0.010742
200620_at	1411.6	P	0.000244
200621_at	461.3	A	0.095215
200622_x_at	477.7	A	0.067627
200623_s_at	1043.1	P	0.001953
200624_s_at	5444.1	P	0.000244
200625_s_at	2070.2	P	0.001221
200626_s_at	3500	P	0.000244
200627_at	8391.7	P	0.000244
200628_s_at	304	A	0.665527
200629_at	379.4	P	0.01416
200630_x_at	5812.3	P	0.000244
200631_s_at	6082.8	P	0.000244
200632_s_at	576.3	P	0.001953
200633_at	23570.5	P	0.000244
200634_at	7750.9	P	0.000244
200635_s_at	10	A	0.72583
200636_s_at	122.7	A	0.533936
200637_s_at	13.8	A	0.953857
200638_s_at	3734.4	P	0.000244
200639_s_at	4029	P	0.000244
200640_at	4568.3	P	0.000244
200641_s_at	3511.3	P	0.000244
200642_at	3974.9	P	0.000244
200643_at	478.9	A	0.095215
200644_at	3247.6	P	0.000244
200645_at	4082.7	P	0.000244
200646_s_at	253	P	0.005859
200647_x_at	6051.2	P	0.000732
200648_s_at	465.9	P	0.030273
200649_at	743.7	P	0.001953
200650_s_at	9048.4	P	0.000244
200651_at	32954.8	P	0.000244
200652_at	2299.7	P	0.000732
200653_s_at	1510.8	P	0.000244
200654_at	3893.9	P	0.01416
200655_s_at	3268.3	P	0.000244
200656_s_at	1271.9	P	0.000244
200657_at	11143.2	P	0.000244
200658_s_at	916.5	P	0.000244
200659_s_at	483.6	P	0.023926
200660_at	121.2	A	0.5
200661_at	526.4	P	0.046143
200662_s_at	3001	P	0.000244
200663_at	1653.3	P	0.001953
200664_s_at	849.9	P	0.005859
200665_s_at	14.3	A	0.780518
200666_s_at	1606.2	P	0.000244
200667_at	2220.6	P	0.000244
200668_s_at	5325.9	P	0.000244
200669_s_at	2801.1	P	0.000244
200670_at	9836.6	P	0.000244
200671_s_at	1272.8	P	0.001221
200672_x_at	2675.9	P	0.000244
200673_at	3670.2	P	0.000244
200674_s_at	40274.2	P	0.000244
200675_at	8826.2	P	0.000244
200676_s_at	445.1	P	0.000732
200677_at	1519.7	P	0.000244
200678_x_at	1252	M	0.056152
200679_x_at	11416.6	P	0.000244
200680_x_at	23985.2	P	0.000244
200681_at	1640.3	P	0.000732
200682_s_at	2136.3	P	0.000244
200683_s_at	1099.5	P	0.00415
200684_s_at	722.4	P	0.00293
200685_at	306.2	P	0.000732
200686_s_at	3643.9	P	0.000244
200687_s_at	1488.9	P	0.000244
200688_at	259.2	P	0.023926
200689_x_at	35589.8	P	0.000244
200690_at	246	A	0.303711
200691_s_at	2025	P	0.000244
200692_s_at	1711.4	P	0.000244
200693_at	7018	P	0.000244
200694_s_at	2295.2	P	0.000244
200695_at	1518.2	P	0.010742
200696_s_at	679.6	P	0.018555
200697_at	1111	P	0.005859
200698_at	843.8	P	0.000244
200699_at	735.4	P	0.00415
200700_s_at	2113.7	P	0.000244
200701_at	1207.7	P	0.000244
200702_s_at	241.9	P	0.010742
200703_at	6679.6	P	0.000244
200704_at	1188.9	P	0.000244
200705_s_at	17472.5	P	0.000244
200706_s_at	1315.1	P	0.001953
200707_at	845	P	0.005859
200708_at	1635	P	0.000244
200709_at	2664.6	P	0.000244
200710_at	1241.9	P	0.008057
200711_s_at	1346.5	P	0.000244
200712_s_at	1050.6	P	0.000244
200713_s_at	3675.1	P	0.000732
200714_x_at	2259.7	P	0.000244
200715_x_at	15539.9	P	0.000244
200716_x_at	62533.9	P	0.000244
200717_x_at	45443.3	P	0.000244
200718_s_at	6773.1	P	0.000244
200719_at	498	P	0.018555
200720_s_at	569.6	P	0.00415
200721_s_at	829.5	P	0.008057
200722_s_at	2654.4	P	0.000244
200723_s_at	4986.4	P	0.000244
200724_at	72.3	A	0.665527
200725_x_at	40551.3	P	0.000244
200726_at	2575.6	P	0.000244
200727_s_at	694	P	0.018555
200728_at	2045.4	P	0.000244
200729_s_at	2200.7	P	0.000244
200730_s_at	733.5	P	0.000244
200731_s_at	820.6	P	0.000732
200732_s_at	1317.8	P	0.000732
200733_s_at	378.1	P	0.000244
200734_s_at	1015	P	0.01416
200735_x_at	23343.4	P	0.000244
200736_s_at	4073.9	P	0.000244
200737_at	1238.4	P	0.000732
200738_s_at	4666.7	P	0.000244
200739_s_at	621.1	P	0.00415
200740_s_at	1781.4	P	0.000244
200741_s_at	37619.5	P	0.000244
200742_s_at	1058.3	P	0.000244
200743_s_at	1396.6	P	0.000244
200744_s_at	2024.2	P	0.000244
200745_s_at	3232.1	P	0.000244
200746_s_at	4967.9	P	0.000732
200747_s_at	1995.4	P	0.000244
200748_s_at	2756.4	P	0.000244
200749_at	786.7	P	0.001953
200750_s_at	6395.9	P	0.000244
200751_s_at	2933.8	P	0.000244
200752_s_at	485.6	M	0.056152
200753_x_at	3089.6	P	0.000732
200754_x_at	12604.2	P	0.000244
200755_s_at	376.3	P	0.000244
200756_x_at	568.6	A	0.111572
200757_s_at	1173.4	P	0.00415
200758_s_at	726.4	P	0.001953
200759_x_at	1257.9	P	0.001953
200760_s_at	1046.3	P	0.000732
200761_s_at	1859.1	P	0.00415
200762_at	1413.4	P	0.000244
200763_s_at	40179.3	P	0.000244
200764_s_at	594.6	P	0.001221
200765_x_at	757.5	P	0.001953
200766_at	193.4	P	0.023926
200767_s_at	445.7	P	0.010742
200768_s_at	4658.9	P	0.000244
200769_s_at	1599	P	0.00415
200770_s_at	206.7	P	0.00415
200771_at	716.1	P	0.010742
200772_x_at	23552.4	P	0.000244
200773_x_at	19857.6	P	0.000244
200774_at	3604.6	P	0.000244
200775_s_at	6402.2	P	0.000244
200776_s_at	1484.6	P	0.008057
200777_s_at	1281.2	P	0.000244
200778_s_at	2991.8	P	0.000244
200779_at	5177	P	0.000732
200780_x_at	19382	P	0.000244
200781_s_at	31478.4	P	0.000244
200782_at	787.5	P	0.000732
200783_s_at	1518.2	P	0.000244
200784_s_at	26.4	A	0.969727
200785_s_at	131.3	A	0.366211
200786_at	2132.1	P	0.000244
200787_s_at	501.6	P	0.008057
200788_s_at	353.4	P	0.00293
200789_at	1024	P	0.023926
200790_at	3030.6	P	0.000244
200791_s_at	884.5	P	0.010742
200792_at	5858.5	P	0.000732
200793_s_at	1379.6	P	0.018555
200794_x_at	3961.2	P	0.000244
200795_at	81.7	A	0.398926
200796_s_at	57.6	A	0.601074
200797_s_at	1782	P	0.000244
200798_x_at	737.7	P	0.000244
200799_at	2189.8	P	0.000244
200800_s_at	633.3	P	0.00415
200801_x_at	38171	P	0.000244
200802_at	1430	P	0.000244
200803_s_at	2074.1	P	0.001221
200804_at	2456.5	P	0.000244
200805_at	411.4	P	0.018555
200806_s_at	4235.4	P	0.000244
200807_s_at	9009.9	P	0.000244
200808_s_at	287	M	0.056152
200809_x_at	21337.8	P	0.000244
200810_s_at	1919.2	P	0.000244
200811_at	2585.1	P	0.005859
200812_at	2415.5	P	0.000732
200813_s_at	1021.7	P	0.018555
200814_at	4917.3	P	0.001221
200815_s_at	459.3	P	0.000732
200816_s_at	1507.2	P	0.000732
200817_x_at	67328.2	P	0.000244
200818_at	3844.7	P	0.000244
200819_s_at	33934.5	P	0.000244
200820_at	1509.8	P	0.000732
200821_at	506.4	P	0.01416
200822_x_at	2211.1	P	0.000732
200823_x_at	23938	P	0.000244
200824_at	1551.8	P	0.000244
200825_s_at	1825.6	P	0.001953
200826_at	6589.7	P	0.000244
200827_at	44.3	A	0.567627
200828_s_at	4854.3	P	0.000732
200829_x_at	2523.1	P	0.000244
200830_at	1556.1	P	0.000244
