^SAMPLE = GSM705821
!Sample_title = SJBALL070
!Sample_geo_accession = GSM705821
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705821/suppl/GSM705821.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	911.4	P	0.035163
1053_at	254.3	A	0.066865
117_at	294.7	A	0.138765
121_at	1323.6	P	0.014937
1255_g_at	185	A	0.250724
1294_at	1985.6	P	0.000322
1316_at	236.6	A	0.098054
1320_at	223.1	A	0.660442
1405_i_at	972.2	P	0.000944
1431_at	290.3	A	0.089405
1438_at	160.3	A	0.5
1487_at	372.2	A	0.204022
1494_f_at	307.3	A	0.162935
1598_g_at	1994.4	P	0.001602
160020_at	450.4	P	0.035163
1729_at	736.3	P	0.000388
1773_at	312.4	A	0.458816
177_at	33.7	A	0.939581
179_at	679.5	A	0.458816
1861_at	148.9	A	0.5
200000_s_at	2945.5	P	0.00293
200001_at	2977.7	P	0.00415
200002_at	16630.4	P	0.000244
200003_s_at	36421.3	P	0.000244
200004_at	9116.3	P	0.000244
200005_at	5366.3	P	0.000244
200006_at	4149.6	P	0.000244
200007_at	6169.3	P	0.000244
200008_s_at	4559.4	P	0.000244
200009_at	9528.5	P	0.000244
200010_at	19606.2	P	0.000244
200011_s_at	1559.3	P	0.00293
200012_x_at	23883.3	P	0.000244
200013_at	18968.2	P	0.000244
200014_s_at	3031.9	P	0.000244
200015_s_at	2901.5	P	0.000732
200016_x_at	24917.2	P	0.000244
200017_at	12991.9	P	0.000732
200018_at	21820	P	0.000244
200019_s_at	20641.8	P	0.000244
200020_at	1897.3	P	0.001953
200021_at	39161.8	P	0.001221
200022_at	28240.2	P	0.000244
200023_s_at	9985.2	P	0.000244
200024_at	10871.4	P	0.000732
200025_s_at	22718.5	P	0.000244
200026_at	29651.8	P	0.000732
200027_at	2650.2	P	0.000244
200028_s_at	2631.2	P	0.000244
200029_at	29459.6	P	0.000244
200030_s_at	7562	P	0.000244
200031_s_at	51754	P	0.000244
200032_s_at	47175.3	P	0.000244
200033_at	13937	P	0.000244
200034_s_at	21607.7	P	0.000244
200035_at	1281.6	P	0.000732
200036_s_at	19409.3	P	0.000244
200037_s_at	3656.2	P	0.000244
200038_s_at	28292.4	P	0.000244
200039_s_at	2332.6	P	0.000244
200040_at	3050.4	P	0.000244
200041_s_at	5780.1	P	0.000244
200042_at	2027.9	P	0.005859
200043_at	5543.7	P	0.000732
200044_at	3625.8	P	0.000244
200045_at	1568.1	P	0.005859
200046_at	1330.8	P	0.000244
200047_s_at	2428.8	P	0.000732
200048_s_at	5108	P	0.000244
200049_at	834.5	P	0.00293
200050_at	1083.9	P	0.001221
200051_at	589.1	P	0.000732
200052_s_at	2686.9	P	0.000244
200053_at	1398.7	P	0.000244
