^SAMPLE = GSM705832
!Sample_title = SJBALL138
!Sample_geo_accession = GSM705832
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705832/suppl/GSM705832.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	508.4	A	0.175989
1053_at	376.2	A	0.127645
117_at	266.3	A	0.162935
121_at	1979.7	P	0.014937
1255_g_at	203.5	A	0.07383
1294_at	1912.9	P	0.000266
1316_at	259.9	P	0.014937
1320_at	63.8	A	0.781017
1405_i_at	76.6	A	0.783687
1431_at	124.2	A	0.162935
1438_at	108.8	A	0.67917
1487_at	752.2	A	0.189687
1494_f_at	373.8	P	0.008689
1598_g_at	867.6	A	0.162935
160020_at	1077.5	P	0.019304
1729_at	414.2	A	0.175989
1773_at	242.8	A	0.302547
177_at	264.4	A	0.089405
179_at	864.9	M	0.060419
1861_at	173.6	A	0.67917
200000_s_at	2818.1	P	0.000244
200001_at	3328.9	P	0.001953
200002_at	17881.4	P	0.000244
200003_s_at	32724.3	P	0.000244
200004_at	6996.5	P	0.000244
200005_at	6417.1	P	0.000244
200006_at	4858.3	P	0.000732
200007_at	4997.9	P	0.000244
200008_s_at	5674.6	P	0.000244
200009_at	11023.9	P	0.000244
200010_at	22333.6	P	0.000244
200011_s_at	1163.5	P	0.00293
200012_x_at	27700.2	P	0.000244
200013_at	18739.6	P	0.000244
200014_s_at	2375.5	P	0.000244
200015_s_at	1755.3	P	0.000732
200016_x_at	32738.4	P	0.000244
200017_at	19446.4	P	0.000244
200018_at	36650.9	P	0.000244
200019_s_at	24712	P	0.000244
200020_at	1932.9	P	0.000244
200021_at	27825.8	P	0.001221
200022_at	21126.4	P	0.000244
200023_s_at	10548.5	P	0.000244
200024_at	23113.8	P	0.000732
200025_s_at	35829.7	P	0.000244
200026_at	49127.7	P	0.000732
200027_at	1806.4	P	0.000244
200028_s_at	2817.4	P	0.001221
200029_at	32558	P	0.000244
200030_s_at	8823.3	P	0.000244
200031_s_at	52654.2	P	0.000244
200032_s_at	45865.8	P	0.000244
200033_at	13797.3	P	0.000244
200034_s_at	21344.2	P	0.000244
200035_at	2042.6	P	0.000244
200036_s_at	17088.2	P	0.000244
200037_s_at	1537.6	P	0.000244
200038_s_at	32914.5	P	0.000244
200039_s_at	1411	P	0.000244
200040_at	2572.7	P	0.000732
200041_s_at	8645.6	P	0.000244
200042_at	1106.6	P	0.000732
200043_at	3800.3	P	0.001953
200044_at	2706.8	P	0.000244
200045_at	1252	P	0.008057
200046_at	1048.1	P	0.000244
200047_s_at	2187.1	P	0.000244
200048_s_at	3403.7	P	0.000244
200049_at	942.2	P	0.000244
200050_at	1283.6	P	0.001953
