^SAMPLE = GSM705849
!Sample_title = SJERG026
!Sample_geo_accession = GSM705849
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705849/suppl/GSM705849.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	696.7	P	0.006532
1053_at	439.7	P	0.019304
117_at	318.6	P	0.021866
121_at	1617.3	P	0.00418
1255_g_at	101.9	A	0.397994
1294_at	1702.4	P	0.000322
1316_at	150.6	A	0.250724
1320_at	26.1	A	0.88284
1405_i_at	1135.4	P	0.000762
1431_at	177.8	P	0.031336
1438_at	311.1	A	0.150527
1487_at	655.7	P	0.043968
1494_f_at	302.3	P	0.035163
1598_g_at	834.4	P	0.02786
160020_at	823.3	P	0.043968
1729_at	639.5	P	0.011447
1773_at	181	A	0.581931
177_at	169.1	A	0.339558
179_at	777	P	0.048995
1861_at	258.4	A	0.098054
200000_s_at	3174.4	P	0.000244
200001_at	3618.6	P	0.001953
200002_at	16025	P	0.000244
200003_s_at	31096.7	P	0.000244
200004_at	7289.2	P	0.000244
200005_at	5714.7	P	0.000244
200006_at	5764.3	P	0.000732
200007_at	7325.1	P	0.000244
200008_s_at	4237.4	P	0.000244
200009_at	7085.4	P	0.000244
200010_at	19691.7	P	0.000244
200011_s_at	1790.7	P	0.001953
200012_x_at	21122.2	P	0.000244
200013_at	20941.7	P	0.000244
200014_s_at	2932.7	P	0.000244
200015_s_at	1963.3	P	0.000732
200016_x_at	27752.1	P	0.000244
200017_at	20353.8	P	0.000244
200018_at	22308.2	P	0.000244
200019_s_at	23068	P	0.000244
200020_at	1666.4	P	0.000244
200021_at	23083.4	P	0.001221
200022_at	24910.7	P	0.000244
200023_s_at	8571.4	P	0.000244
200024_at	19625.1	P	0.000244
200025_s_at	27716.3	P	0.000244
200026_at	33345.8	P	0.000244
200027_at	2142.2	P	0.000244
200028_s_at	2433.4	P	0.000244
200029_at	24915	P	0.000244
200030_s_at	7701.1	P	0.000244
200031_s_at	52674.3	P	0.000244
200032_s_at	45711.6	P	0.000244
200033_at	10427.7	P	0.000244
200034_s_at	20888.5	P	0.000244
200035_at	1569.5	P	0.000732
200036_s_at	18520.5	P	0.000244
200037_s_at	3708.7	P	0.000244
200038_s_at	27143.9	P	0.000244
200039_s_at	2047.2	P	0.000244
200040_at	3116.3	P	0.000732
200041_s_at	6619.3	P	0.000244
200042_at	1610.4	P	0.001953
200043_at	5562.2	P	0.001221
200044_at	3016.7	P	0.000244
200045_at	1638.2	P	0.000732
200046_at	1470.8	P	0.000732
200047_s_at	2291	P	0.000244
200048_s_at	3328.5	P	0.000244
200049_at	676.7	P	0.000244
200050_at	1813.2	P	0.000732
200051_at	850.1	P	0.000732
200052_s_at	2900.7	P	0.000244
200053_at	2071.4	P	0.000244
200054_at	305.2	P	0.00415
200055_at	3573	P	0.000244
200056_s_at	575.9	P	0.00293
200057_s_at	7589.4	P	0.000244
200058_s_at	2840.3	P	0.000244
200059_s_at	13775.5	P	0.000244
200060_s_at	2693.4	P	0.000732
200061_s_at	36929.7	P	0.000244
200062_s_at	39734	P	0.000244
200063_s_at	16487.8	P	0.000244
200064_at	10843	P	0.000244
200065_s_at	4984.9	P	0.000244
200066_at	1526.5	P	0.000244
200067_x_at	1859.1	P	0.000244
200068_s_at	4255.3	P	0.000244
200069_at	695.5	P	0.00293
200070_at	652	P	0.000244
200071_at	729.2	P	0.023926
200072_s_at	4250.6	P	0.000244
200073_s_at	4187.8	P	0.000244
200074_s_at	8994.1	P	0.000244
200075_s_at	1766.8	P	0.000244
200076_s_at	1174.3	P	0.001953
200077_s_at	13063.3	P	0.000244
200078_s_at	2038.1	P	0.005859
200079_s_at	3708.3	P	0.000244
200080_s_at	19331.7	P	0.000244
