ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1969.2,P,0.003585
1053_at,597.6,P,0.019304
117_at,128.6,A,0.378184
121_at,2383.3,P,0.007543
1255_g_at,113.6,A,0.234557
1294_at,1824.4,P,0.000562
1316_at,358.1,P,0.003585
1320_at,70.2,A,0.581931
1405_i_at,290.4,P,0.012921
1431_at,75.4,A,0.175989
1438_at,241.7,A,0.541184
1487_at,632.5,A,0.138765
1494_f_at,514.1,P,0.035163
1598_g_at,1693.8,A,0.081337
160020_at,1153.3,P,0.017001
1729_at,313.7,A,0.302547
1773_at,229.3,A,0.458816
177_at,198.3,A,0.250724
179_at,1606.5,P,0.024711
1861_at,230.2,A,0.397994
200000_s_at,2599.1,P,0.000244
200001_at,3444.2,P,0.00415
200002_at,16880.7,P,0.000244
200003_s_at,24849.6,P,0.000244
200004_at,5669.8,P,0.000244
200005_at,4977.5,P,0.000244
200006_at,7281.6,P,0.000244
200007_at,6653.3,P,0.000244
200008_s_at,5209.6,P,0.000244
200009_at,8106.4,P,0.000244
200010_at,19956.4,P,0.000244
200011_s_at,1645.4,P,0.001953
200012_x_at,22218.2,P,0.000244
200013_at,15913.8,P,0.000244
200014_s_at,2022.7,P,0.000244
200015_s_at,1540.5,P,0.000732
200016_x_at,27680.4,P,0.000244
200017_at,14165.6,P,0.000732
200018_at,27738.1,P,0.000244
200019_s_at,19969,P,0.000244
200020_at,1588.5,P,0.000244
200021_at,29793.1,P,0.00293
200022_at,14193.7,P,0.000244
200023_s_at,8418.1,P,0.000244
200024_at,24173,P,0.000732
200025_s_at,29320.7,P,0.000244
200026_at,29759.4,P,0.000732
200027_at,2251,P,0.000244
200028_s_at,3556.3,P,0.000244
200029_at,29539.3,P,0.000244
200030_s_at,8207.7,P,0.000244
200031_s_at,43811.8,P,0.000244
200032_s_at,36855.4,P,0.000244
200033_at,8643.2,P,0.000244
200034_s_at,17648.3,P,0.000244
200035_at,1384.9,P,0.01416
200036_s_at,10589.7,P,0.000244
200037_s_at,3374.4,P,0.000244
200038_s_at,25567.3,P,0.000244
200039_s_at,3395,P,0.000732
200040_at,2907.5,P,0.000732
200041_s_at,6200.6,P,0.000244
200042_at,1672.9,P,0.018555
200043_at,5218.8,P,0.001953
200044_at,2301.3,P,0.000244
200045_at,1423.3,P,0.001953
200046_at,1999.3,P,0.001221
200047_s_at,2688.2,P,0.000244
200048_s_at,4241.4,P,0.000244
200049_at,809.5,P,0.001953
200050_at,1333.2,P,0.000732
200051_at,726.7,P,0.00415
200052_s_at,2426.5,P,0.000244
200053_at,1618.7,P,0.000244
200054_at,446.3,P,0.023926
200055_at,3383.9,P,0.000244
200056_s_at,309.1,P,0.046143
200057_s_at,9054.6,P,0.000244
200058_s_at,1846.8,P,0.000244
200059_s_at,19239.9,P,0.000244
200060_s_at,3280.5,P,0.001953
200061_s_at,49379.4,P,0.000244
200062_s_at,39733.2,P,0.000244
200063_s_at,15518.6,P,0.000244
200064_at,15623.2,P,0.000732
200065_s_at,4123.3,P,0.000244
200066_at,1071.5,P,0.00293
200067_x_at,2051.8,P,0.000732
200068_s_at,5809.1,P,0.000244
200069_at,359.9,P,0.000732
200070_at,931.3,P,0.008057
200071_at,677.4,P,0.023926
200072_s_at,3730.1,P,0.000244
200073_s_at,4415.4,P,0.000244
200074_s_at,11177.7,P,0.000244
200075_s_at,1807.9,P,0.000732
200076_s_at,729.7,P,0.008057
200077_s_at,12486.1,P,0.000244
200078_s_at,2262.2,P,0.008057
200079_s_at,3420.5,P,0.000732
200080_s_at,13867.2,P,0.000244
200081_s_at,25716.6,P,0.000244
200082_s_at,22402.1,P,0.000244
200083_at,1780.5,P,0.00293
200084_at,2386.3,P,0.000244
200085_s_at,2388.1,P,0.001953
200086_s_at,3002.9,P,0.000244
200087_s_at,3049.5,P,0.000244
200088_x_at,19320.1,P,0.000244
200089_s_at,14894.7,P,0.000244
200090_at,2391.8,P,0.001221
200091_s_at,11731.5,P,0.000244
200092_s_at,21091.8,P,0.000244
200093_s_at,3159.2,P,0.000244
200094_s_at,6144.6,P,0.000244
200095_x_at,52556.8,P,0.000244
200096_s_at,1539.9,P,0.000244
200097_s_at,3329.5,P,0.000244
200098_s_at,2692.7,P,0.001953
200099_s_at,34904.5,P,0.000244
200593_s_at,3310,P,0.000244
200594_x_at,5335.3,P,0.000244
200595_s_at,1705.8,P,0.000244
200596_s_at,698.3,P,0.010742
200597_at,777.3,P,0.010742
200598_s_at,1630.9,P,0.000244
200599_s_at,3054.2,P,0.000244
200600_at,3963.1,P,0.000244
200601_at,1379.1,P,0.005859
200602_at,410.6,A,0.095215
200603_at,1406.2,P,0.000244
200604_s_at,717.5,P,0.001953
200605_s_at,1451.7,P,0.000244
200606_at,164.1,P,0.046143
200607_s_at,1973.6,P,0.005859
200608_s_at,1523.2,P,0.000244
200609_s_at,2258.9,P,0.001221
200610_s_at,7800.4,P,0.000732
200611_s_at,2423.6,P,0.018555
200612_s_at,369,A,0.533936
200613_at,1612.5,P,0.001953
