^SAMPLE = GSM705482
!Sample_title = SJPHALL017
!Sample_geo_accession = GSM705482
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705482/suppl/GSM705482.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1514.1	P	0.000562
1053_at	574.5	P	0.001892
117_at	134.8	A	0.189687
121_at	1219	P	0.00418
1255_g_at	73.5	A	0.218983
1294_at	1644.6	P	0.000219
1316_at	225.4	P	0.02786
1320_at	38.1	A	0.715253
1405_i_at	275.4	P	0.001165
1431_at	110.7	A	0.07383
1438_at	94.7	A	0.397994
1487_at	467.2	P	0.048995
1494_f_at	312.1	A	0.081337
1598_g_at	745.3	P	0.031336
160020_at	705.8	P	0.021866
1729_at	321.7	P	0.02786
1773_at	201.3	A	0.284747
177_at	124.1	A	0.234557
179_at	618.7	P	0.024711
1861_at	279.3	P	0.017001
200000_s_at	2997.6	P	0.000244
200001_at	4532.2	P	0.000244
200002_at	17294.2	P	0.000244
200003_s_at	29898.4	P	0.000244
200004_at	7879.8	P	0.000244
200005_at	5476	P	0.000244
200006_at	9638.1	P	0.000244
200007_at	8231.7	P	0.000244
200008_s_at	4740.3	P	0.000244
200009_at	11576	P	0.000244
200010_at	21412.1	P	0.000244
200011_s_at	1842.7	P	0.000244
200012_x_at	19015.8	P	0.000244
200013_at	18514.6	P	0.000244
200014_s_at	3156.3	P	0.000244
200015_s_at	1992.7	P	0.000732
200016_x_at	29380.9	P	0.000244
200017_at	20342.9	P	0.000732
200018_at	29429.3	P	0.000244
200019_s_at	21813.8	P	0.000244
200020_at	1968.1	P	0.000244
200021_at	24687.1	P	0.001953
200022_at	17165	P	0.000244
200023_s_at	8377.7	P	0.000244
200024_at	18478.2	P	0.000244
200025_s_at	29420.9	P	0.000244
200026_at	39014.9	P	0.000244
200027_at	2599.1	P	0.000244
200028_s_at	5172.1	P	0.000244
200029_at	26791.6	P	0.000244
200030_s_at	9038.5	P	0.000244
200031_s_at	31842.9	P	0.000244
200032_s_at	39776.2	P	0.000244
200033_at	12707	P	0.000244
200034_s_at	21651.6	P	0.000244
200035_at	1304.2	P	0.001221
200036_s_at	16258.3	P	0.000244
200037_s_at	4568.7	P	0.000244
200038_s_at	26562.5	P	0.000244
200039_s_at	2380.1	P	0.000244
200040_at	4712.4	P	0.000244
200041_s_at	8662.7	P	0.000244
200042_at	1145.7	P	0.000732
200043_at	9266.4	P	0.000732
200044_at	3998.8	P	0.000244
200045_at	1605.2	P	0.000244
200046_at	2586.7	P	0.000244
200047_s_at	3351.9	P	0.000244
200048_s_at	3713.7	P	0.000244
200049_at	844.4	P	0.000244
200050_at	1594.9	P	0.000244
200051_at	686	P	0.000244
200052_s_at	4271.8	P	0.000244
200053_at	1560.6	P	0.000244
200054_at	410.5	P	0.001221
200055_at	3066.3	P	0.000244
200056_s_at	540.6	P	0.000732
200057_s_at	10709.6	P	0.000244
200058_s_at	3013.4	P	0.000244
200059_s_at	17717.1	P	0.000244
200060_s_at	3175.4	P	0.000732
200061_s_at	35609.2	P	0.000244
200062_s_at	42155.4	P	0.000244
200063_s_at	19081.4	P	0.000244
200064_at	9969.4	P	0.000244
200065_s_at	3835.7	P	0.000244
200066_at	1844.2	P	0.000732
200067_x_at	1815.7	P	0.000244
200068_s_at	5124.8	P	0.000244
200069_at	533.4	P	0.000244
200070_at	1021.3	P	0.008057
200071_at	840.3	P	0.00415
200072_s_at	4327.4	P	0.000244
200073_s_at	6080.3	P	0.000244
200074_s_at	11294.3	P	0.000244
200075_s_at	1791.6	P	0.000244
200076_s_at	1205.1	P	0.001953
200077_s_at	12597.5	P	0.000244
200078_s_at	2517.8	P	0.001953
200079_s_at	3170.9	P	0.000244
200080_s_at	18692.7	P	0.000244
200081_s_at	25217.6	P	0.000244
200082_s_at	30736.5	P	0.000244
200083_at	2200.2	P	0.000732
200084_at	3268.6	P	0.000244
200085_s_at	2772.3	P	0.000732
200086_s_at	4771.9	P	0.000244
200087_s_at	4415	P	0.000244
200088_x_at	21753.8	P	0.000244
200089_s_at	17359.8	P	0.000244
200090_at	2643.8	P	0.000244
200091_s_at	14448.7	P	0.000244
200092_s_at	24340	P	0.000244
200093_s_at	4764.1	P	0.000244
200094_s_at	7127.1	P	0.000244
200095_x_at	41523.7	P	0.000244
200096_s_at	2110	P	0.000244
200097_s_at	5741.1	P	0.000244
200098_s_at	2942.4	P	0.000244
200099_s_at	35857.4	P	0.000244
200593_s_at	3068	P	0.000244
200594_x_at	9002.6	P	0.000244
200595_s_at	2811.6	P	0.000244
200596_s_at	888.4	P	0.000244
200597_at	635.8	P	0.000732
200598_s_at	1301.2	P	0.000244
200599_s_at	3752.5	P	0.000244
200600_at	5458.3	P	0.000244
200601_at	1047.7	P	0.000732
200602_at	353.4	P	0.000732
200603_at	1854.9	P	0.000244
200604_s_at	773.9	P	0.005859
200605_s_at	1782.9	P	0.000244
200606_at	74.3	A	0.080566
200607_s_at	825.4	P	0.000732
200608_s_at	2079.5	P	0.000244
200609_s_at	2384	P	0.000244
200610_s_at	6350.8	P	0.000244
200611_s_at	2473.7	P	0.001953
200612_s_at	207.5	A	0.366211
200613_at	2480.9	P	0.001221
200614_at	8175.8	P	0.000244
200615_s_at	454.6	M	0.056152
200616_s_at	350.4	A	0.149658
200617_at	1357.2	P	0.000732
200618_at	3434.2	P	0.000244
200619_at	1651.6	P	0.005859
200620_at	2769.8	P	0.000244
200621_at	1100.9	P	0.001953
200622_x_at	819.9	P	0.046143
200623_s_at	1304.7	P	0.000244
200624_s_at	3796.4	P	0.000244
200625_s_at	3710.4	P	0.000244
200626_s_at	3642	P	0.000244
200627_at	8433.8	P	0.000244
200628_s_at	361.4	A	0.432373
200629_at	446.8	P	0.00415
200630_x_at	8176.9	P	0.000244
200631_s_at	6653	P	0.000244
200632_s_at	1136.7	P	0.000244
200633_at	24040.4	P	0.000244
200634_at	11839.9	P	0.000244
200635_s_at	44.1	A	0.633789
200636_s_at	202.6	A	0.219482
200637_s_at	39.8	A	0.633789
200638_s_at	5725.4	P	0.000244
200639_s_at	7539.9	P	0.000244
200640_at	9166.8	P	0.000244
200641_s_at	3709.1	P	0.000244
200642_at	6226.5	P	0.000244
200643_at	769.4	M	0.056152
200644_at	5910.7	P	0.000244
200645_at	5266.2	P	0.000244
200646_s_at	231.7	P	0.010742
200647_x_at	3762.1	P	0.000732
200648_s_at	462	A	0.067627
200649_at	756.4	P	0.00293
200650_s_at	12462.2	P	0.000244
200651_at	25233.6	P	0.000244
200652_at	3668.3	P	0.000732
200653_s_at	3317.7	P	0.000244
200654_at	4318.4	P	0.018555
200655_s_at	6590.2	P	0.000244
200656_s_at	1328.3	P	0.000732
200657_at	11240.9	P	0.000244
200658_s_at	1026	P	0.000244
200659_s_at	423.5	P	0.008057
200660_at	144.1	A	0.466064
200661_at	285.6	A	0.303711
200662_s_at	2114.7	P	0.000244
200663_at	4348.2	P	0.000244
200664_s_at	665.1	P	0.010742
200665_s_at	1533.1	P	0.001953
200666_s_at	1435.7	P	0.000244
200667_at	1846.2	P	0.000244
200668_s_at	5169.8	P	0.000244
200669_s_at	2927.8	P	0.000244
200670_at	6777.1	P	0.000244
200671_s_at	489	P	0.037598
200672_x_at	803.3	P	0.000244
200673_at	2568.1	P	0.000244
200674_s_at	38933	P	0.000244
200675_at	5052.4	P	0.000732
200676_s_at	473.3	P	0.001953
200677_at	1330.7	P	0.001221
200678_x_at	971.9	P	0.00415
200679_x_at	7859.2	P	0.000244
200680_x_at	22205.1	P	0.000244
200681_at	2208.1	P	0.000732
200682_s_at	2800.1	P	0.000244
200683_s_at	1659.9	P	0.018555
200684_s_at	719.9	P	0.001221
