^SAMPLE = GSM705483
!Sample_title = SJPHALL019
!Sample_geo_accession = GSM705483
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705483/suppl/GSM705483.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	897.7	P	0.019304
1053_at	378.4	P	0.003585
117_at	188.5	A	0.175989
121_at	1363.1	P	0.017001
1255_g_at	39.4	A	0.541184
1294_at	1517.4	P	0.000562
1316_at	115.1	A	0.175989
1320_at	28.9	A	0.660442
1405_i_at	35.4	A	0.537511
1431_at	102.2	M	0.060419
1438_at	212.6	A	0.267463
1487_at	518.1	M	0.05447
1494_f_at	350.6	P	0.031336
1598_g_at	1640.6	P	0.004863
160020_at	848.5	P	0.019304
1729_at	573	P	0.002228
1773_at	175.7	A	0.339558
177_at	144.3	A	0.218983
179_at	703.4	P	0.02786
1861_at	231	A	0.162935
200000_s_at	2870.7	P	0.000244
200001_at	4570	P	0.000244
200002_at	16448.8	P	0.000244
200003_s_at	24423.8	P	0.000244
200004_at	9271.3	P	0.000244
200005_at	5271.5	P	0.000244
200006_at	8246.6	P	0.000244
200007_at	8211.5	P	0.000244
200008_s_at	4555.6	P	0.000244
200009_at	7672	P	0.000244
200010_at	20473.6	P	0.000244
200011_s_at	2824.8	P	0.000244
200012_x_at	16888.6	P	0.000244
200013_at	17410.4	P	0.000244
200014_s_at	2928.5	P	0.000244
200015_s_at	2788.8	P	0.000732
200016_x_at	26720.7	P	0.000244
200017_at	16419.9	P	0.000244
200018_at	27331.5	P	0.000244
200019_s_at	21630.2	P	0.000244
200020_at	1682.8	P	0.000244
200021_at	30043.8	P	0.001221
200022_at	14846.2	P	0.000244
200023_s_at	7325.7	P	0.000244
200024_at	18159.3	P	0.000244
200025_s_at	26352.9	P	0.000244
200026_at	33772.3	P	0.000732
200027_at	2638.4	P	0.000244
200028_s_at	3246.7	P	0.000244
200029_at	23877.5	P	0.000244
200030_s_at	8765.6	P	0.000244
200031_s_at	34555.1	P	0.000244
200032_s_at	33022.4	P	0.000244
200033_at	13195.7	P	0.000244
200034_s_at	19360.3	P	0.000244
200035_at	2575.2	P	0.00293
200036_s_at	15269.5	P	0.000244
200037_s_at	2963	P	0.000244
200038_s_at	23904.8	P	0.000244
200039_s_at	2481	P	0.000244
200040_at	4530.4	P	0.000244
200041_s_at	7140.6	P	0.000244
200042_at	1234	P	0.001953
200043_at	6548.9	P	0.000732
200044_at	3555.3	P	0.000244
200045_at	1595.1	P	0.000732
200046_at	2264.2	P	0.000244
200047_s_at	3406.5	P	0.000244
200048_s_at	3947.6	P	0.000244
200049_at	673	P	0.000244
200050_at	1977.6	P	0.000244
200051_at	603.5	P	0.000732
