^SAMPLE = GSM705487
!Sample_title = SJPHALL003
!Sample_geo_accession = GSM705487
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 5_Ph
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = BCR-ABL1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705487/suppl/GSM705487.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	844.1	P	0.005643
1053_at	397.6	P	0.004863
117_at	167.5	A	0.284747
121_at	1734.1	P	0.003585
1255_g_at	97.7	A	0.378184
1294_at	1824	P	0.000322
1316_at	261.1	P	0.019304
1320_at	19.7	A	0.88284
1405_i_at	98.7	A	0.437646
1431_at	115.6	M	0.060419
1438_at	223.4	A	0.302547
1487_at	454.9	P	0.039365
1494_f_at	536.7	M	0.060419
1598_g_at	942.2	P	0.043968
160020_at	1096.7	P	0.019304
1729_at	409.8	P	0.024711
1773_at	134.3	A	0.5
177_at	127.4	A	0.189687
179_at	1211.8	P	0.013092
1861_at	233.5	A	0.204022
200000_s_at	3394.6	P	0.000244
200001_at	4887.5	P	0.000732
200002_at	19454.2	P	0.000244
200003_s_at	38047.2	P	0.000244
200004_at	6969.1	P	0.000244
200005_at	6776.1	P	0.000244
200006_at	7317.3	P	0.000244
200007_at	7300.4	P	0.000244
200008_s_at	9825.3	P	0.000244
200009_at	13156.3	P	0.000244
200010_at	26599.8	P	0.000244
200011_s_at	1821.2	P	0.001221
200012_x_at	27347.7	P	0.000244
200013_at	18758.8	P	0.000244
200014_s_at	2449.5	P	0.000244
200015_s_at	1655.8	P	0.000244
200016_x_at	34647.1	P	0.000244
200017_at	20699.1	P	0.000244
200018_at	33894.4	P	0.000244
200019_s_at	24577	P	0.000244
200020_at	2060.7	P	0.000244
200021_at	23874.3	P	0.001221
200022_at	30364.6	P	0.000244
200023_s_at	9704.2	P	0.000244
200024_at	26715.3	P	0.000244
200025_s_at	37092	P	0.000244
200026_at	38362.6	P	0.000732
200027_at	2790.4	P	0.000244
200028_s_at	3309.4	P	0.000244
200029_at	34554	P	0.000244
200030_s_at	9709.4	P	0.000244
200031_s_at	55213.7	P	0.000244
200032_s_at	46400.5	P	0.000244
200033_at	10518.2	P	0.000244
200034_s_at	23797.5	P	0.000244
200035_at	1089	P	0.000244
200036_s_at	26848.3	P	0.000244
200037_s_at	1917.5	P	0.000244
200038_s_at	37872.3	P	0.000244
200039_s_at	2433.9	P	0.000244
200040_at	2669.7	P	0.000244
200041_s_at	6570.5	P	0.000244
200042_at	1080.6	P	0.00293
200043_at	6587.7	P	0.001953
200044_at	2692.4	P	0.000244
200045_at	1450.5	P	0.000732
200046_at	1967.7	P	0.000244
200047_s_at	2837.4	P	0.000244
200048_s_at	3789.2	P	0.000244
200049_at	778.9	P	0.001221
200050_at	1439.4	P	0.000244
