^SAMPLE = GSM705502
!Sample_title = SJE2A001
!Sample_geo_accession = GSM705502
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705502/suppl/GSM705502.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2001.2	P	0.007543
1053_at	433	M	0.060419
117_at	41	A	0.765443
121_at	2062.6	P	0.009985
1255_g_at	201.2	A	0.438361
1294_at	1536.2	P	0.001141
1316_at	266.6	A	0.175989
1320_at	30.8	A	0.933135
1405_i_at	19.4	A	0.992173
1431_at	258.6	P	0.014937
1438_at	392.3	A	0.175989
1487_at	776.4	A	0.204022
1494_f_at	824.7	P	0.021866
1598_g_at	706.8	A	0.218983
160020_at	1300.1	P	0.013092
1729_at	455.8	A	0.218983
1773_at	236.9	A	0.5
177_at	276.6	A	0.438361
179_at	1751.3	A	0.138765
1861_at	152.9	A	0.64131
200000_s_at	2922.3	P	0.001221
200001_at	2634.6	P	0.00415
200002_at	10048.4	P	0.000244
200003_s_at	23763.2	P	0.000244
200004_at	9476	P	0.000244
200005_at	4711.9	P	0.000244
200006_at	5505.5	P	0.000732
200007_at	6596.2	P	0.000244
200008_s_at	4863.7	P	0.000244
200009_at	7198.7	P	0.000244
200010_at	14664	P	0.000244
200011_s_at	1045.9	P	0.030273
200012_x_at	14850.2	P	0.000244
200013_at	14630.3	P	0.000244
200014_s_at	2280.5	P	0.000244
200015_s_at	843.4	P	0.00415
200016_x_at	28109	P	0.000244
200017_at	12803.6	P	0.000244
200018_at	27816.5	P	0.000244
200019_s_at	18114.4	P	0.000244
200020_at	2463.5	P	0.000244
200021_at	28979.9	P	0.005859
200022_at	17192.3	P	0.000732
200023_s_at	8145.8	P	0.000244
200024_at	9936.3	P	0.000732
200025_s_at	23322.8	P	0.000244
200026_at	14907.8	P	0.000732
200027_at	2194.6	P	0.000244
200028_s_at	1167.5	P	0.001221
200029_at	21501.4	P	0.000244
200030_s_at	7636.2	P	0.000244
200031_s_at	39136.1	P	0.000244
200032_s_at	34134.6	P	0.000244
200033_at	9828.4	P	0.000244
200034_s_at	15192.2	P	0.000244
200035_at	1206.4	P	0.00293
200036_s_at	11103.2	P	0.000244
200037_s_at	2774.8	P	0.000244
200038_s_at	18424.7	P	0.000244
200039_s_at	2707.3	P	0.001953
200040_at	3645.6	P	0.000732
200041_s_at	6429.3	P	0.000244
200042_at	1255.8	P	0.00293
200043_at	6124	P	0.001953
200044_at	3591.3	P	0.000244
200045_at	1532.4	P	0.000244
200046_at	1514.3	P	0.001953
200047_s_at	2503.7	P	0.000244
200048_s_at	5186.9	P	0.000244
200049_at	658.5	P	0.037598
200050_at	1416	P	0.001221
200051_at	858.7	P	0.01416
