^SAMPLE = GSM705507
!Sample_title = SJE2A006
!Sample_geo_accession = GSM705507
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705507/suppl/GSM705507.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1300.6	P	0.003067
1053_at	468.9	P	0.014937
117_at	167.7	A	0.339558
121_at	1674.1	P	0.013092
1255_g_at	127.3	A	0.189648
1294_at	1200.7	P	0.000673
1316_at	194.8	A	0.089405
1320_at	28.3	A	0.901946
1405_i_at	182.6	P	0.042142
1431_at	231.9	A	0.204022
1438_at	266	A	0.250724
1487_at	617.5	A	0.150527
1494_f_at	597.9	P	0.024711
1598_g_at	816.4	A	0.089405
160020_at	802.5	P	0.031336
1729_at	248.1	M	0.060419
1773_at	218.8	A	0.458816
177_at	251	A	0.127645
179_at	1126.4	P	0.043968
1861_at	253.5	A	0.267463
200000_s_at	2621.1	P	0.000244
200001_at	4080.4	P	0.000732
200002_at	15171.6	P	0.000244
200003_s_at	21445.9	P	0.000244
200004_at	9528.1	P	0.000244
200005_at	4552.5	P	0.000244
200006_at	4361.3	P	0.000244
200007_at	7734.1	P	0.000244
200008_s_at	3691.7	P	0.000244
200009_at	6499.8	P	0.000244
200010_at	22401	P	0.000244
200011_s_at	1247.3	P	0.00415
200012_x_at	19979.8	P	0.000244
200013_at	15998.2	P	0.000244
200014_s_at	1885.1	P	0.000244
200015_s_at	1745.6	P	0.000732
200016_x_at	25632.2	P	0.000244
200017_at	20425.4	P	0.000244
200018_at	24985.4	P	0.000244
200019_s_at	19168.7	P	0.000244
200020_at	1952.6	P	0.000244
200021_at	27467.6	P	0.001221
200022_at	20189.5	P	0.000244
200023_s_at	9085.8	P	0.000244
200024_at	13393	P	0.001221
200025_s_at	22485.7	P	0.000244
200026_at	24532.8	P	0.000732
200027_at	2192.5	P	0.000244
200028_s_at	1968.2	P	0.001221
200029_at	20370.5	P	0.000244
200030_s_at	7314.8	P	0.000244
200031_s_at	42379.5	P	0.000244
200032_s_at	34234	P	0.000244
200033_at	10233.2	P	0.000244
200034_s_at	17499.9	P	0.000244
200035_at	1205.1	P	0.00293
200036_s_at	12166.4	P	0.000244
200037_s_at	3581.9	P	0.000244
200038_s_at	22102.6	P	0.000244
200039_s_at	2341	P	0.000244
200040_at	4041.1	P	0.000732
200041_s_at	6150.8	P	0.000244
200042_at	1935.5	P	0.010742
200043_at	6155.4	P	0.001221
200044_at	3302.2	P	0.000244
200045_at	1544.1	P	0.000732
200046_at	1200.8	P	0.001221
200047_s_at	2482.5	P	0.000244
200048_s_at	3051.9	P	0.000244
200049_at	788.8	P	0.001221
200050_at	1119.8	P	0.000732
200051_at	727.8	P	0.001221
200052_s_at	2656.5	P	0.000244
200053_at	1124.1	P	0.000244
200054_at	387.5	P	0.030273
200055_at	2274.9	P	0.000244
200056_s_at	373.9	P	0.00293
200057_s_at	8620.4	P	0.000244
200058_s_at	3694.4	P	0.000244
200059_s_at	12865.4	P	0.000244
200060_s_at	3390.3	P	0.001953
200061_s_at	35123.4	P	0.000244
200062_s_at	31263.3	P	0.000244
200063_s_at	14841	P	0.000244
200064_at	8084.5	P	0.000732
200065_s_at	6677.7	P	0.000244
200066_at	1598.2	P	0.000244
200067_x_at	1187.7	P	0.000244
200068_s_at	3721.4	P	0.000244
200069_at	445.5	P	0.001953
200070_at	548.1	P	0.000732
200071_at	752.2	P	0.01416
200072_s_at	3964.8	P	0.000244
200073_s_at	4325	P	0.000244
200074_s_at	7387.2	P	0.000244
200075_s_at	2044.7	P	0.000244
200076_s_at	1184.4	P	0.001953
200077_s_at	12172.6	P	0.000244
200078_s_at	2327.7	P	0.00415
200079_s_at	3023.8	P	0.000732
200080_s_at	20402	P	0.000244
200081_s_at	17699	P	0.000244
200082_s_at	20203.3	P	0.000244
200083_at	2411	P	0.001953
200084_at	2621.9	P	0.000244
200085_s_at	2184.6	P	0.000732
200086_s_at	3709.3	P	0.000244
200087_s_at	1972.2	P	0.000244
200088_x_at	23570	P	0.000244
200089_s_at	12157	P	0.000244
200090_at	2963.8	P	0.000732
200091_s_at	10893	P	0.000244
200092_s_at	19849.3	P	0.000244
200093_s_at	3236.9	P	0.000244
200094_s_at	8459.2	P	0.000244
200095_x_at	36874.1	P	0.000244
200096_s_at	1240.2	P	0.000732
200097_s_at	4871.7	P	0.000244
200098_s_at	2144.2	P	0.001953
200099_s_at	29364.6	P	0.000244
200593_s_at	5049	P	0.000244
200594_x_at	7051.8	P	0.000244
200595_s_at	1977	P	0.000244
200596_s_at	867.3	P	0.00415
200597_at	894.3	P	0.018555
200598_s_at	1005.8	P	0.000244
200599_s_at	2345.3	P	0.000244
200600_at	2595.2	P	0.000244
200601_at	1457.2	P	0.001953
200602_at	351.6	P	0.00293
200603_at	3009.3	P	0.000244
200604_s_at	1794	P	0.000244
200605_s_at	3470.7	P	0.000244
200606_at	111.5	A	0.171387
200607_s_at	1993.2	P	0.001953
200608_s_at	1739.7	P	0.000244
200609_s_at	1918.6	P	0.005859
200610_s_at	6465.4	P	0.000244
200611_s_at	2658.5	P	0.00293
200612_s_at	125.3	A	0.466064
200613_at	1720.5	P	0.001221
200614_at	7567.5	P	0.000244
200615_s_at	811	P	0.030273
200616_s_at	366.4	P	0.005859
200617_at	1159.1	P	0.00415
200618_at	1530.5	P	0.001953
200619_at	1213.3	P	0.018555
200620_at	1434.6	P	0.000244
200621_at	1050.7	P	0.001953
200622_x_at	1349.4	P	0.008057
200623_s_at	2185.7	P	0.000244
200624_s_at	4364.2	P	0.000244
200625_s_at	3807.8	P	0.000244
200626_s_at	3883.7	P	0.000244
200627_at	4581.7	P	0.000244
200628_s_at	448.5	A	0.5
200629_at	685.3	P	0.005859
200630_x_at	10124.7	P	0.000244
200631_s_at	8402.3	P	0.000244
