^SAMPLE = GSM705511
!Sample_title = SJE2A011
!Sample_geo_accession = GSM705511
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705511/suppl/GSM705511.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1566.9	P	0.011447
1053_at	321.6	M	0.05447
117_at	174.1	A	0.47938
121_at	2015.3	P	0.008689
1255_g_at	127.5	A	0.250724
1294_at	1480.9	P	0.001354
1316_at	326.3	A	0.066832
1320_at	33.1	A	0.837065
1405_i_at	307.1	A	0.165268
1431_at	104.8	A	0.150527
1438_at	188.4	A	0.418069
1487_at	865.4	A	0.089405
1494_f_at	750.5	P	0.024711
1598_g_at	1284.6	A	0.098054
160020_at	1351.1	P	0.017001
1729_at	376.5	A	0.11716
1773_at	137.1	A	0.561639
177_at	205.8	A	0.284747
179_at	817.2	A	0.234557
1861_at	430.9	A	0.175989
200000_s_at	3180.7	P	0.000244
200001_at	4452.9	P	0.001221
200002_at	19846.2	P	0.000244
200003_s_at	24596.9	P	0.000244
200004_at	8346.5	P	0.000244
200005_at	4546.4	P	0.000244
200006_at	7299	P	0.000244
200007_at	7370.9	P	0.000244
200008_s_at	4497.7	P	0.000244
200009_at	8254.8	P	0.000244
200010_at	17806.3	P	0.000244
200011_s_at	1360.3	P	0.001953
200012_x_at	16847.4	P	0.000244
200013_at	17500.2	P	0.000244
200014_s_at	2180.9	P	0.000732
200015_s_at	1761.4	P	0.000732
200016_x_at	24215.3	P	0.000244
200017_at	10021.5	P	0.000244
200018_at	26373.5	P	0.000244
200019_s_at	25309	P	0.000244
200020_at	1925.5	P	0.000244
200021_at	36093.1	P	0.001953
200022_at	20816.9	P	0.000732
200023_s_at	9121.3	P	0.000244
200024_at	16456.6	P	0.000732
200025_s_at	24667.3	P	0.000244
200026_at	26583.6	P	0.000732
200027_at	2495.4	P	0.000244
200028_s_at	2029.6	P	0.000244
200029_at	18887.6	P	0.001221
200030_s_at	9663.6	P	0.000244
200031_s_at	38272.7	P	0.000244
200032_s_at	31325.5	P	0.000244
200033_at	11419.2	P	0.000244
200034_s_at	14246.4	P	0.000244
200035_at	978.6	P	0.008057
200036_s_at	13493.4	P	0.000244
200037_s_at	2431.3	P	0.001221
200038_s_at	19444.6	P	0.000244
200039_s_at	2361.6	P	0.000244
200040_at	4240.6	P	0.000244
200041_s_at	6257.9	P	0.000244
200042_at	1231.7	P	0.01416
200043_at	5377.5	P	0.001953
200044_at	3194.9	P	0.000244
200045_at	1758.7	P	0.001953
200046_at	1091.3	P	0.000732
200047_s_at	2421.4	P	0.000244
200048_s_at	3448	P	0.000244
200049_at	945.3	P	0.01416
200050_at	1518.4	P	0.00415
200051_at	937.9	P	0.005859
