^SAMPLE = GSM705520
!Sample_title = SJE2A021
!Sample_geo_accession = GSM705520
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705520/suppl/GSM705520.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	664.4	A	0.127645
1053_at	356.7	P	0.011447
117_at	120.9	A	0.541184
121_at	1478.1	P	0.021866
1255_g_at	78.8	A	0.602006
1294_at	549.7	A	0.081337
1316_at	257.5	M	0.05447
1320_at	202.9	A	0.621816
1405_i_at	1454.1	P	0.001165
1431_at	64.1	A	0.561639
1438_at	75.5	A	0.5
1487_at	275.8	A	0.339558
1494_f_at	691.2	M	0.060419
1598_g_at	1258	A	0.07383
160020_at	999.5	P	0.02786
1729_at	447.4	A	0.234557
1773_at	155.6	A	0.418069
177_at	182.6	A	0.458816
179_at	1705.9	A	0.081337
1861_at	42.5	A	0.837065
200000_s_at	1401.8	P	0.000732
200001_at	5239.6	P	0.001953
200002_at	6715.8	P	0.000244
200003_s_at	23041.7	P	0.000244
200004_at	5918.1	P	0.000244
200005_at	3800.4	P	0.000244
200006_at	3736.4	P	0.000732
200007_at	5113.6	P	0.000244
200008_s_at	2293.8	P	0.000732
200009_at	4054	P	0.000244
200010_at	15911.2	P	0.000244
200011_s_at	681	P	0.001953
200012_x_at	39372.8	P	0.000244
200013_at	15970.6	P	0.000244
200014_s_at	1549.4	P	0.000244
200015_s_at	1465.7	P	0.005859
200016_x_at	20169.9	P	0.000244
200017_at	10151.6	P	0.001953
200018_at	26080.6	P	0.000244
200019_s_at	16071.5	P	0.000244
200020_at	1210.4	P	0.00415
200021_at	37713	P	0.005859
200022_at	15979.1	P	0.000244
200023_s_at	8078.1	P	0.000244
200024_at	9854.3	P	0.000732
200025_s_at	19505.6	P	0.000244
200026_at	21740.6	P	0.000732
200027_at	2516.3	P	0.000244
200028_s_at	2136	P	0.01416
200029_at	26663.2	P	0.000244
200030_s_at	8281	P	0.000244
200031_s_at	39169.7	P	0.000244
200032_s_at	31842.2	P	0.000244
200033_at	8951.4	P	0.000244
200034_s_at	10580.4	P	0.000244
200035_at	1855	P	0.008057
200036_s_at	7927.6	P	0.000732
200037_s_at	1784.3	P	0.001953
200038_s_at	19184.4	P	0.000244
200039_s_at	2016.5	P	0.008057
200040_at	1723.1	P	0.000244
200041_s_at	7199.3	P	0.000244
200042_at	1156.1	P	0.023926
200043_at	3493.3	P	0.00293
200044_at	1971.3	P	0.001953
200045_at	2004.2	P	0.005859
200046_at	2038.3	P	0.000244
200047_s_at	1639.2	P	0.000732
200048_s_at	4655.4	P	0.001953
200049_at	526	P	0.008057
200050_at	592	P	0.001953
200051_at	578.7	P	0.018555
200052_s_at	1247.1	P	0.001221
200053_at	1036.5	P	0.000244
200054_at	533.8	P	0.046143
200055_at	2816.6	P	0.000244
200056_s_at	757.5	P	0.005859
200057_s_at	5939	P	0.000244
200058_s_at	1753.1	P	0.01416
200059_s_at	10728.3	P	0.000244
200060_s_at	1570.6	P	0.00293
200061_s_at	39629.5	P	0.000244
200062_s_at	24322.8	P	0.000732
200063_s_at	4302.9	P	0.000244
200064_at	9910.8	P	0.000732
200065_s_at	8483.1	P	0.000244
200066_at	1374.1	P	0.005859
200067_x_at	11131.2	P	0.000732
200068_s_at	3145.9	P	0.000244
200069_at	361.1	P	0.000244
200070_at	3155.6	P	0.000244
200071_at	422.1	P	0.023926
200072_s_at	2803.9	P	0.000244
200073_s_at	1686.4	P	0.000244
200074_s_at	4608.7	P	0.000244
200075_s_at	5741.8	P	0.000244
200076_s_at	707.1	P	0.010742
200077_s_at	43953	P	0.000244
200078_s_at	2787.9	P	0.008057
200079_s_at	2891.4	P	0.000244
200080_s_at	12874.4	P	0.000244
200081_s_at	25998.1	P	0.000244
200082_s_at	9180.3	P	0.000244
200083_at	2176.4	P	0.005859
200084_at	2136.4	P	0.000244
200085_s_at	6939.7	P	0.000732
200086_s_at	2483.2	P	0.000244
200087_s_at	1577	P	0.000244
200088_x_at	30195	P	0.000244
200089_s_at	5765.4	P	0.000244
200090_at	1924.9	P	0.005859
200091_s_at	6655.5	P	0.000244
200092_s_at	15057.8	P	0.000244
