^SAMPLE = GSM705538
!Sample_title = SJHYPER160
!Sample_geo_accession = GSM705538
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705538/suppl/GSM705538.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1208.8	P	0.001141
1053_at	342.2	P	0.013092
117_at	148.3	A	0.175989
121_at	1010.7	P	0.017001
1255_g_at	73.7	A	0.234557
1294_at	1610.4	P	0.000388
1316_at	122.9	P	0.031336
1320_at	19	A	0.933135
1405_i_at	377.2	P	0.002607
1431_at	94.9	P	0.021866
1438_at	666.7	P	0.007543
1487_at	406.3	A	0.162935
1494_f_at	390.8	P	0.039365
1598_g_at	806.7	P	0.021866
160020_at	643.8	P	0.019304
1729_at	577.1	P	0.00418
1773_at	200.4	A	0.138765
177_at	75.8	A	0.438361
179_at	582.7	P	0.039365
1861_at	165.1	A	0.204022
200000_s_at	5136.1	P	0.000244
200001_at	3090.6	P	0.000732
200002_at	11105.2	P	0.000244
200003_s_at	28687.7	P	0.000244
200004_at	7165.2	P	0.000244
200005_at	4233.6	P	0.000244
200006_at	5078.3	P	0.000244
200007_at	6149	P	0.000244
200008_s_at	5148.7	P	0.000244
200009_at	9478.8	P	0.000244
200010_at	18346.5	P	0.000244
200011_s_at	1494.5	P	0.001221
200012_x_at	15312.5	P	0.000244
200013_at	11012.3	P	0.000244
200014_s_at	3766.5	P	0.000244
200015_s_at	1688.9	P	0.000732
200016_x_at	20333.7	P	0.000244
200017_at	16139.7	P	0.000732
200018_at	20642.5	P	0.000244
200019_s_at	16846.1	P	0.000244
200020_at	1890.2	P	0.000244
200021_at	21939.6	P	0.001953
200022_at	11564.7	P	0.000244
200023_s_at	12551.4	P	0.000244
200024_at	13841.5	P	0.000244
200025_s_at	27487.6	P	0.000244
200026_at	42582.3	P	0.000732
200027_at	3576.7	P	0.000244
200028_s_at	2825.1	P	0.000244
200029_at	31157.5	P	0.000244
200030_s_at	4951.7	P	0.000244
200031_s_at	30698.3	P	0.000244
200032_s_at	36848.5	P	0.000244
200033_at	15431.7	P	0.000244
200034_s_at	13515.8	P	0.000244
200035_at	1984.2	P	0.001953
200036_s_at	16011.3	P	0.000244
200037_s_at	2404.8	P	0.000244
200038_s_at	24691.7	P	0.000244
200039_s_at	1756.4	P	0.000244
200040_at	3452.3	P	0.000244
200041_s_at	9194.9	P	0.000244
200042_at	1150.7	P	0.001221
200043_at	9031	P	0.000244
200044_at	3386.6	P	0.000244
200045_at	2289.9	P	0.000244
200046_at	2012.3	P	0.000244
200047_s_at	3344	P	0.000244
200048_s_at	3986.2	P	0.000244
200049_at	1292.1	P	0.000244
200050_at	1803.5	P	0.001221
200051_at	566.9	P	0.000244
200052_s_at	4414.2	P	0.000244
200053_at	2160.5	P	0.000244
200054_at	386.4	P	0.001221
200055_at	1949.6	P	0.000244
200056_s_at	289.2	P	0.010742
200057_s_at	12679.9	P	0.000244
200058_s_at	2628.6	P	0.000244
