^SAMPLE = GSM705551
!Sample_title = SJHYPER006
!Sample_geo_accession = GSM705551
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705551/suppl/GSM705551.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1428	P	0.003585
1053_at	478.7	P	0.001354
117_at	130.3	A	0.302547
121_at	1823.2	P	0.017001
1255_g_at	61.8	A	0.397994
1294_at	1503.1	P	0.000266
1316_at	240.7	P	0.011447
1320_at	14.8	A	0.92617
1405_i_at	15.8	A	0.783687
1431_at	71.6	A	0.127645
1438_at	386.1	A	0.107301
1487_at	648.2	A	0.107301
1494_f_at	398.4	P	0.02786
1598_g_at	1045	A	0.081337
160020_at	884.1	P	0.043968
1729_at	454.6	P	0.019304
1773_at	253.1	A	0.150527
177_at	244.5	M	0.060419
179_at	1062.2	A	0.07383
1861_at	151.1	A	0.32083
200000_s_at	3399.2	P	0.000732
200001_at	3772.3	P	0.000732
200002_at	15287.3	P	0.000244
200003_s_at	29590.7	P	0.000244
200004_at	6655.9	P	0.000244
200005_at	4450.1	P	0.000244
200006_at	5951.5	P	0.000244
200007_at	6374.7	P	0.000244
200008_s_at	5202.6	P	0.000244
200009_at	10903.4	P	0.000244
200010_at	21865.5	P	0.000244
200011_s_at	1839.5	P	0.000244
200012_x_at	22521.3	P	0.000244
200013_at	16985.6	P	0.000244
200014_s_at	2671.7	P	0.000244
200015_s_at	2011.8	P	0.000732
200016_x_at	21727.4	P	0.000244
200017_at	16588.7	P	0.000732
200018_at	27034.8	P	0.000244
200019_s_at	16682.4	P	0.000244
200020_at	2045.3	P	0.000244
200021_at	22945.5	P	0.001953
200022_at	22147.1	P	0.000244
200023_s_at	20129.7	P	0.000244
200024_at	15667.9	P	0.000732
200025_s_at	21519.9	P	0.000244
200026_at	34402.3	P	0.000732
200027_at	3156.4	P	0.000244
200028_s_at	2424.5	P	0.000244
200029_at	23905.6	P	0.000244
200030_s_at	3543.7	P	0.000244
200031_s_at	45844	P	0.000244
200032_s_at	35872.9	P	0.000244
200033_at	10110.5	P	0.000244
200034_s_at	16450.9	P	0.000244
200035_at	1175.6	P	0.023926
200036_s_at	14605.9	P	0.000244
200037_s_at	2936.3	P	0.000244
200038_s_at	28315.8	P	0.000244
200039_s_at	1899.6	P	0.000244
200040_at	3121.1	P	0.000244
200041_s_at	8611.5	P	0.000244
200042_at	1405.4	P	0.00293
200043_at	7817.5	P	0.000244
200044_at	2277.2	P	0.000244
200045_at	1697.4	P	0.001221
200046_at	1790	P	0.000244
200047_s_at	2491.7	P	0.000244
200048_s_at	3257.1	P	0.000244
200049_at	809.1	P	0.000244
200050_at	1972.4	P	0.000244
