^SAMPLE = GSM705600
!Sample_title = SJHYPER134
!Sample_geo_accession = GSM705600
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705600/suppl/GSM705600.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1454.1	P	0.000959
1053_at	207.8	P	0.006532
117_at	88.3	A	0.5
121_at	1273	P	0.017001
1255_g_at	63.9	A	0.175989
1294_at	533.2	P	0.004863
1316_at	152.2	P	0.043968
1320_at	91.1	A	0.378184
1405_i_at	100.6	A	0.34162
1431_at	78.8	A	0.204022
1438_at	36.1	A	0.541184
1487_at	397.2	A	0.138765
1494_f_at	422.5	A	0.089405
1598_g_at	749.5	M	0.05447
160020_at	678.9	P	0.031336
1729_at	308.8	A	0.218983
1773_at	210.5	A	0.250724
177_at	101	A	0.267463
179_at	854	A	0.107301
1861_at	191.5	A	0.35869
200000_s_at	4313.3	P	0.000244
200001_at	5900.6	P	0.000244
200002_at	17348.9	P	0.000244
200003_s_at	29363.7	P	0.000244
200004_at	11173.5	P	0.000244
200005_at	4959.9	P	0.000244
200006_at	2860.8	P	0.000244
200007_at	8296.7	P	0.000244
200008_s_at	4268.5	P	0.000244
200009_at	8128.6	P	0.000244
200010_at	25456.6	P	0.000244
200011_s_at	1212.7	P	0.001953
200012_x_at	30126.9	P	0.000244
200013_at	20539.5	P	0.000244
200014_s_at	2718.2	P	0.000244
200015_s_at	2703.8	P	0.000732
200016_x_at	30114.4	P	0.000244
200017_at	15410.2	P	0.000732
200018_at	34507.9	P	0.000244
200019_s_at	30839	P	0.000244
200020_at	2601.9	P	0.000244
200021_at	38008.1	P	0.001221
200022_at	26490.1	P	0.000244
200023_s_at	18766.6	P	0.000244
200024_at	22252.4	P	0.000732
200025_s_at	27429.3	P	0.000244
200026_at	45290.8	P	0.000732
200027_at	2414.6	P	0.000244
200028_s_at	2094.4	P	0.001953
200029_at	32125.1	P	0.000244
200030_s_at	12041.8	P	0.000244
200031_s_at	49804.6	P	0.000244
200032_s_at	35826.1	P	0.000244
200033_at	15650.6	P	0.000244
200034_s_at	14858.6	P	0.000244
200035_at	1598.2	P	0.001221
200036_s_at	14525.9	P	0.000244
200037_s_at	2424.6	P	0.000244
200038_s_at	31511.6	P	0.000244
200039_s_at	1183.7	P	0.001953
200040_at	3877.2	P	0.000244
200041_s_at	10950.1	P	0.000244
200042_at	1558.4	P	0.008057
200043_at	5092.8	P	0.001221
200044_at	2215.4	P	0.000244
200045_at	2532.4	P	0.000244
200046_at	1429.5	P	0.000244
200047_s_at	3079.8	P	0.000244
200048_s_at	3412.9	P	0.000244
200049_at	1336.3	P	0.000732
200050_at	916.4	P	0.000244
200051_at	761.6	P	0.000244
