^SAMPLE = GSM705626
!Sample_title = SJERG027
!Sample_geo_accession = GSM705626
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705626/suppl/GSM705626.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1249.1	P	0.014937
1053_at	276.3	A	0.302547
117_at	191.2	A	0.32083
121_at	2268.1	P	0.017001
1255_g_at	157.5	A	0.284747
1294_at	1688	P	0.000673
1316_at	181.8	A	0.234557
1320_at	34.3	A	0.901946
1405_i_at	190	A	0.537511
1431_at	97.5	A	0.218983
1438_at	66.6	A	0.781017
1487_at	867.7	A	0.175989
1494_f_at	511.9	P	0.043968
1598_g_at	893	A	0.150527
160020_at	1344.5	P	0.021866
1729_at	526.8	A	0.175989
1773_at	172	A	0.64131
177_at	137.1	A	0.561639
179_at	1091	M	0.060419
1861_at	168	A	0.715253
200000_s_at	2184.5	P	0.000732
200001_at	2202.6	P	0.008057
200002_at	14344.5	P	0.000244
200003_s_at	28991.7	P	0.000244
200004_at	6747.3	P	0.000244
200005_at	5390.8	P	0.000244
200006_at	4601.4	P	0.000732
200007_at	5154.4	P	0.000244
200008_s_at	5185.7	P	0.000244
200009_at	5992	P	0.000244
200010_at	21466.4	P	0.000244
200011_s_at	1051.1	P	0.00415
200012_x_at	22919.3	P	0.000244
200013_at	18817.9	P	0.000244
200014_s_at	1767.3	P	0.000244
200015_s_at	1719.1	P	0.00415
200016_x_at	27602.9	P	0.000244
200017_at	17517.1	P	0.000244
200018_at	30210.8	P	0.000244
200019_s_at	18166.7	P	0.000244
200020_at	1040.8	P	0.000244
200021_at	17112	P	0.001221
200022_at	27303.8	P	0.000244
200023_s_at	8350.1	P	0.000244
200024_at	15852.3	P	0.000732
200025_s_at	31671.7	P	0.000244
200026_at	30214.3	P	0.000732
200027_at	2414.4	P	0.000244
200028_s_at	1876.2	P	0.00293
200029_at	22219.7	P	0.000244
200030_s_at	6276	P	0.000244
200031_s_at	44843.2	P	0.000244
200032_s_at	57543.5	P	0.000244
200033_at	10793	P	0.000244
200034_s_at	23895.7	P	0.000244
200035_at	1011.2	P	0.005859
200036_s_at	19556.6	P	0.000244
200037_s_at	2377.1	P	0.000244
200038_s_at	27127.4	P	0.000244
200039_s_at	1629	P	0.001953
200040_at	3438.1	P	0.001221
200041_s_at	4680.6	P	0.000244
200042_at	1391	P	0.030273
200043_at	2928.5	P	0.00415
200044_at	2682.2	P	0.000244
200045_at	1357.6	P	0.008057
200046_at	1380.9	P	0.00415
200047_s_at	2106.9	P	0.000244
200048_s_at	2396.9	P	0.000244
200049_at	1043.6	P	0.005859
200050_at	1148.1	P	0.010742
200051_at	947.4	P	0.013672
