^SAMPLE = GSM705633
!Sample_title = SJHYPER055
!Sample_geo_accession = GSM705633
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705633/suppl/GSM705633.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	729.7	P	0.003067
1053_at	662.4	P	0.014937
117_at	150.7	A	0.47938
121_at	1249.4	P	0.004863
1255_g_at	99.8	A	0.418069
1294_at	1099.7	P	0.001892
1316_at	212.2	A	0.11716
1320_at	60.1	A	0.824011
1405_i_at	307	P	0.010972
1431_at	89.1	A	0.35869
1438_at	259.8	A	0.418069
1487_at	466.3	A	0.267463
1494_f_at	320.4	A	0.07383
1598_g_at	725.5	A	0.150527
160020_at	606.1	A	0.07383
1729_at	388	P	0.008689
1773_at	223.5	A	0.234557
177_at	33.6	A	0.715253
179_at	462.6	A	0.218983
1861_at	324.5	P	0.048995
200000_s_at	4004	P	0.000244
200001_at	3171.3	P	0.001221
200002_at	9992.2	P	0.000244
200003_s_at	19710.9	P	0.000244
200004_at	7815.3	P	0.000244
200005_at	3725.5	P	0.000244
200006_at	6391.2	P	0.000244
200007_at	6380.3	P	0.000244
200008_s_at	4122.8	P	0.000244
200009_at	6929.7	P	0.000244
200010_at	15004.4	P	0.000244
200011_s_at	1613.3	P	0.001221
200012_x_at	11775.7	P	0.000244
200013_at	10295.2	P	0.000244
200014_s_at	2771.8	P	0.000244
200015_s_at	2124.1	P	0.000732
200016_x_at	16445.4	P	0.000244
200017_at	11486.5	P	0.000732
200018_at	18907.9	P	0.000244
200019_s_at	12822.1	P	0.000244
200020_at	1639.2	P	0.000244
200021_at	19158.6	P	0.001221
200022_at	11135	P	0.000244
200023_s_at	11996.2	P	0.000244
200024_at	8076.9	P	0.000732
200025_s_at	21894.5	P	0.000244
200026_at	28163.2	P	0.000732
200027_at	1891.6	P	0.000244
200028_s_at	2606.1	P	0.000244
200029_at	21915.8	P	0.000244
200030_s_at	5418.3	P	0.000244
200031_s_at	27754.3	P	0.000244
200032_s_at	31482.8	P	0.000244
200033_at	16964.9	P	0.000244
200034_s_at	13047.6	P	0.000244
200035_at	1518.6	P	0.010742
200036_s_at	14138.2	P	0.000244
200037_s_at	2696.8	P	0.000244
200038_s_at	16497.7	P	0.000244
200039_s_at	2388.6	P	0.000244
200040_at	3611.4	P	0.000244
200041_s_at	11963.8	P	0.000244
200042_at	1101.8	P	0.001221
200043_at	8356.5	P	0.000732
200044_at	2673.5	P	0.000244
200045_at	2349.9	P	0.000244
200046_at	2452.2	P	0.000244
200047_s_at	2304.3	P	0.000244
200048_s_at	2833.7	P	0.000244
200049_at	995	P	0.000244
200050_at	1584.4	P	0.001953
200051_at	630.8	P	0.008057
200052_s_at	2563.2	P	0.000244
200053_at	2209.1	P	0.000244
