^SAMPLE = GSM705654
!Sample_title = SJERG029
!Sample_geo_accession = GSM705654
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705654/suppl/GSM705654.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2355.2	P	0.002617
1053_at	403	P	0.011447
117_at	305.6	A	0.189687
121_at	2734.7	P	0.007543
1255_g_at	210.3	A	0.089405
1294_at	1246.7	P	0.000805
1316_at	353.2	P	0.009985
1320_at	28.2	A	0.918663
1405_i_at	44.8	A	0.703191
1431_at	181.8	A	0.089405
1438_at	53.6	A	0.715253
1487_at	871	A	0.11716
1494_f_at	704.9	P	0.035163
1598_g_at	1312	A	0.066865
160020_at	1375.3	P	0.035163
1729_at	221.4	A	0.35869
1773_at	264.2	A	0.302547
177_at	131.4	A	0.339558
179_at	1689.9	A	0.081337
1861_at	241.9	A	0.162935
200000_s_at	2789.2	P	0.000244
200001_at	3198.8	P	0.001953
200002_at	14178.7	P	0.000244
200003_s_at	20569.8	P	0.000244
200004_at	6775.9	P	0.000244
200005_at	5089.5	P	0.000244
200006_at	4615.1	P	0.000732
200007_at	7421.9	P	0.000244
200008_s_at	4302.9	P	0.000244
200009_at	6052.8	P	0.000244
200010_at	22001.4	P	0.000244
200011_s_at	1429.4	P	0.00293
200012_x_at	19397.8	P	0.000244
200013_at	18675.2	P	0.000244
200014_s_at	1588.7	P	0.000244
200015_s_at	2180.9	P	0.000732
200016_x_at	22532.5	P	0.000244
200017_at	18826.4	P	0.000244
200018_at	22567.2	P	0.000244
200019_s_at	14367.3	P	0.000244
200020_at	2568.1	P	0.000244
200021_at	19724.1	P	0.001953
200022_at	23798.4	P	0.000732
200023_s_at	8287.2	P	0.000244
200024_at	14281.2	P	0.000732
200025_s_at	22080.8	P	0.000244
200026_at	31975.1	P	0.000732
200027_at	2310.9	P	0.000244
200028_s_at	2686.7	P	0.001221
200029_at	22191.2	P	0.000244
200030_s_at	9220.6	P	0.000244
200031_s_at	41034.6	P	0.000244
200032_s_at	31740.1	P	0.000244
200033_at	7892.2	P	0.000244
200034_s_at	18648.4	P	0.000244
200035_at	1066.8	P	0.005859
200036_s_at	15913.7	P	0.000244
200037_s_at	3615.8	P	0.000244
200038_s_at	23040.4	P	0.000244
200039_s_at	1652	P	0.000732
200040_at	3133.3	P	0.000244
200041_s_at	8505.7	P	0.000244
200042_at	2034.3	P	0.010742
200043_at	4605.2	P	0.001221
200044_at	2829.3	P	0.000244
200045_at	1725.9	P	0.001221
200046_at	1365.1	P	0.001953
200047_s_at	2122.4	P	0.000244
200048_s_at	2961.6	P	0.000732
200049_at	1041	P	0.005859
200050_at	1602.6	P	0.000732
