^SAMPLE = GSM705678
!Sample_title = SJHYPO108
!Sample_geo_accession = GSM705678
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 6_Hypo
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with hypodiploid karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705678/suppl/GSM705678.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	189.5	A	0.378184
1053_at	555.3	P	0.008689
117_at	362.6	A	0.561639
121_at	2180	P	0.017001
1255_g_at	258.6	A	0.302547
1294_at	1919	P	0.008689
1316_at	354.1	A	0.098054
1320_at	551.9	A	0.267463
1405_i_at	60	A	0.929927
1431_at	331.9	P	0.019304
1438_at	119.5	A	0.47938
1487_at	794.2	A	0.284747
1494_f_at	741.6	A	0.098054
1598_g_at	963.3	A	0.150527
160020_at	1257.6	A	0.162935
1729_at	326.8	A	0.458816
1773_at	44.3	A	0.810313
177_at	145.7	A	0.47938
179_at	1445.6	A	0.150527
1861_at	43.8	A	0.88284
200000_s_at	2223.9	P	0.000732
200001_at	3882.5	P	0.00415
200002_at	10373.7	P	0.000244
200003_s_at	22847.5	P	0.000244
200004_at	5492.5	P	0.000244
200005_at	4201.3	P	0.000244
200006_at	4303.5	P	0.000732
200007_at	4682.9	P	0.000244
200008_s_at	6020	P	0.00293
200009_at	9572	P	0.000244
200010_at	18526.9	P	0.000244
200011_s_at	915.5	P	0.018555
200012_x_at	18247.6	P	0.000244
200013_at	13367.5	P	0.000244
200014_s_at	1068.1	P	0.000244
200015_s_at	1816.8	P	0.00415
200016_x_at	22200.5	P	0.000244
200017_at	11468.9	P	0.000732
200018_at	26056.5	P	0.000244
200019_s_at	19062.4	P	0.000244
200020_at	1993.8	P	0.001221
200021_at	24409.7	P	0.001953
200022_at	22028.7	P	0.001221
200023_s_at	8684.9	P	0.000244
200024_at	13223.1	P	0.000732
200025_s_at	27817.3	P	0.000244
200026_at	20789.2	P	0.001953
200027_at	2018.9	P	0.000732
200028_s_at	2163.3	P	0.010742
200029_at	26258.5	P	0.000244
200030_s_at	6656.9	P	0.000244
200031_s_at	48768.2	P	0.000244
200032_s_at	36899.1	P	0.000244
200033_at	8765.1	P	0.000244
200034_s_at	15418.3	P	0.000244
200035_at	1228.1	P	0.00293
200036_s_at	11317.9	P	0.000244
200037_s_at	2187.4	P	0.000244
200038_s_at	24857.9	P	0.000244
200039_s_at	1783.5	P	0.001221
200040_at	2119	P	0.000732
200041_s_at	4533.6	P	0.000244
200042_at	1117.1	P	0.046143
200043_at	3045.3	P	0.001221
200044_at	1794.9	P	0.000244
200045_at	1439.5	P	0.018555
200046_at	1538.6	P	0.00293
200047_s_at	2076.8	P	0.000244
200048_s_at	2355.1	P	0.000244
200049_at	1287.9	P	0.010742
200050_at	1360.7	P	0.00293
200051_at	707.5	P	0.018555
