^SAMPLE = GSM705680
!Sample_title = SJHYPO110
!Sample_geo_accession = GSM705680
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 6_Hypo
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with hypodiploid karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705680/suppl/GSM705680.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1211.5	P	0.024711
1053_at	442.4	P	0.001602
117_at	270.3	A	0.250724
121_at	2759.5	P	0.013092
1255_g_at	128.5	A	0.35869
1294_at	1512.5	P	0.000388
1316_at	395	P	0.006532
1320_at	74.9	A	0.561639
1405_i_at	267.5	P	0.036797
1431_at	94.8	A	0.204022
1438_at	162.7	A	0.418069
1487_at	468.9	A	0.204022
1494_f_at	458.1	A	0.066865
1598_g_at	1311	M	0.060419
160020_at	1592.3	P	0.035163
1729_at	447.7	A	0.150527
1773_at	181.3	A	0.47938
177_at	144.9	A	0.397994
179_at	888.6	A	0.11716
1861_at	67.7	A	0.715253
200000_s_at	1704.3	P	0.000732
200001_at	3541.2	P	0.001221
200002_at	13558.4	P	0.000244
200003_s_at	29121.2	P	0.000244
200004_at	7163.3	P	0.000244
200005_at	3685.4	P	0.000244
200006_at	4842.4	P	0.000732
200007_at	8627.7	P	0.000244
200008_s_at	2984.3	P	0.000244
200009_at	8087.3	P	0.000244
200010_at	15256.8	P	0.000244
200011_s_at	1451.2	P	0.001953
200012_x_at	26168.7	P	0.000244
200013_at	15737.3	P	0.000244
200014_s_at	2167.1	P	0.000244
200015_s_at	2260.8	P	0.000732
200016_x_at	22369.8	P	0.000244
200017_at	18941.1	P	0.000732
200018_at	26280.9	P	0.000244
200019_s_at	13035.3	P	0.000244
200020_at	1719.9	P	0.000244
200021_at	22885.7	P	0.001953
200022_at	19912.1	P	0.000732
200023_s_at	6041.1	P	0.000244
200024_at	9670	P	0.000732
200025_s_at	22761.9	P	0.000244
200026_at	29670.5	P	0.001221
200027_at	1596.8	P	0.010742
200028_s_at	2539.7	P	0.001953
200029_at	21752.9	P	0.000244
200030_s_at	6254.5	P	0.000244
200031_s_at	43582.1	P	0.000244
200032_s_at	35156.2	P	0.000244
200033_at	9106.7	P	0.000244
200034_s_at	18401.9	P	0.000244
200035_at	1102.3	P	0.010742
200036_s_at	8427.7	P	0.000244
200037_s_at	4297.5	P	0.000244
200038_s_at	22323.1	P	0.000732
200039_s_at	2594.8	P	0.000732
200040_at	2183.9	P	0.000244
200041_s_at	5333.1	P	0.000244
200042_at	1469.7	P	0.023926
200043_at	5778.1	P	0.001221
200044_at	2581.5	P	0.000244
200045_at	1232.7	P	0.010742
200046_at	1479.6	P	0.001953
200047_s_at	2304.9	P	0.000244
200048_s_at	4273.6	P	0.000244
200049_at	891.7	P	0.005859
200050_at	1345.7	P	0.000732
