^SAMPLE = GSM705692
!Sample_title = SJMLL038
!Sample_geo_accession = GSM705692
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705692/suppl/GSM705692.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	755.4	P	0.005643
1053_at	424.4	P	0.031336
117_at	122.6	A	0.234557
121_at	1088.5	P	0.017001
1255_g_at	97.8	A	0.162935
1294_at	1393.5	P	0.000219
1316_at	123.3	A	0.098054
1320_at	16.8	A	0.918663
1405_i_at	323.1	P	0.003815
1431_at	170.3	P	0.007543
1438_at	65.8	A	0.64131
1487_at	491.3	P	0.035163
1494_f_at	260.8	A	0.107301
1598_g_at	631	A	0.081337
160020_at	496.6	P	0.021866
1729_at	503.7	P	0.02786
1773_at	125.6	A	0.32083
177_at	253.7	M	0.060419
179_at	526.6	P	0.017001
1861_at	185.6	M	0.05447
200000_s_at	3868.6	P	0.000244
200001_at	4078.2	P	0.000244
200002_at	14784.1	P	0.000244
200003_s_at	32255.4	P	0.000244
200004_at	9487.8	P	0.000244
200005_at	6136.9	P	0.000244
200006_at	7970.7	P	0.000244
200007_at	7019.5	P	0.000244
200008_s_at	4129.7	P	0.000244
200009_at	7992.7	P	0.000244
200010_at	21112.5	P	0.000244
200011_s_at	1188.9	P	0.000244
200012_x_at	16411.8	P	0.000244
200013_at	22063.4	P	0.000244
200014_s_at	3093	P	0.000244
200015_s_at	1855.2	P	0.000732
200016_x_at	23442.3	P	0.000244
200017_at	13650.6	P	0.000732
200018_at	25728.3	P	0.000244
200019_s_at	25063.2	P	0.000244
200020_at	2149.7	P	0.000244
200021_at	23714.7	P	0.001221
200022_at	22523.6	P	0.000244
200023_s_at	10611.3	P	0.000244
200024_at	20460.8	P	0.000244
200025_s_at	26365.8	P	0.000244
200026_at	34796.8	P	0.000732
200027_at	2826.1	P	0.000244
200028_s_at	2554.4	P	0.000244
200029_at	22552.3	P	0.000244
200030_s_at	10404.6	P	0.000244
200031_s_at	36150.7	P	0.000244
200032_s_at	37422.2	P	0.000244
200033_at	14334.6	P	0.000244
200034_s_at	17649.3	P	0.000244
200035_at	2085.8	P	0.000244
200036_s_at	17686.2	P	0.000244
200037_s_at	4094.3	P	0.000244
200038_s_at	22419.6	P	0.000244
200039_s_at	2469	P	0.000244
200040_at	4405.6	P	0.000244
200041_s_at	8456.7	P	0.000244
200042_at	1358.4	P	0.000244
200043_at	6486.7	P	0.000244
200044_at	3766.1	P	0.000244
200045_at	1739.2	P	0.000244
200046_at	1701.8	P	0.000244
200047_s_at	2288.6	P	0.000244
200048_s_at	3170.2	P	0.000244
200049_at	841.3	P	0.000244
200050_at	1914.1	P	0.000244
