^SAMPLE = GSM705701
!Sample_title = SJINF065
!Sample_geo_accession = GSM705701
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705701/suppl/GSM705701.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	350.2	A	0.218983
1053_at	389.9	P	0.021866
117_at	47.5	A	0.418069
121_at	1413.2	P	0.006532
1255_g_at	64.5	A	0.458816
1294_at	1288.3	P	0.000266
1316_at	131.1	A	0.089405
1320_at	91.8	A	0.621816
1405_i_at	55.7	A	0.586954
1431_at	142.1	P	0.039365
1438_at	174.2	A	0.267463
1487_at	791.8	P	0.039365
1494_f_at	333.3	P	0.039365
1598_g_at	716.3	A	0.098054
160020_at	787	P	0.019304
1729_at	420.8	P	0.011447
1773_at	143.4	A	0.581931
177_at	369.8	P	0.043968
179_at	853.5	A	0.162935
1861_at	226.9	A	0.127645
200000_s_at	2520.5	P	0.000244
200001_at	3255.3	P	0.000244
200002_at	18638.1	P	0.000244
200003_s_at	28865.8	P	0.000244
200004_at	8790.8	P	0.000244
200005_at	8170.5	P	0.000244
200006_at	8867.6	P	0.000244
200007_at	8514.9	P	0.000244
200008_s_at	8634.2	P	0.000244
200009_at	13414.6	P	0.000244
200010_at	22844.5	P	0.000244
200011_s_at	1560.2	P	0.001953
200012_x_at	24630	P	0.000244
200013_at	21612.3	P	0.000244
200014_s_at	3004.5	P	0.000244
200015_s_at	2173.2	P	0.000732
200016_x_at	33802	P	0.000244
200017_at	17892.4	P	0.000244
200018_at	36810.1	P	0.000244
200019_s_at	21742.4	P	0.000244
200020_at	2096.4	P	0.000244
200021_at	25899.2	P	0.00293
200022_at	16716.8	P	0.000244
200023_s_at	11184.5	P	0.000244
200024_at	20112.4	P	0.000732
200025_s_at	29828.1	P	0.000244
200026_at	45450.7	P	0.000244
200027_at	3100.5	P	0.000244
200028_s_at	2713.2	P	0.001221
200029_at	26374.3	P	0.000244
200030_s_at	13496.9	P	0.000244
200031_s_at	37795.6	P	0.000244
200032_s_at	40754.1	P	0.000244
200033_at	14207.8	P	0.000244
200034_s_at	23254.8	P	0.000244
200035_at	2190.3	P	0.001221
200036_s_at	22990.4	P	0.000244
200037_s_at	2942	P	0.000244
200038_s_at	31593	P	0.000244
200039_s_at	2194.4	P	0.000244
200040_at	4729.1	P	0.000244
200041_s_at	6721.1	P	0.000244
200042_at	1788.7	P	0.000244
200043_at	6565.7	P	0.001221
200044_at	5694.4	P	0.000244
200045_at	1843.3	P	0.000244
200046_at	7009.9	P	0.000244
200047_s_at	2582	P	0.000244
200048_s_at	3924.9	P	0.000244
200049_at	793.5	P	0.000244
200050_at	1547.7	P	0.000732
