^SAMPLE = GSM705702
!Sample_title = SJINF064
!Sample_geo_accession = GSM705702
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705702/suppl/GSM705702.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	483.1	A	0.162935
1053_at	374.1	P	0.009975
117_at	294.6	P	0.024711
121_at	1418.4	P	0.009985
1255_g_at	97.7	A	0.541184
1294_at	1194.6	P	0.000805
1316_at	260	P	0.02786
1320_at	16.3	A	0.939581
1405_i_at	144.5	M	0.054711
1431_at	256.3	P	0.039365
1438_at	137.1	A	0.397994
1487_at	379.6	A	0.089405
1494_f_at	145	A	0.175989
1598_g_at	892.3	A	0.066865
160020_at	674.8	P	0.048995
1729_at	601.9	P	0.043968
1773_at	226.2	A	0.302547
177_at	203.1	A	0.098054
179_at	514.4	P	0.043968
1861_at	121.8	A	0.204022
200000_s_at	3803.6	P	0.000244
200001_at	4689	P	0.000244
200002_at	15603.4	P	0.000244
200003_s_at	23845.6	P	0.000244
200004_at	7427.9	P	0.000244
200005_at	10200.9	P	0.000244
200006_at	6402.1	P	0.000244
200007_at	6028.8	P	0.000244
200008_s_at	7311.3	P	0.000244
200009_at	12047.7	P	0.000244
200010_at	22586.4	P	0.000244
200011_s_at	1489.7	A	0.067627
200012_x_at	21065.8	P	0.000244
200013_at	21190.2	P	0.000244
200014_s_at	2614.7	P	0.000244
200015_s_at	2403.4	P	0.000732
200016_x_at	26967.8	P	0.000244
200017_at	16403.7	P	0.001953
200018_at	31213.2	P	0.000244
200019_s_at	17748.6	P	0.000244
200020_at	1952.4	P	0.010742
200021_at	21379.1	P	0.001953
200022_at	20715.4	P	0.000244
200023_s_at	9890.8	P	0.000244
200024_at	20986.1	P	0.000732
200025_s_at	28310.5	P	0.000244
200026_at	42564.1	P	0.000244
200027_at	2883.8	P	0.000244
200028_s_at	3193.1	P	0.000244
200029_at	27049	P	0.000244
200030_s_at	12928.9	P	0.000244
200031_s_at	34615.9	P	0.000244
200032_s_at	45302.4	P	0.000244
200033_at	10779.5	P	0.000732
200034_s_at	20437.9	P	0.000244
200035_at	1604.6	P	0.000244
200036_s_at	19541.6	P	0.000244
200037_s_at	3205.8	P	0.000244
200038_s_at	25621.3	P	0.000244
200039_s_at	2284.2	P	0.000244
200040_at	4595	P	0.000244
200041_s_at	7280.7	P	0.000244
200042_at	1600.6	P	0.000244
200043_at	3954	P	0.008057
200044_at	3391	P	0.000244
200045_at	1278.6	P	0.01416
200046_at	2156.5	P	0.000244
200047_s_at	2101.9	P	0.000244
200048_s_at	3871.2	P	0.000244
200049_at	665.9	P	0.000244
200050_at	1199.4	P	0.000732
200051_at	638.3	P	0.000732
