^SAMPLE = GSM705706
!Sample_title = SJINF003
!Sample_geo_accession = GSM705706
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705706/suppl/GSM705706.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	633.2	A	0.138765
1053_at	277.9	A	0.127645
117_at	337.2	A	0.284747
121_at	2558.7	P	0.009985
1255_g_at	309.6	A	0.107301
1294_at	1316.8	P	0.000959
1316_at	615.2	P	0.024711
1320_at	77.8	A	0.765443
1405_i_at	31	A	0.972234
1431_at	265.9	P	0.048995
1438_at	390.1	A	0.47938
1487_at	587.7	A	0.107301
1494_f_at	549.8	M	0.060419
1598_g_at	1130.1	P	0.035163
160020_at	1649.4	P	0.014937
1729_at	628.2	A	0.107301
1773_at	111.1	A	0.810313
177_at	340.5	A	0.302547
179_at	1248	A	0.162935
1861_at	261.2	A	0.302547
200000_s_at	2337	P	0.000244
200001_at	1655.9	P	0.010742
200002_at	13584.8	P	0.000244
200003_s_at	21424.4	P	0.000244
200004_at	7364.5	P	0.000244
200005_at	6173.9	P	0.000244
200006_at	6263.5	P	0.000732
200007_at	6123.7	P	0.000244
200008_s_at	2625.7	P	0.000244
200009_at	10662.1	P	0.000244
200010_at	18619.3	P	0.000244
200011_s_at	1458.2	P	0.00415
200012_x_at	20589.7	P	0.000244
200013_at	15008	P	0.000244
200014_s_at	2390	P	0.000244
200015_s_at	1490.7	P	0.008057
200016_x_at	27183.3	P	0.000244
200017_at	12285.8	P	0.000244
200018_at	33825.2	P	0.000244
200019_s_at	21507.9	P	0.000244
200020_at	1480.5	P	0.000244
200021_at	25208.6	P	0.00415
200022_at	20668.5	P	0.000732
200023_s_at	6304.4	P	0.000244
200024_at	13043	P	0.001221
200025_s_at	27442.2	P	0.000244
200026_at	41282.9	P	0.000732
200027_at	2503.2	P	0.000244
200028_s_at	2825.7	P	0.00293
200029_at	24337.9	P	0.000244
200030_s_at	7991.1	P	0.000244
200031_s_at	30181.2	P	0.000244
200032_s_at	39362	P	0.000244
200033_at	10279.3	P	0.000244
200034_s_at	16152.7	P	0.000244
200035_at	1045.2	P	0.00415
200036_s_at	14236	P	0.000244
200037_s_at	3081.9	P	0.000732
200038_s_at	26649.6	P	0.000244
200039_s_at	1345.6	P	0.005859
200040_at	4352.2	P	0.000732
200041_s_at	4868.7	P	0.000244
200042_at	1723.7	P	0.008057
200043_at	4197.8	P	0.00415
200044_at	2623.8	P	0.000244
200045_at	1488.6	P	0.01416
200046_at	5378.4	P	0.000244
200047_s_at	2529.1	P	0.000244
200048_s_at	3362.6	P	0.000244
200049_at	836.2	P	0.010742
200050_at	1678.7	P	0.005859
200051_at	879.6	P	0.008057
200052_s_at	2379.7	P	0.000244
200053_at	1517	P	0.000244
200054_at	607.2	P	0.030273
200055_at	3107.5	P	0.000244
200056_s_at	474.9	P	0.023926
200057_s_at	7871.1	P	0.000244
200058_s_at	2504.2	P	0.000244
200059_s_at	9370.1	P	0.000244
200060_s_at	2453.6	P	0.00293
200061_s_at	38692.5	P	0.000244
200062_s_at	43030.6	P	0.000244
200063_s_at	13960	P	0.000244
200064_at	7584	P	0.000732
200065_s_at	2259.3	P	0.000244
200066_at	1825.2	P	0.001221
200067_x_at	2854.1	P	0.000732
200068_s_at	3721.5	P	0.000244
200069_at	439.4	P	0.030273
200070_at	609.4	A	0.149658
200071_at	742.6	P	0.01416
200072_s_at	2988.2	P	0.000732
200073_s_at	4443.9	P	0.000244
200074_s_at	7195	P	0.000244
200075_s_at	640.9	A	0.080566
200076_s_at	1068.5	P	0.01416
200077_s_at	15160	P	0.000244
200078_s_at	2172.7	P	0.046143
200079_s_at	2484.7	P	0.000732
200080_s_at	18235	P	0.000244
200081_s_at	26565.8	P	0.000244
200082_s_at	18838.5	P	0.000244
200083_at	1880.6	P	0.001221
200084_at	2738.4	P	0.000244
200085_s_at	2307.6	P	0.000244
200086_s_at	2805.2	P	0.000244
200087_s_at	2613.8	P	0.000244
200088_x_at	20858.1	P	0.000244
200089_s_at	14993.9	P	0.000244
200090_at	2797.1	P	0.00293
200091_s_at	9272.5	P	0.000244
200092_s_at	26186.8	P	0.000244
200093_s_at	2958.2	P	0.000244
200094_s_at	6556.5	P	0.000732
200095_x_at	51589.7	P	0.000244
200096_s_at	2091.6	P	0.000244
200097_s_at	3540.9	P	0.000244
200098_s_at	2780.1	P	0.00293
200099_s_at	34286.1	P	0.000244
200593_s_at	2328.6	P	0.000244
200594_x_at	4983.5	P	0.000244
200595_s_at	1932.3	P	0.000244
200596_s_at	657.3	A	0.111572
200597_at	689.7	P	0.023926
200598_s_at	620	P	0.001953
200599_s_at	2972.6	P	0.000732
200600_at	3076.3	P	0.001221
200601_at	745.2	A	0.080566
200602_at	79.1	A	0.466064
200603_at	1921.2	P	0.000244
200604_s_at	338.1	A	0.171387
200605_s_at	1025.9	P	0.001221
200606_at	109.9	A	0.567627
200607_s_at	1163.7	P	0.037598
200608_s_at	1390.5	P	0.000244
200609_s_at	1967.7	P	0.008057
200610_s_at	7473.9	P	0.001221
200611_s_at	1161.7	A	0.080566
200612_s_at	456	A	0.567627
