^SAMPLE = GSM705721
!Sample_title = SJERG001
!Sample_geo_accession = GSM705721
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705721/suppl/GSM705721.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1463.3	P	0.006532
1053_at	470.7	P	0.013092
117_at	181.5	A	0.150527
121_at	1783.7	P	0.009985
1255_g_at	103.5	A	0.302547
1294_at	998.3	P	0.001141
1316_at	241.9	P	0.035163
1320_at	34.3	A	0.749276
1405_i_at	115	A	0.364945
1431_at	174.1	A	0.089405
1438_at	284.3	A	0.189687
1487_at	591.9	A	0.127645
1494_f_at	460.1	M	0.060419
1598_g_at	934	A	0.066865
160020_at	854.7	P	0.014937
1729_at	409	A	0.107301
1773_at	197.9	A	0.250724
177_at	155.6	A	0.284747
179_at	818.1	A	0.089405
1861_at	81	A	0.621816
200000_s_at	3392.8	P	0.000244
200001_at	3039.6	P	0.001221
200002_at	16052.2	P	0.000244
200003_s_at	29844.1	P	0.000244
200004_at	7711.8	P	0.000244
200005_at	7302.3	P	0.000244
200006_at	7445.5	P	0.000244
200007_at	6603.9	P	0.000244
200008_s_at	4746.3	P	0.000244
200009_at	7707.5	P	0.000244
200010_at	25654.1	P	0.000244
200011_s_at	1260.7	P	0.046143
200012_x_at	20646.1	P	0.000244
200013_at	23241.1	P	0.000244
200014_s_at	2676.5	P	0.000244
200015_s_at	2330.9	P	0.001953
200016_x_at	37578.8	P	0.000244
200017_at	19931.4	P	0.000244
200018_at	28512.5	P	0.000244
200019_s_at	19741.7	P	0.000244
200020_at	1712.7	P	0.000244
200021_at	23852.3	P	0.00293
200022_at	21986.3	P	0.000244
200023_s_at	9473.7	P	0.000244
200024_at	18657.4	P	0.000732
200025_s_at	32533	P	0.000244
200026_at	44998.4	P	0.000732
200027_at	3014.1	P	0.000244
200028_s_at	2602.4	P	0.000244
200029_at	26393.3	P	0.000244
200030_s_at	11379.1	P	0.000244
200031_s_at	46093.1	P	0.000244
200032_s_at	49471.8	P	0.000244
200033_at	10385.1	P	0.000244
200034_s_at	25944.6	P	0.000244
200035_at	1672.9	P	0.001953
200036_s_at	22276.2	P	0.000244
200037_s_at	3696.8	P	0.000244
200038_s_at	34484.8	P	0.000244
200039_s_at	1957.9	P	0.000244
200040_at	4245.4	P	0.000244
200041_s_at	7639.2	P	0.000244
200042_at	1404.2	P	0.010742
200043_at	6186.6	P	0.000244
200044_at	3357.4	P	0.000244
200045_at	1893.4	P	0.001221
200046_at	1489.8	P	0.000732
200047_s_at	2363.9	P	0.000244
200048_s_at	3533.8	P	0.000244
200049_at	921.6	P	0.000732
200050_at	2032	P	0.001221
200051_at	819.8	P	0.005859
200052_s_at	3813.2	P	0.000244
200053_at	2135.8	P	0.000732
200054_at	447	P	0.010742
200055_at	3474.3	P	0.000244
200056_s_at	486.4	P	0.01416
200057_s_at	10579.7	P	0.000244
200058_s_at	2868.7	P	0.000732
200059_s_at	10227.5	P	0.000244
200060_s_at	3498.4	P	0.001221
200061_s_at	39759.4	P	0.000244
200062_s_at	43565	P	0.000244
200063_s_at	19367.1	P	0.000244
200064_at	13719.8	P	0.000732
200065_s_at	4876.7	P	0.000244
200066_at	1684	P	0.000732
200067_x_at	1918.8	P	0.000244
200068_s_at	6230.6	P	0.000244
200069_at	932.1	P	0.001953
200070_at	653.9	P	0.023926
200071_at	831.2	P	0.008057
200072_s_at	3974.8	P	0.000244
200073_s_at	4565.7	P	0.000244
200074_s_at	12493.6	P	0.000244
200075_s_at	852.7	P	0.010742
200076_s_at	796	P	0.000732
200077_s_at	10476.4	P	0.000244
200078_s_at	2067.2	P	0.008057
200079_s_at	4410.8	P	0.000732
200080_s_at	18136.4	P	0.000244
200081_s_at	34753.1	P	0.000244
200082_s_at	29536.4	P	0.000244
200083_at	2485.5	P	0.000732
200084_at	3162.5	P	0.000244
200085_s_at	2527.3	P	0.000244
200086_s_at	3608.6	P	0.000244
200087_s_at	3308.2	P	0.000244
200088_x_at	28491.8	P	0.000244
200089_s_at	21241.2	P	0.000244
200090_at	3628.9	P	0.000732
200091_s_at	13334.4	P	0.000244
200092_s_at	23446.6	P	0.000244
200093_s_at	3535.2	P	0.000244
200094_s_at	9582.2	P	0.000732
200095_x_at	47070.5	P	0.000244
200096_s_at	1173.9	P	0.000244
200097_s_at	5340.8	P	0.000244
200098_s_at	2675.1	P	0.001221
200099_s_at	44202.4	P	0.000244
200593_s_at	3581	P	0.000244
200594_x_at	8176.5	P	0.000244
200595_s_at	3145.4	P	0.000244
200596_s_at	888.5	P	0.008057
200597_at	652.3	P	0.000244
200598_s_at	1520.3	P	0.000244
200599_s_at	3485.2	P	0.001953
200600_at	4697	P	0.000732
200601_at	712.2	P	0.01416
200602_at	467.6	P	0.00293
200603_at	1761.4	P	0.000244
200604_s_at	990.7	P	0.000244
200605_s_at	1869.2	P	0.000244
200606_at	157.5	M	0.056152
200607_s_at	1412.4	P	0.000244
200608_s_at	2088.5	P	0.000244
200609_s_at	2141.4	P	0.001221
200610_s_at	10916.8	P	0.000244
200611_s_at	2603.1	P	0.001953
200612_s_at	54.9	A	0.633789
200613_at	1286.7	P	0.001953
200614_at	19871.4	P	0.000244
200615_s_at	397.9	A	0.067627
200616_s_at	71.5	A	0.72583
200617_at	1076.4	P	0.010742
200618_at	2301.4	P	0.000732
200619_at	1410.3	P	0.023926
200620_at	2039.7	P	0.001221
200621_at	773.6	P	0.005859
200622_x_at	769.7	A	0.111572
200623_s_at	1428.8	P	0.001221
200624_s_at	5150.1	P	0.000244
200625_s_at	2214.7	P	0.001953
200626_s_at	3940.8	P	0.000244
200627_at	5556.1	P	0.000244
200628_s_at	480.3	A	0.665527
200629_at	279.2	M	0.056152
200630_x_at	8886.4	P	0.000244
200631_s_at	6796.7	P	0.000244
200632_s_at	461.8	P	0.00293
200633_at	21827.2	P	0.001953
200634_at	9659.1	P	0.000244
200635_s_at	64.5	A	0.567627
200636_s_at	61.5	A	0.870361
200637_s_at	12.9	A	0.888428
200638_s_at	5325.8	P	0.000244
200639_s_at	4362.7	P	0.000244
200640_at	8657.5	P	0.000244
200641_s_at	4700.1	P	0.000244
200642_at	2214.2	P	0.001221
200643_at	429.1	A	0.171387
200644_at	5570.4	P	0.000244
200645_at	2619.3	P	0.000244
200646_s_at	405.6	P	0.001953
200647_x_at	4013.2	P	0.001221
200648_s_at	680.7	P	0.023926
200649_at	926.7	P	0.008057
200650_s_at	8657.3	P	0.000244
200651_at	34751.4	P	0.000244
200652_at	2694.5	P	0.000732
200653_s_at	2343.5	P	0.000244
200654_at	3528.2	P	0.01416
200655_s_at	5920.8	P	0.000244
200656_s_at	756.7	P	0.000732
200657_at	8933.9	P	0.000244
200658_s_at	1033	P	0.000244
200659_s_at	631.8	P	0.001953
200660_at	229	A	0.398926
200661_at	737.7	A	0.095215
200662_s_at	3136.8	P	0.000244
200663_at	1852.6	P	0.001953
200664_s_at	286.2	A	0.171387
200665_s_at	156.9	A	0.19458
200666_s_at	782.8	P	0.000244
200667_at	2226.5	P	0.000244
200668_s_at	5288.9	P	0.000244
200669_s_at	3505.5	P	0.000244
200670_at	3031.3	P	0.000244
200671_s_at	1206.3	P	0.010742
200672_x_at	2216.8	P	0.000244
200673_at	2414.4	P	0.000244
200674_s_at	49275.7	P	0.000244
200675_at	3760.7	P	0.000244
200676_s_at	741.7	P	0.018555
200677_at	1710.8	P	0.001953
200678_x_at	756.2	P	0.037598
200679_x_at	8506.7	P	0.000244
200680_x_at	19566.8	P	0.000244
200681_at	1751.7	P	0.000244
200682_s_at	2166.8	P	0.000244
200683_s_at	1138.4	P	0.008057
200684_s_at	886.8	P	0.001221
200685_at	685	P	0.000244
200686_s_at	3113.9	P	0.000244
200687_s_at	1293.9	P	0.00293
200688_at	381.9	P	0.030273
200689_x_at	31961.5	P	0.000244
200690_at	251.7	A	0.5
200691_s_at	1795.6	P	0.000732
200692_s_at	1374.1	P	0.000244
200693_at	6881.7	P	0.000244
200694_s_at	1776.4	P	0.000244
200695_at	1881.5	P	0.018555
200696_s_at	792.6	P	0.023926
200697_at	1112.4	M	0.056152
200698_at	701.4	P	0.000244
200699_at	561.2	P	0.018555
200700_s_at	2249.1	P	0.000244
200701_at	1061.2	P	0.000244
200702_s_at	125.2	A	0.633789
200703_at	4948.3	P	0.000244
200704_at	812.6	P	0.008057
200705_s_at	18566.9	P	0.000244
200706_s_at	818.3	P	0.030273
200707_at	873.8	P	0.008057
200708_at	1261.1	P	0.000244
200709_at	4554.5	P	0.000244
200710_at	1267.8	P	0.018555
200711_s_at	1825.7	P	0.001221
200712_s_at	1186.9	P	0.000244
200713_s_at	4193.6	P	0.000732
200714_x_at	2853.3	P	0.000244
200715_x_at	21236.8	P	0.000244
200716_x_at	70034.9	P	0.000244
200717_x_at	51832.6	P	0.000244
200718_s_at	6283.4	P	0.000244
200719_at	496.4	P	0.008057
200720_s_at	848.2	P	0.018555
200721_s_at	676	P	0.018555
200722_s_at	2646.4	P	0.000244
200723_s_at	4829.4	P	0.000244
200724_at	136.7	A	0.567627
200725_x_at	47689.6	P	0.000244
200726_at	3219.1	P	0.000244
200727_s_at	953.3	P	0.018555
200728_at	3886.1	P	0.000244
200729_s_at	3728.3	P	0.000244
200730_s_at	782.1	P	0.000244
200731_s_at	810.9	P	0.001953
200732_s_at	1182.6	P	0.000732
200733_s_at	344.3	P	0.001221
200734_s_at	1043.7	A	0.095215
200735_x_at	29307.7	P	0.000244
200736_s_at	2978.1	P	0.000244
200737_at	1115.1	P	0.005859
200738_s_at	4097	P	0.000244
200739_s_at	478.8	P	0.01416
200740_s_at	2078.8	P	0.000244
200741_s_at	47389.3	P	0.000244
200742_s_at	1316.5	P	0.000244
200743_s_at	1219.2	P	0.000244
200744_s_at	2450.1	P	0.000244
200745_s_at	3619.4	P	0.000244
200746_s_at	5862.6	P	0.001953
200747_s_at	1874	P	0.000244
200748_s_at	2579.6	P	0.000732
200749_at	575.7	P	0.000244
200750_s_at	5595.6	P	0.000244
200751_s_at	3473	P	0.000732
200752_s_at	791.1	P	0.00415
200753_x_at	2240.1	P	0.001221
200754_x_at	7934	P	0.000244
200755_s_at	197.2	A	0.129639
200756_x_at	473.7	A	0.171387
200757_s_at	842.9	P	0.008057
200758_s_at	610.7	P	0.030273
200759_x_at	1335.7	P	0.001953
200760_s_at	1194.8	P	0.000732
200761_s_at	1617.7	P	0.00415
200762_at	1074.8	P	0.000244
200763_s_at	33078.6	P	0.000244
200764_s_at	865.6	P	0.000244
200765_x_at	892.4	P	0.000244
200766_at	208.2	A	0.171387
200767_s_at	548.9	P	0.030273
200768_s_at	3114.3	P	0.000244
200769_s_at	1312.3	P	0.01416
200770_s_at	431.2	P	0.008057
200771_at	837.2	P	0.00415
200772_x_at	17796.8	P	0.000244
200773_x_at	20130.9	P	0.000244
200774_at	4310.7	P	0.000244
200775_s_at	5983	P	0.000244
200776_s_at	2683.3	P	0.008057
200777_s_at	2093.2	P	0.000244
200778_s_at	3026.8	P	0.000244
200779_at	5653.6	P	0.000732
200780_x_at	19684.1	P	0.000244
200781_s_at	33698.8	P	0.000244
200782_at	94.1	A	0.303711
200783_s_at	751	P	0.000244
200784_s_at	40.2	A	0.80542
200785_s_at	223.4	A	0.171387
200786_at	2160.2	P	0.000732
200787_s_at	401.4	M	0.056152
200788_s_at	241.2	P	0.018555
