^SAMPLE = GSM705819
!Sample_title = SJHYPO136
!Sample_geo_accession = GSM705819
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 6_Hypo
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with hypodiploid karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705819/suppl/GSM705819.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1075.7	P	0.005643
1053_at	375.3	P	0.039365
117_at	138.6	A	0.189687
121_at	1105.6	P	0.006532
1255_g_at	42.8	A	0.561639
1294_at	1609.9	P	0.000266
1316_at	131	A	0.107301
1320_at	18.4	A	0.872355
1405_i_at	732.6	P	0.000762
1431_at	103.5	A	0.150527
1438_at	109.2	A	0.302547
1487_at	679	P	0.048995
1494_f_at	234.2	A	0.081337
1598_g_at	616.6	A	0.127645
160020_at	582.3	P	0.013092
1729_at	269.8	M	0.060419
1773_at	165.4	A	0.378184
177_at	178.9	A	0.07383
179_at	985.1	A	0.098054
1861_at	173.4	A	0.218983
200000_s_at	3174.6	P	0.000244
200001_at	4487.5	P	0.000244
200002_at	13758.2	P	0.000244
200003_s_at	25031.3	P	0.000244
200004_at	9166.4	P	0.000244
200005_at	5055.3	P	0.000244
200006_at	7883.4	P	0.000244
200007_at	7419.7	P	0.000244
200008_s_at	6069.6	P	0.000244
200009_at	8490.1	P	0.000244
200010_at	18946.5	P	0.000244
200011_s_at	1180.2	P	0.001953
200012_x_at	16554.1	P	0.000244
200013_at	13862.8	P	0.000244
200014_s_at	2205.9	P	0.000244
200015_s_at	2717.2	P	0.000244
200016_x_at	26210.9	P	0.000244
200017_at	20126.2	P	0.000244
200018_at	25215	P	0.000244
200019_s_at	16333.7	P	0.000244
200020_at	2090.9	P	0.000244
200021_at	28075.4	P	0.001953
200022_at	14882.2	P	0.000244
200023_s_at	8123.8	P	0.000244
200024_at	12583.2	P	0.000732
200025_s_at	24007.4	P	0.000244
200026_at	25248.6	P	0.000732
200027_at	2479.3	P	0.000244
200028_s_at	3359.8	P	0.000244
200029_at	19885.5	P	0.000244
200030_s_at	9238.1	P	0.000244
200031_s_at	31693.1	P	0.000244
200032_s_at	28184.4	P	0.000244
200033_at	12554.8	P	0.000244
200034_s_at	14606.7	P	0.000244
200035_at	2449.9	P	0.001953
200036_s_at	13730.9	P	0.000244
200037_s_at	3377.3	P	0.000244
200038_s_at	19374.6	P	0.000244
200039_s_at	3077.2	P	0.000244
200040_at	3462.6	P	0.000244
200041_s_at	7424	P	0.000244
200042_at	1778.1	P	0.000732
200043_at	7833.3	P	0.000244
200044_at	3856.6	P	0.000244
200045_at	2116.7	P	0.000244
200046_at	2333.8	P	0.000244
200047_s_at	2937.6	P	0.000244
200048_s_at	3755	P	0.000244
200049_at	928.2	P	0.000244
200050_at	1642.1	P	0.001221
200051_at	641	P	0.001221
