^SAMPLE = GSM705831
!Sample_title = SJBALL137
!Sample_geo_accession = GSM705831
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705831/suppl/GSM705831.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	799.7	P	0.048995
1053_at	373	P	0.019304
117_at	147.4	A	0.302547
121_at	1935.8	P	0.002617
1255_g_at	149.2	A	0.107301
1294_at	1413.3	P	0.000266
1316_at	281.7	P	0.024711
1320_at	51.6	A	0.561639
1405_i_at	54.6	A	0.537511
1431_at	133.2	M	0.060419
1438_at	140.9	A	0.602006
1487_at	488.1	A	0.066865
1494_f_at	466.8	A	0.081337
1598_g_at	1016.2	P	0.024711
160020_at	978.3	P	0.031336
1729_at	487.8	P	0.009985
1773_at	293.8	A	0.204022
177_at	233.5	P	0.039365
179_at	724.3	P	0.039365
1861_at	324.5	A	0.07383
200000_s_at	3358.7	P	0.000244
200001_at	3467.9	P	0.001221
200002_at	14900.3	P	0.000244
200003_s_at	26573.7	P	0.000244
200004_at	8257.8	P	0.000244
200005_at	4494.8	P	0.000244
200006_at	7143.5	P	0.000244
200007_at	6700.2	P	0.000244
200008_s_at	5676.3	P	0.000244
200009_at	9151.6	P	0.000244
200010_at	22152.4	P	0.000244
200011_s_at	1606.4	P	0.000732
200012_x_at	20439.5	P	0.000244
200013_at	20244.3	P	0.000244
200014_s_at	2395.6	P	0.000244
200015_s_at	1997.5	P	0.000732
200016_x_at	28269	P	0.000244
200017_at	12515.8	P	0.000244
200018_at	26551.7	P	0.000244
200019_s_at	15568.7	P	0.000244
200020_at	2004.4	P	0.000244
200021_at	30074.2	P	0.000732
200022_at	19063.9	P	0.000244
200023_s_at	10147.1	P	0.000244
200024_at	16988.5	P	0.000732
200025_s_at	26948.5	P	0.000244
200026_at	42984.8	P	0.000732
200027_at	2471.6	P	0.000244
200028_s_at	2828.8	P	0.000244
200029_at	26408.4	P	0.000244
200030_s_at	10927.5	P	0.000244
200031_s_at	40224.4	P	0.000244
200032_s_at	37903.2	P	0.000244
200033_at	11065.8	P	0.000244
200034_s_at	16003.2	P	0.000244
200035_at	1231.7	P	0.001221
200036_s_at	13384.2	P	0.000244
200037_s_at	3171.2	P	0.000244
200038_s_at	25255	P	0.000244
200039_s_at	2161.7	P	0.000244
200040_at	3190	P	0.000244
200041_s_at	7197	P	0.000244
200042_at	1523.1	P	0.00293
200043_at	6182.9	P	0.000732
200044_at	3369.8	P	0.000244
200045_at	1309.3	P	0.000732
200046_at	1849.4	P	0.000244
200047_s_at	1982.3	P	0.000732
200048_s_at	3404.2	P	0.000244
200049_at	871.2	P	0.000244
200050_at	1858.9	P	0.000732
