^SAMPLE = GSM705837
!Sample_title = SJBALL192
!Sample_geo_accession = GSM705837
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705837/suppl/GSM705837.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	807.1	P	0.021866
1053_at	623.8	P	0.001892
117_at	102.6	A	0.267463
121_at	1648.4	P	0.019304
1255_g_at	94.8	A	0.250724
1294_at	2674.7	P	0.000219
1316_at	251.3	P	0.019304
1320_at	89.6	A	0.52062
1405_i_at	211.4	P	0.036797
1431_at	94.8	A	0.175989
1438_at	57.9	A	0.810313
1487_at	757.5	M	0.060419
1494_f_at	501.8	P	0.024711
1598_g_at	984.8	P	0.031336
160020_at	872.5	A	0.081337
1729_at	416.9	A	0.089405
1773_at	247.1	A	0.204022
177_at	124	A	0.302547
179_at	1398.7	A	0.089405
1861_at	288.6	A	0.089405
200000_s_at	2663.3	P	0.000244
200001_at	4721.8	P	0.000732
200002_at	20268.5	P	0.000244
200003_s_at	24692.7	P	0.000244
200004_at	7583.3	P	0.000244
200005_at	5638.2	P	0.000244
200006_at	5869.5	P	0.000244
200007_at	7681.7	P	0.000244
200008_s_at	4958.9	P	0.000244
200009_at	9475.5	P	0.000244
200010_at	19429.3	P	0.000244
200011_s_at	1942.1	P	0.000732
200012_x_at	21280.4	P	0.000244
200013_at	20384.1	P	0.000244
200014_s_at	2032.4	P	0.000244
200015_s_at	2200.1	P	0.000732
200016_x_at	19735.5	P	0.000244
200017_at	18332.3	P	0.000244
200018_at	24646.4	P	0.000244
200019_s_at	17688.9	P	0.000244
200020_at	1978.9	P	0.000244
200021_at	24109.5	P	0.001221
200022_at	25359.8	P	0.000244
200023_s_at	7163.8	P	0.000244
200024_at	16478.4	P	0.000732
200025_s_at	21796.6	P	0.000244
200026_at	30298.7	P	0.000732
200027_at	2445.7	P	0.000244
200028_s_at	2467.2	P	0.000244
200029_at	21675.3	P	0.000244
200030_s_at	10198.9	P	0.000244
200031_s_at	41519.3	P	0.000244
200032_s_at	31945.6	P	0.000244
200033_at	9669.5	P	0.000244
200034_s_at	18597.2	P	0.000244
200035_at	1269	P	0.00293
200036_s_at	16302.7	P	0.000244
200037_s_at	2969.7	P	0.000732
200038_s_at	23335.8	P	0.000244
200039_s_at	2274.9	P	0.000244
200040_at	3177.9	P	0.000244
200041_s_at	7414.7	P	0.000244
200042_at	1498.3	P	0.00293
200043_at	3951.2	P	0.000244
200044_at	2447	P	0.000244
200045_at	1641.4	P	0.000732
200046_at	1518.8	P	0.000244
200047_s_at	2341.4	P	0.000244
200048_s_at	4599.6	P	0.000244
200049_at	977.3	P	0.000244
200050_at	1688.6	P	0.000244
