^SAMPLE = GSM705839
!Sample_title = SJBALL195
!Sample_geo_accession = GSM705839
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705839/suppl/GSM705839.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	614.3	P	0.031336
1053_at	581.7	P	0.009985
117_at	194.4	A	0.107301
121_at	1787.6	P	0.004863
1255_g_at	82.8	A	0.32083
1294_at	1410.4	P	0.000388
1316_at	211.8	P	0.019304
1320_at	30.7	A	0.732537
1405_i_at	8.3	A	0.984836
1431_at	109.3	A	0.066865
1438_at	26.2	A	0.697453
1487_at	583.8	P	0.048995
1494_f_at	447.8	P	0.048995
1598_g_at	600.8	A	0.089405
160020_at	684.4	A	0.07383
1729_at	472.3	A	0.066865
1773_at	270.8	A	0.267463
177_at	154.5	M	0.060419
179_at	1213.7	P	0.039365
1861_at	297.8	M	0.060419
200000_s_at	2486.5	P	0.000244
200001_at	2692.7	P	0.001953
200002_at	17114.1	P	0.000244
200003_s_at	32173.9	P	0.000244
200004_at	7290	P	0.000244
200005_at	6582.8	P	0.000244
200006_at	8352.3	P	0.000244
200007_at	8090.9	P	0.000244
200008_s_at	6600.5	P	0.000244
200009_at	9133.4	P	0.000244
200010_at	26755.1	P	0.000244
200011_s_at	1579.6	P	0.000732
200012_x_at	24891.9	P	0.000244
200013_at	23970.6	P	0.000244
200014_s_at	2290.6	P	0.000244
200015_s_at	2016.3	P	0.001221
200016_x_at	26051.6	P	0.000244
200017_at	16535.9	P	0.000732
200018_at	31922.5	P	0.000244
200019_s_at	22264.8	P	0.000244
200020_at	1915.2	P	0.000244
200021_at	20477.1	P	0.001221
200022_at	25809	P	0.000244
200023_s_at	11737.5	P	0.000244
200024_at	28138.1	P	0.000732
200025_s_at	30967.2	P	0.000244
200026_at	43743.9	P	0.000244
200027_at	3416.9	P	0.000244
200028_s_at	2517.8	P	0.000244
200029_at	28431.3	P	0.000244
200030_s_at	13011	P	0.000244
200031_s_at	46467.8	P	0.000244
200032_s_at	43158.9	P	0.000244
200033_at	11260	P	0.000244
200034_s_at	22249.9	P	0.000244
200035_at	701.7	P	0.023926
200036_s_at	22937.5	P	0.000244
200037_s_at	3524.3	P	0.000244
200038_s_at	33534.7	P	0.000244
200039_s_at	2157.8	P	0.000244
200040_at	4158.7	P	0.000244
200041_s_at	5760.6	P	0.000244
200042_at	1810.6	P	0.00293
200043_at	4576.1	P	0.001953
200044_at	3046	P	0.000244
200045_at	1461.9	P	0.000732
200046_at	1206	P	0.000244
200047_s_at	2583	P	0.000244
200048_s_at	3375.1	P	0.000244
200049_at	765.4	P	0.000732
200050_at	1713.1	P	0.000244
200051_at	707	P	0.00415
200052_s_at	3095.7	P	0.000244
200053_at	1353.2	P	0.000732
200054_at	301.8	P	0.030273
200055_at	2585.1	P	0.000244
200056_s_at	407.9	P	0.001953
200057_s_at	10136.3	P	0.000244
200058_s_at	2408.8	P	0.000244
200059_s_at	17107.8	P	0.000244
200060_s_at	2762.7	P	0.001953
200061_s_at	37541.3	P	0.000244
200062_s_at	46254.7	P	0.000244
200063_s_at	18071	P	0.000244
200064_at	10894.7	P	0.000732
200065_s_at	5378.7	P	0.000244
200066_at	2119.5	P	0.000244
200067_x_at	2275.1	P	0.000732
200068_s_at	6778.9	P	0.000244
200069_at	614.7	P	0.001221
200070_at	645.4	P	0.001953
200071_at	783.4	P	0.008057
200072_s_at	3535.8	P	0.000244
200073_s_at	3842.3	P	0.000244
200074_s_at	12023.4	P	0.000244
200075_s_at	1003	P	0.000732
200076_s_at	745.9	P	0.001953
200077_s_at	14625.2	P	0.000244
200078_s_at	2449.1	P	0.00415
200079_s_at	3412.7	P	0.000244
200080_s_at	15163.3	P	0.000244
200081_s_at	40349.5	P	0.000244
200082_s_at	31090.2	P	0.000244
200083_at	1404.6	P	0.001953
200084_at	3469.9	P	0.000244
200085_s_at	2437.4	P	0.000244
200086_s_at	4128.2	P	0.000244
200087_s_at	3809.1	P	0.000244
200088_x_at	27887.9	P	0.000244
200089_s_at	18818.4	P	0.000244
200090_at	3180.8	P	0.000732
200091_s_at	14347.2	P	0.000244
200092_s_at	28084.7	P	0.000244
200093_s_at	3082.3	P	0.000244
200094_s_at	9127	P	0.000244
200095_x_at	49483.6	P	0.000244
200096_s_at	2364.3	P	0.000244
200097_s_at	5012.4	P	0.000244
200098_s_at	2035.8	P	0.001953
200099_s_at	42128.4	P	0.000244
200593_s_at	3166.7	P	0.000244
200594_x_at	6011.8	P	0.000244
200595_s_at	2412.8	P	0.000244
200596_s_at	1279.3	P	0.001221
200597_at	859.6	P	0.001221
200598_s_at	2028.7	P	0.000244
200599_s_at	3434.3	P	0.000244
200600_at	4847.6	P	0.000244
200601_at	619.3	P	0.023926
200602_at	174	P	0.008057
200603_at	2195.6	P	0.000244
200604_s_at	2350.4	P	0.000244
200605_s_at	3518	P	0.000244
200606_at	99	A	0.080566
200607_s_at	1521.8	P	0.001953
200608_s_at	1530.8	P	0.000244
200609_s_at	2702.9	P	0.000244
200610_s_at	6252.1	P	0.001221
200611_s_at	2705.4	P	0.001221
200612_s_at	130.6	A	0.633789
200613_at	2143.4	P	0.001221
200614_at	6702.2	P	0.000244
200615_s_at	544.3	P	0.037598
200616_s_at	625.8	P	0.001953
200617_at	1192.1	P	0.00415
200618_at	2504.4	P	0.001221
200619_at	1121.1	P	0.018555
200620_at	2429.9	P	0.000244
200621_at	934.2	P	0.001953
200622_x_at	722.3	A	0.067627
200623_s_at	992.1	P	0.00415
200624_s_at	4325.6	P	0.000244
200625_s_at	3466.4	P	0.000244
200626_s_at	3167.3	P	0.000732
200627_at	7657.1	P	0.000244
200628_s_at	402.3	A	0.432373
200629_at	618.5	P	0.000732
200630_x_at	9095.9	P	0.000244
200631_s_at	7723.1	P	0.000244
200632_s_at	514.8	P	0.005859
200633_at	25468.3	P	0.001953
200634_at	6275.4	P	0.000244
200635_s_at	45.7	A	0.432373
200636_s_at	13.1	A	0.932373
200637_s_at	22.1	A	0.850342
200638_s_at	6075.3	P	0.000244
200639_s_at	3829	P	0.000732
200640_at	6492	P	0.000244
200641_s_at	6772.3	P	0.000244
200642_at	4737.5	P	0.000244
200643_at	380.4	A	0.27417
200644_at	2364.1	P	0.000732
200645_at	4212.7	P	0.000244
200646_s_at	402.8	P	0.008057
200647_x_at	3182	P	0.001221
200648_s_at	1077.1	P	0.008057
200649_at	944	P	0.00293
200650_s_at	14379.6	P	0.000244
200651_at	35819.5	P	0.000244
200652_at	3771.2	P	0.000244
200653_s_at	1380.8	P	0.000244
200654_at	2475.3	P	0.01416
200655_s_at	2933.6	P	0.000244
200656_s_at	1043	P	0.000732
200657_at	10726.1	P	0.000244
200658_s_at	1475.8	P	0.000244
200659_s_at	699.2	P	0.005859
200660_at	13.7	A	0.696289
200661_at	319.8	A	0.303711
200662_s_at	2223.5	P	0.000244
200663_at	1969.9	P	0.00293
200664_s_at	815	P	0.010742
200665_s_at	405.3	P	0.005371
200666_s_at	1591.2	P	0.000244
200667_at	2076.8	P	0.000244
200668_s_at	6226	P	0.000244
200669_s_at	3714	P	0.000244
200670_at	12546.2	P	0.000244
200671_s_at	961	P	0.001953
200672_x_at	2189	P	0.000244
200673_at	2715.1	P	0.000244
200674_s_at	44090.1	P	0.000244
200675_at	5452.3	P	0.000244
200676_s_at	516.5	P	0.001953
200677_at	1951.3	P	0.000244
200678_x_at	973	P	0.037598
200679_x_at	10298.3	P	0.000244
200680_x_at	28768.1	P	0.000244
200681_at	2001.9	P	0.000732
200682_s_at	3896.3	P	0.000244
200683_s_at	1263	P	0.000732
200684_s_at	850.1	P	0.001953
200685_at	503.3	P	0.000732
200686_s_at	2292.5	P	0.000244
200687_s_at	1302.5	P	0.00415
200688_at	191.2	P	0.030273
200689_x_at	32549	P	0.000244
200690_at	194.9	A	0.466064
200691_s_at	1421.6	P	0.000244
200692_s_at	951.9	P	0.000244
200693_at	7490.8	P	0.000244
200694_s_at	1377.1	P	0.000244
200695_at	1467.6	P	0.023926
200696_s_at	2931.6	P	0.000244
200697_at	1218.4	P	0.030273
200698_at	739.1	P	0.000244
200699_at	592	P	0.023926
200700_s_at	2236.8	P	0.000244
200701_at	1128.8	P	0.000244
200702_s_at	322.4	A	0.080566
200703_at	4702.7	P	0.000732
200704_at	231.2	A	0.533936
200705_s_at	19919.8	P	0.000244
200706_s_at	44.6	A	0.567627
200707_at	898.1	P	0.01416
200708_at	892.7	P	0.001221
200709_at	2008.1	P	0.000244
200710_at	1198.5	P	0.037598
200711_s_at	1737.8	P	0.000244
200712_s_at	1355.3	P	0.000244
200713_s_at	3780.6	P	0.000732
200714_x_at	1832.1	P	0.000732
200715_x_at	30018.5	P	0.000244
200716_x_at	54338.2	P	0.000244
200717_x_at	43168.4	P	0.000244
200718_s_at	9121.1	P	0.000244
200719_at	643.9	P	0.005859
200720_s_at	962.9	P	0.00293
200721_s_at	528.4	A	0.067627
200722_s_at	3077.3	P	0.000244
200723_s_at	5778.8	P	0.000244
200724_at	276.2	A	0.129639
200725_x_at	41684.7	P	0.000244
200726_at	3032.6	P	0.000244
200727_s_at	2242.4	P	0.000732
200728_at	5557.1	P	0.000244
200729_s_at	4866.9	P	0.000244
200730_s_at	443.4	P	0.000244
200731_s_at	665.7	P	0.00293
