^SAMPLE = GSM705845
!Sample_title = SJBALL207
!Sample_geo_accession = GSM705845
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705845/suppl/GSM705845.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1458.7	P	0.001892
1053_at	330.5	P	0.003067
117_at	144.6	A	0.138765
121_at	1408.4	P	0.008689
1255_g_at	80.7	A	0.35869
1294_at	2189.1	P	0.000266
1316_at	148.9	A	0.07383
1320_at	56.1	A	0.679198
1405_i_at	149.4	P	0.015164
1431_at	84.3	M	0.060419
1438_at	69.9	A	0.621816
1487_at	494.9	A	0.07383
1494_f_at	370.7	P	0.019304
1598_g_at	1113.9	P	0.011447
160020_at	534.7	A	0.07383
1729_at	507.9	P	0.001354
1773_at	226.7	A	0.138765
177_at	118.1	A	0.234557
179_at	914.9	P	0.035163
1861_at	181.6	A	0.138765
200000_s_at	4074.7	P	0.000244
200001_at	4511.5	P	0.000732
200002_at	9207.9	P	0.000244
200003_s_at	20700.6	P	0.000244
200004_at	8023.9	P	0.000244
200005_at	4983.1	P	0.000244
200006_at	2478.1	P	0.000244
200007_at	4633.7	P	0.000244
200008_s_at	4257.8	P	0.000244
200009_at	7623.6	P	0.000244
200010_at	10370.8	P	0.000244
200011_s_at	1974.3	P	0.000244
200012_x_at	18190	P	0.000244
200013_at	12905.3	P	0.000244
200014_s_at	1834.2	P	0.000244
200015_s_at	3170.4	P	0.000732
200016_x_at	19958.1	P	0.000244
200017_at	14214.1	P	0.000732
200018_at	24665.2	P	0.000244
200019_s_at	17092	P	0.000244
200020_at	1519.9	P	0.000244
200021_at	35467.4	P	0.001221
200022_at	17375.5	P	0.000244
200023_s_at	7322.4	P	0.000244
200024_at	11247	P	0.000732
200025_s_at	19152.2	P	0.000244
200026_at	21817.4	P	0.001221
200027_at	2354	P	0.000244
200028_s_at	2220	P	0.000732
200029_at	17297.8	P	0.000244
200030_s_at	8343.5	P	0.000244
200031_s_at	34073.9	P	0.000244
200032_s_at	29263.4	P	0.000244
200033_at	10552.4	P	0.000244
200034_s_at	13690.1	P	0.000244
200035_at	2342.5	P	0.000732
200036_s_at	6906.7	P	0.000244
200037_s_at	3128.7	P	0.000244
200038_s_at	19913.7	P	0.000244
200039_s_at	1973.7	P	0.000244
200040_at	2969.1	P	0.000244
200041_s_at	9988.1	P	0.000244
200042_at	1370.6	P	0.001953
200043_at	6464.4	P	0.001221
200044_at	3489.6	P	0.000244
200045_at	1987.3	P	0.000244
200046_at	1308.3	P	0.000732
200047_s_at	2579.8	P	0.000244
200048_s_at	2175.7	P	0.000244
200049_at	917.4	P	0.001221
200050_at	1380.7	P	0.000732
200051_at	583.8	P	0.000732
200052_s_at	1209	P	0.000244
200053_at	1259.6	P	0.000244
200054_at	241.7	P	0.000244
200055_at	2459.7	P	0.000244
200056_s_at	246.6	P	0.000732
200057_s_at	8796.7	P	0.000244
200058_s_at	5276.3	P	0.000244
200059_s_at	14139.6	P	0.000244
200060_s_at	2965.6	P	0.000732
200061_s_at	23988.7	P	0.000244
200062_s_at	22604.9	P	0.000244
200063_s_at	11772.2	P	0.000244
200064_at	7482.8	P	0.000732
200065_s_at	3055.9	P	0.000244
200066_at	1514.3	P	0.000244
200067_x_at	1915.5	P	0.000244
200068_s_at	4891.7	P	0.000244
200069_at	1184.6	P	0.000244
200070_at	725.5	P	0.000244
200071_at	640.9	P	0.00415
200072_s_at	4523.4	P	0.000244
200073_s_at	2651.5	P	0.000244
200074_s_at	5721.8	P	0.000244
200075_s_at	729.9	P	0.001221
200076_s_at	1020.3	P	0.001953
200077_s_at	14829.6	P	0.000244
200078_s_at	2401.7	P	0.001953
200079_s_at	2895.8	P	0.000732
200080_s_at	9591.1	P	0.000244
200081_s_at	21463.2	P	0.000244
200082_s_at	16474	P	0.000244
200083_at	2799.7	P	0.000732
200084_at	3209.3	P	0.000244
200085_s_at	2032.7	P	0.000244
200086_s_at	2696.2	P	0.000244
200087_s_at	2963	P	0.000244
200088_x_at	9532.8	P	0.000244
200089_s_at	5231.1	P	0.000244
200090_at	4431.6	P	0.000244
200091_s_at	6738.2	P	0.000244
200092_s_at	8152.8	P	0.000244
200093_s_at	1824	P	0.000244
200094_s_at	3989.4	P	0.000244
200095_x_at	30711.2	P	0.000244
200096_s_at	1893.9	P	0.000244
200097_s_at	4308.2	P	0.000244
200098_s_at	3257	P	0.000244
