^SAMPLE = GSM705852
!Sample_title = SJERG024
!Sample_geo_accession = GSM705852
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 7_Other
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = B-precursor ALL with miscellaneous karyotype
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705852/suppl/GSM705852.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2095.8	P	0.001602
1053_at	195.4	A	0.11716
117_at	146.8	A	0.397994
121_at	1501.8	P	0.009985
1255_g_at	110.9	A	0.438361
1294_at	1160.6	P	0.001892
1316_at	330	P	0.031336
1320_at	38.7	A	0.795978
1405_i_at	282.8	P	0.003159
1431_at	137.5	A	0.218983
1438_at	67.9	A	0.64131
1487_at	680.1	A	0.081337
1494_f_at	203.4	A	0.189687
1598_g_at	959.3	A	0.11716
160020_at	943.6	P	0.02786
1729_at	61.3	A	0.749276
1773_at	284.1	A	0.32083
177_at	318	A	0.07383
179_at	1030.6	P	0.035163
1861_at	238.5	A	0.204022
200000_s_at	3083.7	P	0.000244
200001_at	4287.9	P	0.001221
200002_at	17042.4	P	0.000244
200003_s_at	31360.1	P	0.000244
200004_at	8535	P	0.000244
200005_at	6821.3	P	0.000244
200006_at	7841.6	P	0.000732
200007_at	6669.1	P	0.000244
200008_s_at	5665.3	P	0.000244
200009_at	7406.3	P	0.000244
200010_at	22958.3	P	0.000244
200011_s_at	1144.8	P	0.005859
200012_x_at	21581.2	P	0.000244
200013_at	19290.7	P	0.000244
200014_s_at	2416.3	P	0.000244
200015_s_at	2584.6	P	0.000732
200016_x_at	37665	P	0.000244
200017_at	16697.1	P	0.000732
200018_at	30172.5	P	0.000244
200019_s_at	17230.7	P	0.000244
200020_at	1775.5	P	0.000244
200021_at	24933	P	0.001953
200022_at	18948.1	P	0.000244
200023_s_at	10205.3	P	0.000244
200024_at	16168.7	P	0.000732
200025_s_at	33993.9	P	0.000244
200026_at	42293.5	P	0.000732
200027_at	2500.3	P	0.000244
200028_s_at	2573.7	P	0.000244
200029_at	32243.1	P	0.000244
200030_s_at	11742.6	P	0.000244
200031_s_at	40127.7	P	0.000244
200032_s_at	44391.5	P	0.000244
200033_at	13286.5	P	0.000244
200034_s_at	24770.1	P	0.000244
200035_at	1441.5	P	0.000244
200036_s_at	21255.1	P	0.000244
200037_s_at	3603.4	P	0.000244
200038_s_at	29861.2	P	0.000244
200039_s_at	1865.1	P	0.000244
200040_at	5411.1	P	0.000732
200041_s_at	7988.3	P	0.000244
200042_at	1144.2	P	0.00415
200043_at	6682.6	P	0.001221
200044_at	3764.2	P	0.000244
200045_at	1925.2	P	0.001221
200046_at	1210.2	P	0.000732
200047_s_at	2443.1	P	0.000244
200048_s_at	2623.8	P	0.000244
200049_at	811.2	P	0.000244
200050_at	1841	P	0.001221
