^SAMPLE = GSM705856
!Sample_title = SJTALL127
!Sample_geo_accession = GSM705856
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705856/suppl/GSM705856.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	493.3	P	0.017001
1053_at	378.7	P	0.009985
117_at	210.6	M	0.060419
121_at	1118.9	P	0.008689
1255_g_at	131.8	P	0.013092
1294_at	595.7	P	0.003067
1316_at	124.3	A	0.127645
1320_at	24.2	A	0.697453
1405_i_at	205.5	A	0.078906
1431_at	83.4	A	0.189687
1438_at	81.7	A	0.397994
1487_at	378.4	A	0.127645
1494_f_at	272.6	P	0.048995
1598_g_at	774.9	A	0.07383
160020_at	596.8	P	0.019304
1729_at	287	P	0.009985
1773_at	239.5	A	0.189687
177_at	15.8	A	0.541184
179_at	704.3	A	0.098054
1861_at	245.7	A	0.127645
200000_s_at	2661	P	0.000244
200001_at	3034.7	P	0.000244
200002_at	17804.3	P	0.000244
200003_s_at	40478.8	P	0.000244
200004_at	11926.3	P	0.000244
200005_at	6988.4	P	0.000244
200006_at	5551.3	P	0.000244
200007_at	8754.5	P	0.000244
200008_s_at	3208.8	P	0.000244
200009_at	4434	P	0.000244
200010_at	15584.6	P	0.000244
200011_s_at	1233.6	P	0.001221
200012_x_at	25113.9	P	0.000244
200013_at	17790.7	P	0.000244
200014_s_at	3216.4	P	0.000244
200015_s_at	2850.7	P	0.000732
200016_x_at	33368.3	P	0.000244
200017_at	17046.2	P	0.000244
200018_at	22524.2	P	0.000244
200019_s_at	18749.9	P	0.000244
200020_at	1750.4	P	0.000244
200021_at	23994.6	P	0.001221
200022_at	33168.6	P	0.000244
200023_s_at	7345.4	P	0.000244
200024_at	22568.5	P	0.000732
200025_s_at	22147.4	P	0.000244
200026_at	24627.3	P	0.000732
200027_at	4367.9	P	0.000244
200028_s_at	2056.8	P	0.000244
200029_at	20458.2	P	0.000244
200030_s_at	5383.5	P	0.000244
200031_s_at	54063.3	P	0.000244
200032_s_at	27477.5	P	0.000244
200033_at	12091	P	0.000244
200034_s_at	16841.2	P	0.000732
200035_at	1139.7	P	0.000732
200036_s_at	14215.7	P	0.000244
200037_s_at	4661.7	P	0.000244
200038_s_at	32853.5	P	0.000244
200039_s_at	2470.5	P	0.000244
200040_at	4850.3	P	0.000244
200041_s_at	6042.7	P	0.000244
200042_at	1815.5	P	0.001221
200043_at	8473.6	P	0.000732
200044_at	4771.1	P	0.000244
200045_at	1220.5	P	0.000244
200046_at	1977.9	P	0.000244
200047_s_at	2985.2	P	0.000244
200048_s_at	3224.8	P	0.000244
200049_at	1243.7	P	0.000732
200050_at	2039.6	P	0.000244
