^SAMPLE = GSM705858
!Sample_title = SJTALL165
!Sample_geo_accession = GSM705858
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705858/suppl/GSM705858.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	278.5	A	0.218983
1053_at	327.9	P	0.02786
117_at	213.9	A	0.218983
121_at	1544.2	P	0.013092
1255_g_at	118.7	A	0.204022
1294_at	1452.8	P	0.000468
1316_at	194.3	P	0.019304
1320_at	35.9	A	0.67917
1405_i_at	52.1	A	0.703191
1431_at	112	P	0.039365
1438_at	122.8	A	0.660442
1487_at	478.2	M	0.05447
1494_f_at	404.1	P	0.031336
1598_g_at	875.7	A	0.066865
160020_at	850.4	P	0.021866
1729_at	408.3	P	0.014937
1773_at	155.7	A	0.5
177_at	150	A	0.162935
179_at	726.6	P	0.02786
1861_at	136.8	A	0.250724
200000_s_at	2873.3	P	0.000244
200001_at	3613.3	P	0.000732
200002_at	22416.5	P	0.000244
200003_s_at	27998.3	P	0.000244
200004_at	11879.2	P	0.000244
200005_at	5170.5	P	0.000244
200006_at	11642.3	P	0.000244
200007_at	6686.8	P	0.000244
200008_s_at	1996.4	P	0.000244
200009_at	6372.7	P	0.000244
200010_at	23989.4	P	0.000244
200011_s_at	1592.7	P	0.000244
200012_x_at	17629.2	P	0.000244
200013_at	22994.2	P	0.000244
200014_s_at	3358.1	P	0.000244
200015_s_at	2534.8	P	0.000732
200016_x_at	23599.2	P	0.000244
200017_at	17915.3	P	0.000244
200018_at	29928	P	0.000244
200019_s_at	22697.7	P	0.000244
200020_at	2318.4	P	0.000244
200021_at	25674.1	P	0.00293
200022_at	14436.8	P	0.000244
200023_s_at	8020.7	P	0.000244
200024_at	15350.6	P	0.000732
200025_s_at	30906.6	P	0.000244
200026_at	38077.6	P	0.000732
200027_at	3713.5	P	0.000244
200028_s_at	2624.6	P	0.000244
200029_at	26970.8	P	0.000244
200030_s_at	9312	P	0.000244
200031_s_at	39189.5	P	0.000244
200032_s_at	38745.7	P	0.000244
200033_at	12074.4	P	0.000244
200034_s_at	20279.5	P	0.000244
200035_at	1600.9	P	0.008057
200036_s_at	14847.2	P	0.000244
200037_s_at	4825.4	P	0.000244
200038_s_at	26361.5	P	0.000244
200039_s_at	3422.5	P	0.000244
200040_at	4273.4	P	0.000244
200041_s_at	7218.7	P	0.000244
200042_at	1157.8	P	0.000732
200043_at	9232	P	0.001953
200044_at	4876.1	P	0.000244
200045_at	2264.8	P	0.000244
200046_at	2293.9	P	0.000244
200047_s_at	5110.5	P	0.000244
200048_s_at	3499.5	P	0.000244
200049_at	1049.7	P	0.000244
200050_at	3449.5	P	0.000244
200051_at	853.2	P	0.000732
200052_s_at	3716.4	P	0.000244
200053_at	1989.4	P	0.000244
200054_at	657.9	P	0.000244
200055_at	2984.8	P	0.000244
200056_s_at	798.9	P	0.000732
200057_s_at	8565	P	0.000244
200058_s_at	2713.8	P	0.000244
200059_s_at	12395.7	P	0.000244
200060_s_at	3818.8	P	0.001221
200061_s_at	38479.7	P	0.000244
200062_s_at	43869.8	P	0.000244
200063_s_at	20418.6	P	0.000244
200064_at	14922.6	P	0.000732
200065_s_at	3652.9	P	0.000244
200066_at	1699.6	P	0.000732
200067_x_at	3918.2	P	0.000244
200068_s_at	5434.6	P	0.000244
200069_at	802.1	P	0.000732
200070_at	958.2	P	0.00293
200071_at	1302.4	P	0.001953
200072_s_at	3871.5	P	0.000244
200073_s_at	4695.9	P	0.000244
200074_s_at	12616.4	P	0.000244
200075_s_at	548.6	P	0.001221
200076_s_at	866.8	P	0.001221
200077_s_at	15083.6	P	0.000244
200078_s_at	2747.7	P	0.001953
200079_s_at	3699.5	P	0.000732
200080_s_at	23281.2	P	0.000244
200081_s_at	22119.3	P	0.000244
200082_s_at	26929.4	P	0.000244
200083_at	2647.6	P	0.000732
200084_at	4354.7	P	0.000244
200085_s_at	3579.7	P	0.000244
200086_s_at	3188.3	P	0.000244
200087_s_at	4058	P	0.000244
200088_x_at	24418.7	P	0.000244
200089_s_at	19476.3	P	0.000244
200090_at	2931.3	P	0.000244
200091_s_at	14118.5	P	0.000244
200092_s_at	24311.7	P	0.000244
200093_s_at	9054.7	P	0.000244
200094_s_at	4608.4	P	0.000732
200095_x_at	41539.4	P	0.000244
200096_s_at	2670.2	P	0.000244
200097_s_at	5740.3	P	0.000244
200098_s_at	2769.1	P	0.001953
200099_s_at	38244	P	0.000244
200593_s_at	2813.6	P	0.000244
200594_x_at	6699.6	P	0.000244
200595_s_at	3645.4	P	0.000244
200596_s_at	774	P	0.001953
200597_at	602.7	P	0.001953
200598_s_at	645.9	P	0.000244
200599_s_at	4553.3	P	0.000244
200600_at	5380.5	P	0.000244
200601_at	1139.4	P	0.001953
200602_at	303.1	P	0.008057
200603_at	3723.9	P	0.000244
200604_s_at	774.2	P	0.000244
200605_s_at	2355.5	P	0.000244
200606_at	139.8	A	0.19458
200607_s_at	1039	P	0.005859
200608_s_at	3209.6	P	0.000244
200609_s_at	2143.1	P	0.001953
200610_s_at	12951	P	0.000732
200611_s_at	1748.6	P	0.005859
200612_s_at	267.7	A	0.366211
200613_at	1480.1	P	0.001221
200614_at	5364.6	P	0.000244
200615_s_at	979.2	P	0.023926
200616_s_at	450.3	P	0.046143
200617_at	1432.7	P	0.000732
200618_at	3686.7	P	0.000244
200619_at	1325	P	0.005859
200620_at	3675.6	P	0.000244
200621_at	895.7	P	0.00293
200622_x_at	1092.2	P	0.037598
200623_s_at	2419.7	P	0.000244
200624_s_at	4317.6	P	0.000244
200625_s_at	4871.8	P	0.000244
200626_s_at	4635.7	P	0.000244
200627_at	8825.3	P	0.000244
200628_s_at	884.9	A	0.171387
200629_at	2241.1	P	0.000732
200630_x_at	7234.8	P	0.000244
200631_s_at	6933	P	0.000244
200632_s_at	619.6	P	0.000732
200633_at	27684.3	P	0.000244
200634_at	13179.9	P	0.000244
200635_s_at	98.8	A	0.533936
200636_s_at	29.6	A	0.780518
200637_s_at	7.1	A	0.932373
200638_s_at	5043.1	P	0.000244
200639_s_at	6188.8	P	0.000244
200640_at	11680.1	P	0.000244
200641_s_at	2236.6	P	0.000244
200642_at	7869.8	P	0.000244
200643_at	752.4	A	0.080566
200644_at	4377.5	P	0.000244
200645_at	2737.2	P	0.000244
200646_s_at	189.8	A	0.149658
200647_x_at	3062.1	P	0.00293
200648_s_at	905.1	P	0.005859
200649_at	543.4	P	0.008057
200650_s_at	16491.3	P	0.000244
200651_at	24137.8	P	0.000244
200652_at	2717.3	P	0.000732
200653_s_at	1444	P	0.000732
200654_at	3077.2	P	0.018555
200655_s_at	2496.6	P	0.000244
200656_s_at	605	P	0.005859
200657_at	7651.1	P	0.000244
200658_s_at	1081.2	P	0.000244
200659_s_at	340.7	P	0.01416
200660_at	670.6	P	0.030273
200661_at	1124.1	P	0.008057
200662_s_at	2331.2	P	0.000732
200663_at	3376.9	P	0.000732
200664_s_at	335.2	P	0.037598
200665_s_at	675.6	P	0.008057
200666_s_at	1813.7	P	0.000244
200667_at	1588.7	P	0.000244
200668_s_at	3924.8	P	0.000244
200669_s_at	2164.8	P	0.000244
200670_at	2380.2	P	0.000244
200671_s_at	24.3	A	0.665527
200672_x_at	919.8	P	0.046143
200673_at	3975.6	P	0.000244
200674_s_at	44187.8	P	0.000244
200675_at	2401.1	P	0.000244
200676_s_at	424.9	P	0.00293
200677_at	3914.5	P	0.000244
200678_x_at	457.7	A	0.067627
200679_x_at	3543.2	P	0.000244
200680_x_at	15221.8	P	0.000244
200681_at	2452.9	P	0.000732
200682_s_at	2045.4	P	0.000244
200683_s_at	1385.8	P	0.001953
200684_s_at	563.1	P	0.00415
200685_at	319.6	P	0.001221
200686_s_at	6153.9	P	0.000244
200687_s_at	1298.6	P	0.001221
200688_at	181.2	P	0.005859
200689_x_at	25018.9	P	0.000244
200690_at	602.7	A	0.27417
200691_s_at	2300.7	P	0.000244
200692_s_at	1119.8	P	0.000244
200693_at	9751.9	P	0.000244
200694_s_at	1748.9	P	0.000244
200695_at	900.4	M	0.056152
200696_s_at	387.8	P	0.018555
200697_at	298.4	A	0.27417
200698_at	846.9	P	0.000244
200699_at	668.3	P	0.00293
200700_s_at	2119.3	P	0.000244
200701_at	1409.4	P	0.000244
200702_s_at	15.3	A	0.80542
200703_at	7305.5	P	0.000244
200704_at	2900.9	P	0.000244
200705_s_at	19178.6	P	0.000244
200706_s_at	1766	P	0.001953
200707_at	365	A	0.149658
200708_at	755.6	P	0.000732
200709_at	2653	P	0.000244
200710_at	1495.6	P	0.023926
200711_s_at	1818.6	P	0.000244
200712_s_at	652.7	P	0.000244
200713_s_at	3355.7	P	0.000732
200714_x_at	2349.7	P	0.000244
200715_x_at	8022	P	0.000244
200716_x_at	43368.6	P	0.000244
200717_x_at	39590.2	P	0.000244
200718_s_at	9705.9	P	0.000244
200719_at	417.2	P	0.046143
200720_s_at	778.4	P	0.001953
200721_s_at	601.2	P	0.01416
200722_s_at	1465.2	P	0.000244
200723_s_at	4092.8	P	0.000244
200724_at	199.3	A	0.171387
200725_x_at	29538.3	P	0.000244
200726_at	3513.5	P	0.000244
200727_s_at	345.2	A	0.080566
200728_at	4081	P	0.000244
200729_s_at	3717.6	P	0.000244
200730_s_at	312.9	P	0.001953
200731_s_at	317.1	P	0.008057
200732_s_at	383.6	P	0.008057
200733_s_at	305.8	P	0.000732
200734_s_at	1395.2	P	0.00293
200735_x_at	27678.8	P	0.000244
200736_s_at	3164.7	P	0.000244
200737_at	2138.9	P	0.000732
200738_s_at	7677.4	P	0.000244
200739_s_at	839.3	P	0.00293
200740_s_at	3283.3	P	0.000244
200741_s_at	50993.9	P	0.000244
200742_s_at	972.1	P	0.000244
200743_s_at	1614.2	P	0.000244
200744_s_at	1520.3	P	0.000244
200745_s_at	1293.3	P	0.000732
200746_s_at	4296.1	P	0.001221
200747_s_at	746.4	P	0.010742
200748_s_at	5217.5	P	0.000244
200749_at	1079.8	P	0.000732
200750_s_at	7121.7	P	0.000244
200751_s_at	1919.5	P	0.000244
200752_s_at	397.4	A	0.067627
200753_x_at	1584.3	P	0.000732
200754_x_at	6808.2	P	0.000244
200755_s_at	297.2	M	0.056152
200756_x_at	305.7	A	0.246094
200757_s_at	779.4	P	0.010742
