^SAMPLE = GSM705860
!Sample_title = SJTALL064
!Sample_geo_accession = GSM705860
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705860/suppl/GSM705860.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	886.7	P	0.021866
1053_at	346.8	P	0.017001
117_at	531.3	P	0.000673
121_at	1416.7	P	0.003585
1255_g_at	81.6	A	0.541184
1294_at	959.5	P	0.000562
1316_at	9.3	A	0.250724
1320_at	50.3	A	0.621816
1405_i_at	148.5	A	0.088557
1431_at	53.4	A	0.47938
1438_at	100.1	A	0.621816
1487_at	153.9	A	0.378184
1494_f_at	354	P	0.035163
1598_g_at	970.4	M	0.05447
160020_at	700.9	P	0.017001
1729_at	350.3	P	0.007543
1773_at	320.2	A	0.218983
177_at	111.4	A	0.52062
179_at	1012.2	P	0.02786
1861_at	109.5	A	0.458816
200000_s_at	3328.1	P	0.000244
200001_at	2607.8	P	0.001953
200002_at	12013.1	P	0.000244
200003_s_at	30136.9	P	0.000244
200004_at	6890.7	P	0.000244
200005_at	4559.1	P	0.000244
200006_at	7219.6	P	0.000244
200007_at	5419.6	P	0.000244
200008_s_at	2911.7	P	0.000244
200009_at	7358.6	P	0.000244
200010_at	18447.3	P	0.000244
200011_s_at	1318.6	P	0.001221
200012_x_at	22688	P	0.000244
200013_at	18858.1	P	0.000244
200014_s_at	2785	P	0.000244
200015_s_at	2351.3	P	0.000732
200016_x_at	30400.5	P	0.000244
200017_at	15642.7	P	0.000244
200018_at	25189.8	P	0.000244
200019_s_at	13959.3	P	0.000244
200020_at	2630.6	P	0.000244
200021_at	34895.5	P	0.000244
200022_at	17931.1	P	0.000244
200023_s_at	6017.2	P	0.000244
200024_at	18167.3	P	0.000244
200025_s_at	18976.4	P	0.000244
200026_at	25921.5	P	0.000732
200027_at	1951.6	P	0.000244
200028_s_at	2197.8	P	0.000244
200029_at	23816	P	0.000244
200030_s_at	12093.2	P	0.000244
200031_s_at	37948.5	P	0.000244
200032_s_at	37113.3	P	0.000244
200033_at	11944.2	P	0.000244
200034_s_at	22153.7	P	0.000244
200035_at	1353	P	0.001953
200036_s_at	12025.7	P	0.000244
200037_s_at	6127.1	P	0.000244
200038_s_at	21574.6	P	0.000244
200039_s_at	3496.8	P	0.000244
200040_at	5107.9	P	0.000244
200041_s_at	12291.3	P	0.000244
200042_at	1089.4	P	0.008057
200043_at	10447.6	P	0.000732
200044_at	3395.3	P	0.000244
200045_at	1806.5	P	0.000732
200046_at	1587	P	0.000244
200047_s_at	3248.2	P	0.000244
200048_s_at	3389.2	P	0.000244
200049_at	758.5	P	0.00293
200050_at	1719.1	P	0.001953
