^SAMPLE = GSM705865
!Sample_title = SJTALL068
!Sample_geo_accession = GSM705865
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705865/suppl/GSM705865.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	449.4	P	0.024711
1053_at	498.8	P	0.024711
117_at	301.6	A	0.098054
121_at	1294	P	0.011447
1255_g_at	100.3	A	0.339558
1294_at	534.2	P	0.031336
1316_at	164.7	P	0.031336
1320_at	47.3	A	0.837065
1405_i_at	28.5	A	0.783687
1431_at	139	A	0.098054
1438_at	88.2	A	0.732537
1487_at	477.6	A	0.138765
1494_f_at	450.5	A	0.07383
1598_g_at	718.4	A	0.218983
160020_at	716.5	A	0.07383
1729_at	386.2	P	0.019304
1773_at	63.3	A	0.47938
177_at	165.3	A	0.11716
179_at	911.8	A	0.267463
1861_at	75.9	A	0.602006
200000_s_at	3711.4	P	0.000244
200001_at	3888.7	P	0.000244
200002_at	15789.8	P	0.000244
200003_s_at	30366.7	P	0.000244
200004_at	6730.7	P	0.000244
200005_at	8480.6	P	0.000244
200006_at	6562.1	P	0.000244
200007_at	6602.9	P	0.000244
200008_s_at	3107.3	P	0.000244
200009_at	6507	P	0.000244
200010_at	20408.2	P	0.000244
200011_s_at	2052.4	P	0.001953
200012_x_at	19252.3	P	0.000244
200013_at	22003.2	P	0.000244
200014_s_at	3469.8	P	0.000244
200015_s_at	1783.7	P	0.000732
200016_x_at	32491.7	P	0.000244
200017_at	16177.1	P	0.000244
200018_at	26054.1	P	0.000244
200019_s_at	18469	P	0.000244
200020_at	2304.6	P	0.000244
200021_at	23084	P	0.001953
200022_at	26228.7	P	0.000244
200023_s_at	8608.1	P	0.000244
200024_at	17542.1	P	0.000732
200025_s_at	25030.8	P	0.000244
200026_at	34642.2	P	0.000244
200027_at	2526.9	P	0.000244
200028_s_at	2726.2	P	0.000244
200029_at	27934.6	P	0.000244
200030_s_at	9976.2	P	0.000244
200031_s_at	38501.1	P	0.000244
200032_s_at	34468.5	P	0.000244
200033_at	11211.1	P	0.000244
200034_s_at	25432.8	P	0.000244
200035_at	2385.1	P	0.023926
200036_s_at	25843	P	0.000244
200037_s_at	4602.2	P	0.000732
200038_s_at	27270.5	P	0.000244
200039_s_at	3629.1	P	0.000244
200040_at	4735.9	P	0.000732
200041_s_at	7604	P	0.000244
200042_at	1539.1	P	0.00415
200043_at	7589.3	P	0.000244
200044_at	4481.1	P	0.000244
200045_at	1973.5	P	0.000244
200046_at	2183.4	P	0.000244
200047_s_at	2859.3	P	0.000244
200048_s_at	3933.3	P	0.000244
200049_at	1033.7	P	0.000244
200050_at	1600	P	0.000244
200051_at	603.8	P	0.000244
200052_s_at	4982.6	P	0.000244
200053_at	2198.6	P	0.000732
200054_at	624.6	P	0.000732
200055_at	3992.5	P	0.000244
200056_s_at	753	P	0.018555
200057_s_at	13112.6	P	0.000244
200058_s_at	3476.2	P	0.000244
200059_s_at	12559.9	P	0.000244
200060_s_at	2699.8	P	0.000732
200061_s_at	31939.4	P	0.000244
200062_s_at	41004.3	P	0.000244
200063_s_at	16262.6	P	0.000244
200064_at	18241.2	P	0.000732
200065_s_at	5793.1	P	0.000244
200066_at	2842.7	P	0.001221
200067_x_at	1124.5	P	0.001953
200068_s_at	7001.7	P	0.000244
200069_at	622.4	P	0.000244
200070_at	581.2	P	0.00415
200071_at	1011.9	P	0.00415
200072_s_at	5288.3	P	0.000244
200073_s_at	4115.4	P	0.000244
200074_s_at	11355.9	P	0.000244
200075_s_at	2018.5	P	0.000732
200076_s_at	1135.1	P	0.010742
200077_s_at	9712.1	P	0.000244
200078_s_at	1475.9	P	0.018555
200079_s_at	4629.5	P	0.000732
200080_s_at	17115.6	P	0.000244
200081_s_at	31348	P	0.000244
200082_s_at	28394.9	P	0.000244
200083_at	2657.7	P	0.000732
200084_at	3119.3	P	0.000244
200085_s_at	3588.8	P	0.000244
200086_s_at	3914.9	P	0.000244
200087_s_at	3566.7	P	0.000244
200088_x_at	28391.5	P	0.000244
200089_s_at	16533.6	P	0.000244
200090_at	2019.5	P	0.000244
200091_s_at	10564.1	P	0.000244
200092_s_at	25121.4	P	0.000244
200093_s_at	5672.6	P	0.000244
200094_s_at	9637.6	P	0.000244
200095_x_at	42027	P	0.000244
200096_s_at	1547.7	P	0.000244
200097_s_at	4154.6	P	0.000244
200098_s_at	3212.9	P	0.001221
200099_s_at	35063.6	P	0.000244
200593_s_at	3855.1	P	0.000244
200594_x_at	7484.5	P	0.000244
200595_s_at	3430.3	P	0.000244
200596_s_at	1255.1	P	0.001953
200597_at	954.5	P	0.000732
200598_s_at	1604.3	P	0.000244
200599_s_at	2762.4	P	0.000732
200600_at	8254.6	P	0.000244
200601_at	216.2	A	0.27417
200602_at	97.9	A	0.366211
200603_at	2024.6	P	0.000244
200604_s_at	1747.1	P	0.000732
200605_s_at	2629.9	P	0.000244
200606_at	131.4	A	0.19458
200607_s_at	2430.3	P	0.001953
200608_s_at	2339.9	P	0.000244
200609_s_at	2621.4	P	0.000244
200610_s_at	8802	P	0.000732
200611_s_at	3746.7	P	0.001221
200612_s_at	223.6	A	0.303711
200613_at	1567.9	P	0.001221
200614_at	5253.6	P	0.000244
200615_s_at	675.3	P	0.037598
200616_s_at	290.2	A	0.334473
200617_at	1958	P	0.000244
200618_at	4208.6	P	0.001953
200619_at	1829.4	P	0.00415
200620_at	2043.2	P	0.001221
200621_at	1083.3	P	0.001953
200622_x_at	718.1	P	0.037598
200623_s_at	2129.3	P	0.000732
200624_s_at	4662.9	P	0.000244
200625_s_at	2464.8	P	0.000732
200626_s_at	2014.1	P	0.001221
200627_at	7076.6	P	0.000244
200628_s_at	833.5	A	0.334473
200629_at	933.4	P	0.00293
200630_x_at	5948	P	0.000244
200631_s_at	7921.4	P	0.000244
200632_s_at	830.9	P	0.000244
200633_at	26517.2	P	0.000244
200634_at	18699.9	P	0.000244
200635_s_at	183.4	A	0.080566
200636_s_at	57.2	A	0.753906
200637_s_at	53.6	A	0.753906
200638_s_at	7344.7	P	0.000244
200639_s_at	4645.1	P	0.000244
200640_at	8010	P	0.000244
200641_s_at	6918	P	0.000244
200642_at	4635.5	P	0.001953
200643_at	436	A	0.171387
200644_at	7406.4	P	0.000244
200645_at	4032.4	P	0.000244
200646_s_at	193.8	A	0.095215
200647_x_at	3256.7	P	0.018555
200648_s_at	1179.9	P	0.01416
200649_at	665	P	0.008057
200650_s_at	14179.2	P	0.000244
200651_at	32207	P	0.000244
200652_at	4063.2	P	0.000732
200653_s_at	1031.3	P	0.000732
200654_at	4715.2	P	0.010742
200655_s_at	1481.9	P	0.000244
200656_s_at	931.3	P	0.008057
200657_at	11855.4	P	0.000244
200658_s_at	1171.1	P	0.000244
200659_s_at	831.3	P	0.030273
200660_at	1311.1	P	0.046143
200661_at	365.3	A	0.601074
200662_s_at	2649	P	0.000732
200663_at	1998.1	P	0.00415
200664_s_at	786.3	P	0.046143
200665_s_at	13.8	A	0.919434
200666_s_at	1522.2	P	0.000244
200667_at	2194.6	P	0.000244
200668_s_at	5064.3	P	0.000244
200669_s_at	3342.7	P	0.000244
200670_at	2034.6	P	0.000732
200671_s_at	667.4	M	0.056152
200672_x_at	1809.2	P	0.000244
200673_at	1836	P	0.000244
200674_s_at	43408.7	P	0.000244
200675_at	2833.7	P	0.000244
200676_s_at	379.2	P	0.001953
200677_at	8490.6	P	0.000244
200678_x_at	1072.9	P	0.018555
200679_x_at	6721.5	P	0.000244
200680_x_at	12991.5	P	0.000244
200681_at	1889.8	P	0.000732
200682_s_at	2244.2	P	0.000244
200683_s_at	1462	P	0.023926
200684_s_at	714	P	0.008057
200685_at	413.2	P	0.01416
200686_s_at	2317.6	P	0.001953
200687_s_at	1118.1	P	0.000732
200688_at	266.3	P	0.030273
200689_x_at	22380.2	P	0.000244
200690_at	315.1	A	0.303711
200691_s_at	2375.1	P	0.000244
200692_s_at	2002	P	0.000244
200693_at	8406	P	0.000244
200694_s_at	2180.7	P	0.000244
200695_at	1792.7	P	0.030273
200696_s_at	363.8	A	0.334473
200697_at	1793.1	P	0.001953
200698_at	609.5	P	0.000244
200699_at	702.1	P	0.030273
200700_s_at	1592.9	P	0.000732
200701_at	706.2	P	0.030273
200702_s_at	47.6	A	0.398926
200703_at	5589.1	P	0.000244
200704_at	823	P	0.000732
200705_s_at	23946.4	P	0.000244
200706_s_at	467.4	A	0.080566
200707_at	1005.5	P	0.00293
200708_at	1566	P	0.005859
200709_at	3779.6	P	0.000244
200710_at	2141	P	0.008057
200711_s_at	2033.3	P	0.001953
200712_s_at	956.9	P	0.001221
200713_s_at	4488.1	P	0.000732
200714_x_at	2471	P	0.000732
200715_x_at	23727.8	P	0.000244
200716_x_at	53700.9	P	0.000244
200717_x_at	42300.2	P	0.000244
200718_s_at	7815.6	P	0.000244
200719_at	451.9	P	0.00415
200720_s_at	819	P	0.010742
200721_s_at	1416	P	0.010742
200722_s_at	1490	P	0.000244
200723_s_at	4032.3	P	0.000244
200724_at	117.9	A	0.665527
200725_x_at	40266.3	P	0.000244
200726_at	2860.8	P	0.000244
200727_s_at	622.9	P	0.023926
200728_at	3358.1	P	0.000244
200729_s_at	2168.5	P	0.000244
200730_s_at	796.2	P	0.000244
200731_s_at	936	P	0.008057
200732_s_at	1010.9	P	0.000732
200733_s_at	313.6	P	0.001953
200734_s_at	1348.1	P	0.001953
200735_x_at	30793.7	P	0.000244
200736_s_at	1949.6	P	0.000244
200737_at	3090.8	P	0.000732
200738_s_at	8062.1	P	0.000244
200739_s_at	1835.7	P	0.000732
200740_s_at	5219.7	P	0.000244
200741_s_at	37291.2	P	0.000244
200742_s_at	1197.1	P	0.000244
200743_s_at	1547.1	P	0.000732
200744_s_at	1447.9	P	0.001221
200745_s_at	2784	P	0.000732
200746_s_at	4329	P	0.001221
200747_s_at	1123.1	P	0.000244
200748_s_at	6773	P	0.000244
200749_at	1285.2	P	0.000244
200750_s_at	7556.3	P	0.000244
200751_s_at	2477.4	P	0.000244
200752_s_at	795.3	P	0.030273
200753_x_at	2298.4	P	0.000732
200754_x_at	9604.9	P	0.000244
200755_s_at	554.4	P	0.037598
200756_x_at	401.3	A	0.19458
200757_s_at	1068.7	P	0.008057
200758_s_at	742.4	P	0.008057
200759_x_at	2281.9	P	0.001953
200760_s_at	1212	P	0.001953
200761_s_at	1339.2	P	0.00415
200762_at	1593.8	P	0.000244
200763_s_at	36097.7	P	0.000244
200764_s_at	245.4	A	0.111572
200765_x_at	156.6	A	0.27417
200766_at	96.5	A	0.398926
200767_s_at	518.4	P	0.005859
200768_s_at	4303.3	P	0.000244
200769_s_at	1591.8	P	0.005859
200770_s_at	57.4	A	0.696289
200771_at	228.4	A	0.5
200772_x_at	20874	P	0.000244
