^SAMPLE = GSM705866
!Sample_title = SJTALL069
!Sample_geo_accession = GSM705866
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 4_MLL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = MLL-rearranged T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705866/suppl/GSM705866.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	786.3	P	0.00418
1053_at	314.7	P	0.006532
117_at	207.5	A	0.089405
121_at	1033.9	P	0.005643
1255_g_at	89.9	A	0.11716
1294_at	1335.8	P	0.000388
1316_at	136.6	P	0.039365
1320_at	109.9	A	0.52062
1405_i_at	81.9	P	0.036797
1431_at	111.7	A	0.066865
1438_at	47.5	A	0.697453
1487_at	547.9	A	0.098054
1494_f_at	396.3	P	0.031336
1598_g_at	491.1	A	0.127645
160020_at	530.6	P	0.043968
1729_at	590.8	P	0.001354
1773_at	168.4	A	0.284747
177_at	198.9	A	0.339558
179_at	1011.5	A	0.098054
1861_at	366.4	M	0.060419
200000_s_at	4267.9	P	0.000244
200001_at	3986.4	P	0.000732
200002_at	14129	P	0.000244
200003_s_at	32758.3	P	0.000244
200004_at	10728.4	P	0.000244
200005_at	6224.7	P	0.000244
200006_at	7596.7	P	0.000244
200007_at	7626.1	P	0.000244
200008_s_at	3851.8	P	0.000244
200009_at	6986.2	P	0.000244
200010_at	20851.1	P	0.000244
200011_s_at	1042.2	P	0.000244
200012_x_at	20932.8	P	0.000244
200013_at	23295.7	P	0.000244
200014_s_at	3258.8	P	0.000244
200015_s_at	2251.2	P	0.000244
200016_x_at	29470.4	P	0.000244
200017_at	14574.4	P	0.000244
200018_at	27713.2	P	0.000244
200019_s_at	19357.2	P	0.000244
200020_at	2085.2	P	0.000244
200021_at	24207.8	P	0.001221
200022_at	26303.6	P	0.000244
200023_s_at	7379.7	P	0.000244
200024_at	19005.2	P	0.000732
200025_s_at	18093.1	P	0.000244
200026_at	32936.2	P	0.000244
200027_at	2214.9	P	0.000244
200028_s_at	2010.9	P	0.000244
200029_at	21660.1	P	0.000244
200030_s_at	10043.8	P	0.000244
200031_s_at	39427.5	P	0.000244
200032_s_at	33096.4	P	0.000244
200033_at	12924.5	P	0.000244
200034_s_at	20430.6	P	0.000244
200035_at	1241.9	P	0.000732
200036_s_at	16598.4	P	0.000244
200037_s_at	5255	P	0.000244
200038_s_at	25162.4	P	0.000244
200039_s_at	2845.2	P	0.000244
200040_at	4689.9	P	0.000244
200041_s_at	9567.4	P	0.000244
200042_at	1869.7	P	0.000732
200043_at	6119.7	P	0.000244
200044_at	3626.1	P	0.000244
200045_at	2645.3	P	0.000244
200046_at	1447.9	P	0.000244
200047_s_at	2288.1	P	0.000244
200048_s_at	4519.9	P	0.000732
200049_at	580.3	P	0.001953
200050_at	2280.8	P	0.000244
200051_at	918.6	P	0.000244
200052_s_at	4304.6	P	0.000244
200053_at	1350.1	P	0.000244
200054_at	361.8	P	0.001221
200055_at	2989.2	P	0.000244
200056_s_at	461.8	P	0.00415
200057_s_at	11042.3	P	0.000244
200058_s_at	3565.2	P	0.000244
200059_s_at	8014.4	P	0.000244
200060_s_at	2805.2	P	0.000244
200061_s_at	32798.3	P	0.000244
200062_s_at	33497.7	P	0.000244
200063_s_at	12659.6	P	0.000244
200064_at	15242.5	P	0.000732
200065_s_at	5634.6	P	0.000244
200066_at	2122.4	P	0.000244
200067_x_at	1223.4	P	0.000244
200068_s_at	7241.7	P	0.000244
200069_at	386.4	P	0.001221
200070_at	754.3	P	0.000244
200071_at	748.1	P	0.00293
200072_s_at	6836.1	P	0.000244
200073_s_at	4708.7	P	0.000244
200074_s_at	7975.2	P	0.000244
200075_s_at	2171.1	P	0.000244
200076_s_at	1266	P	0.000244
200077_s_at	9877.7	P	0.000244
200078_s_at	1601.3	P	0.005859
200079_s_at	4103.4	P	0.000244
200080_s_at	15322.1	P	0.000244
200081_s_at	36161.4	P	0.000244
200082_s_at	22369.5	P	0.000244
200083_at	3438.7	P	0.000732
200084_at	3309.2	P	0.000244
200085_s_at	4271.3	P	0.000244
200086_s_at	3101.1	P	0.000244
200087_s_at	3843.7	P	0.000244
200088_x_at	26317	P	0.000244
200089_s_at	14382.5	P	0.000244
200090_at	2136.8	P	0.000244
200091_s_at	11702.7	P	0.000244
200092_s_at	24013.2	P	0.000244
200093_s_at	3963.9	P	0.000244
200094_s_at	11593.6	P	0.000244
200095_x_at	40433.6	P	0.000244
200096_s_at	1258	P	0.000244
200097_s_at	3945	P	0.000244
200098_s_at	2889.8	P	0.000244
200099_s_at	37585.9	P	0.000244
200593_s_at	3896	P	0.000244
