^SAMPLE = GSM705886
!Sample_title = SJTALL038
!Sample_geo_accession = GSM705886
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705886/suppl/GSM705886.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	562.6	P	0.009985
1053_at	170.4	P	0.013092
117_at	115.8	A	0.284715
121_at	916.7	P	0.019304
1255_g_at	106.3	A	0.150527
1294_at	1366.9	P	0.000219
1316_at	157.9	P	0.043968
1320_at	18.8	A	0.849473
1405_i_at	85.3	A	0.562354
1431_at	145.9	P	0.011447
1438_at	29.9	A	0.697453
1487_at	404.8	A	0.081337
1494_f_at	205.6	P	0.039365
1598_g_at	500.3	P	0.019304
160020_at	649.6	P	0.019304
1729_at	623.4	P	0.000673
1773_at	23.8	A	0.541184
177_at	123.2	A	0.32083
179_at	795.2	A	0.11716
1861_at	113.7	A	0.284747
200000_s_at	2882.8	P	0.000244
200001_at	2497.9	P	0.000244
200002_at	15481.3	P	0.000244
200003_s_at	30587.9	P	0.000244
200004_at	10084.1	P	0.000244
200005_at	5015.9	P	0.000244
200006_at	5277.2	P	0.000244
200007_at	7430.5	P	0.000244
200008_s_at	4077.6	P	0.000244
200009_at	6478.6	P	0.000244
200010_at	20964.9	P	0.000244
200011_s_at	1532.9	P	0.000244
200012_x_at	25412.7	P	0.000244
200013_at	26351	P	0.000244
200014_s_at	3116.5	P	0.000244
200015_s_at	2269.9	P	0.000732
200016_x_at	22816.9	P	0.000244
200017_at	17601.9	P	0.001221
200018_at	31501.1	P	0.000244
200019_s_at	17615.3	P	0.000244
200020_at	3352.9	P	0.000244
200021_at	29393.5	P	0.001221
200022_at	24781.2	P	0.000244
200023_s_at	7605.2	P	0.000244
200024_at	22843.9	P	0.000732
200025_s_at	20675.4	P	0.000244
200026_at	35415.3	P	0.000732
200027_at	2445.8	P	0.000244
200028_s_at	2016.6	P	0.000732
200029_at	27371.8	P	0.000244
200030_s_at	10848.9	P	0.000244
200031_s_at	42450.4	P	0.000244
200032_s_at	32215.3	P	0.000244
200033_at	11491	P	0.000244
200034_s_at	19197	P	0.000244
200035_at	1408.2	P	0.00293
200036_s_at	14837.2	P	0.000244
200037_s_at	3758.2	P	0.000244
200038_s_at	21822.3	P	0.000244
200039_s_at	2891	P	0.000244
200040_at	4795.2	P	0.000244
200041_s_at	10209.2	P	0.000244
200042_at	1367.6	P	0.000732
200043_at	5062.4	P	0.000732
200044_at	3583.5	P	0.000244
200045_at	2211.7	P	0.000244
200046_at	1587.9	P	0.000244
200047_s_at	1950.2	P	0.000244
200048_s_at	3593.6	P	0.000244
200049_at	655.6	P	0.000244
