^SAMPLE = GSM705888
!Sample_title = SJTALL023
!Sample_geo_accession = GSM705888
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 8_T-ALL
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = T-lineage ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705888/suppl/GSM705888.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	311.5	A	0.098054
1053_at	272.1	P	0.000959
117_at	128.1	A	0.150527
121_at	975.6	P	0.011447
1255_g_at	88	A	0.204022
1294_at	1629.1	P	0.000219
1316_at	109	P	0.013092
1320_at	46.3	A	0.621816
1405_i_at	108.9	P	0.006575
1431_at	226.7	P	0.002228
1438_at	30.3	A	0.67917
1487_at	497	P	0.039365
1494_f_at	219.5	P	0.035163
1598_g_at	652.1	P	0.019304
160020_at	451.3	P	0.02786
1729_at	632.4	P	0.000562
1773_at	119.6	A	0.107263
177_at	105.3	A	0.066865
179_at	653.8	M	0.05447
1861_at	80.6	A	0.418069
200000_s_at	2566.6	P	0.000244
200001_at	3764.8	P	0.000244
200002_at	10382.4	P	0.000244
200003_s_at	30634.1	P	0.000244
200004_at	8976.5	P	0.000244
200005_at	4569.9	P	0.000244
200006_at	6116.8	P	0.000244
200007_at	7240.9	P	0.000244
200008_s_at	3278.1	P	0.000244
200009_at	6166.2	P	0.000244
200010_at	19176.7	P	0.000244
200011_s_at	1367.9	P	0.000244
200012_x_at	19507.1	P	0.000244
200013_at	17590.3	P	0.000244
200014_s_at	2271.4	P	0.000244
200015_s_at	2627.9	P	0.000244
200016_x_at	26371.4	P	0.000244
200017_at	15170.8	P	0.000244
200018_at	22838.2	P	0.000244
200019_s_at	15152.7	P	0.000244
200020_at	2254.5	P	0.000244
200021_at	40333.6	P	0.000732
200022_at	19511.7	P	0.000244
200023_s_at	6586.6	P	0.000244
200024_at	13726.7	P	0.000732
200025_s_at	17076	P	0.000244
200026_at	24604.8	P	0.000732
200027_at	2604.5	P	0.000244
200028_s_at	3128.7	P	0.000244
200029_at	18067.5	P	0.000244
200030_s_at	7932.5	P	0.000244
200031_s_at	36080.9	P	0.000244
200032_s_at	29466.3	P	0.000244
200033_at	11000.8	P	0.000244
200034_s_at	16985.5	P	0.000244
200035_at	1867.5	P	0.000732
200036_s_at	11676.2	P	0.000244
200037_s_at	3847.2	P	0.000244
200038_s_at	20416.4	P	0.000244
200039_s_at	2291.3	P	0.000244
200040_at	4926.5	P	0.000244
200041_s_at	5904.6	P	0.000244
200042_at	1347.3	P	0.000732
200043_at	5148.4	P	0.000732
200044_at	4168.9	P	0.000244
200045_at	1876.5	P	0.000732
200046_at	1880.7	P	0.000244
200047_s_at	2473	P	0.000244
200048_s_at	3315.5	P	0.000244
200049_at	886.4	P	0.000244
200050_at	1905.5	P	0.000244
