^SAMPLE = GSM705939
!Sample_title = SJETV122
!Sample_geo_accession = GSM705939
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705939/suppl/GSM705939.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	708.8	P	0.003067
1053_at	386.2	P	0.001354
117_at	156.8	A	0.267463
121_at	1250	P	0.00418
1255_g_at	63.2	A	0.438361
1294_at	1721.4	P	0.000266
1316_at	186.8	P	0.024711
1320_at	20	A	0.824011
1405_i_at	261.7	P	0.007827
1431_at	133.6	P	0.035163
1438_at	86.8	A	0.810313
1487_at	443.3	P	0.048995
1494_f_at	298.9	P	0.021866
1598_g_at	901.4	A	0.081337
160020_at	608	P	0.031336
1729_at	344.2	P	0.004863
1773_at	27.2	A	0.749276
177_at	112.1	A	0.175989
179_at	1074.3	A	0.098054
1861_at	250.2	M	0.05447
200000_s_at	2891.7	P	0.000732
200001_at	2834.9	P	0.000732
200002_at	11619.9	P	0.000244
200003_s_at	26400.5	P	0.000244
200004_at	9235.1	P	0.000244
200005_at	5372.8	P	0.000244
200006_at	6857	P	0.000244
200007_at	7182.7	P	0.000244
200008_s_at	2824.8	P	0.000244
200009_at	8548	P	0.000244
200010_at	19957.7	P	0.000244
200011_s_at	1891.9	P	0.000732
200012_x_at	16316.3	P	0.000244
200013_at	17616.9	P	0.000244
200014_s_at	3760	P	0.000244
200015_s_at	3877.2	P	0.000732
200016_x_at	26940.8	P	0.000244
200017_at	15101.5	P	0.000244
200018_at	24179.7	P	0.000244
200019_s_at	22576.3	P	0.000244
200020_at	2524.2	P	0.000244
200021_at	28398.7	P	0.001953
200022_at	15090.2	P	0.000244
200023_s_at	11102.7	P	0.000244
200024_at	11605.3	P	0.000244
200025_s_at	25080.6	P	0.000244
200026_at	29528.8	P	0.000732
200027_at	2781	P	0.000244
200028_s_at	2287.9	P	0.000732
200029_at	23261.9	P	0.000244
200030_s_at	7221.5	P	0.000244
200031_s_at	36323.7	P	0.000244
200032_s_at	36187.6	P	0.000244
200033_at	13208.8	P	0.000244
200034_s_at	17883.2	P	0.000244
200035_at	2281.1	P	0.001221
200036_s_at	14470.9	P	0.000244
200037_s_at	5308.4	P	0.000244
200038_s_at	25129.2	P	0.000244
200039_s_at	2347.6	P	0.000244
200040_at	3607.4	P	0.000244
200041_s_at	9232	P	0.000244
200042_at	1109.5	P	0.000732
200043_at	7831.7	P	0.001221
200044_at	4459.5	P	0.000244
200045_at	1636.5	P	0.000732
200046_at	1932.1	P	0.000244
200047_s_at	2647	P	0.000244
200048_s_at	4498.8	P	0.000244
200049_at	667.5	P	0.000244
200050_at	2081.7	P	0.000244
200051_at	581.9	P	0.000244
