^SAMPLE = GSM705940
!Sample_title = SJETV123
!Sample_geo_accession = GSM705940
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705940/suppl/GSM705940.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	889.1	P	0.003585
1053_at	376.4	P	0.003585
117_at	127.9	A	0.11716
121_at	1166.4	P	0.013092
1255_g_at	61.3	A	0.418069
1294_at	1823.7	P	0.000219
1316_at	135.7	P	0.004863
1320_at	8.2	A	0.94553
1405_i_at	219.6	P	0.004591
1431_at	88.9	A	0.11716
1438_at	27.2	A	0.781017
1487_at	540.2	A	0.098054
1494_f_at	372.7	M	0.05447
1598_g_at	706.2	A	0.098054
160020_at	528.8	P	0.02786
1729_at	297.6	P	0.001354
1773_at	180.1	A	0.218983
177_at	88.5	A	0.250724
179_at	656	P	0.035163
1861_at	192.3	A	0.11716
200000_s_at	2754.7	P	0.000244
200001_at	3819.5	P	0.000732
200002_at	12636.5	P	0.000244
200003_s_at	18946.9	P	0.000244
200004_at	8887	P	0.000244
200005_at	5377.2	P	0.000244
200006_at	5990.6	P	0.000244
200007_at	7449.9	P	0.000244
200008_s_at	5053.6	P	0.000244
200009_at	7178.3	P	0.000244
200010_at	19186.3	P	0.000244
200011_s_at	1563.1	P	0.000732
200012_x_at	13349.3	P	0.000244
200013_at	15163.8	P	0.000244
200014_s_at	2813.6	P	0.000244
200015_s_at	2517.7	P	0.000732
200016_x_at	22445.2	P	0.000244
200017_at	18005.8	P	0.000732
200018_at	21774.4	P	0.000244
200019_s_at	18259.8	P	0.000244
200020_at	1720.5	P	0.000244
200021_at	20423.5	P	0.001953
200022_at	13617.8	P	0.000244
200023_s_at	9607.3	P	0.000244
200024_at	11729.5	P	0.000732
200025_s_at	21576.8	P	0.000244
200026_at	26206.7	P	0.000732
200027_at	2604.2	P	0.000244
200028_s_at	1870.9	P	0.000244
200029_at	19207.4	P	0.000244
200030_s_at	8330.8	P	0.000244
200031_s_at	30542.5	P	0.000244
200032_s_at	30420.6	P	0.000244
200033_at	12180	P	0.000244
200034_s_at	17429.8	P	0.000244
200035_at	1332.5	P	0.001953
200036_s_at	11743.7	P	0.000244
200037_s_at	3960.6	P	0.000244
200038_s_at	22222.1	P	0.000244
200039_s_at	1975.6	P	0.000244
200040_at	4728	P	0.000244
200041_s_at	9123.7	P	0.000244
200042_at	1063.7	P	0.001953
200043_at	7928.2	P	0.001221
200044_at	3129.4	P	0.000244
200045_at	1564.3	P	0.000244
200046_at	2418	P	0.000244
200047_s_at	3356.5	P	0.000244
200048_s_at	3962.1	P	0.000244
200049_at	814.1	P	0.000244
200050_at	2535.2	P	0.000244
200051_at	524	P	0.000244
200052_s_at	3713.3	P	0.000244
200053_at	1541.4	P	0.000244
200054_at	259.8	P	0.008057
200055_at	2760.1	P	0.000244
200056_s_at	525.9	P	0.000244
200057_s_at	9181.2	P	0.000244
200058_s_at	3923.6	P	0.000244
200059_s_at	13061.8	P	0.000244
200060_s_at	2965.8	P	0.000732
200061_s_at	25512.3	P	0.000244
200062_s_at	30667.7	P	0.000244
200063_s_at	12393.1	P	0.000244
200064_at	7477.6	P	0.000732
200065_s_at	6200.5	P	0.000244
200066_at	1621.8	P	0.000732
200067_x_at	2398.1	P	0.000244
200068_s_at	5282.4	P	0.000244
200069_at	867.9	P	0.000244
200070_at	614.7	P	0.00415
200071_at	959.3	P	0.00293
200072_s_at	5107.1	P	0.000244
200073_s_at	3691.1	P	0.000244
200074_s_at	8694.2	P	0.000244
200075_s_at	1677.7	P	0.000244
200076_s_at	1034.8	P	0.001953
200077_s_at	12967.8	P	0.000244
200078_s_at	2070.2	P	0.001953
200079_s_at	3411.2	P	0.000732
200080_s_at	16795.6	P	0.000244
200081_s_at	18501.5	P	0.000244
200082_s_at	19207.9	P	0.000732
200083_at	2561	P	0.000732
200084_at	3462.3	P	0.000244
200085_s_at	2404.1	P	0.000244
200086_s_at	2815.5	P	0.000244
200087_s_at	3557.7	P	0.000244
200088_x_at	12745.3	P	0.000244
200089_s_at	12423.1	P	0.000244
200090_at	3316.5	P	0.000244
200091_s_at	8018.5	P	0.000244
200092_s_at	13305.1	P	0.000244
200093_s_at	2405.1	P	0.000244
200094_s_at	5474.6	P	0.000244
200095_x_at	30712.8	P	0.000244
200096_s_at	2247.5	P	0.000244
200097_s_at	5099.5	P	0.000244
200098_s_at	2544.5	P	0.001221
200099_s_at	28403.4	P	0.000244
200593_s_at	3114.2	P	0.000244
200594_x_at	5539.9	P	0.000244
200595_s_at	2038.2	P	0.000244
200596_s_at	409.4	P	0.01416
200597_at	748.8	P	0.001221
200598_s_at	1374.4	P	0.000244
200599_s_at	4452.6	P	0.000244
200600_at	6583.2	P	0.000244
200601_at	1397.1	P	0.00293
200602_at	912.2	P	0.000244
200603_at	3089.2	P	0.000244
200604_s_at	1686.9	P	0.000244
200605_s_at	3222.6	P	0.000244
200606_at	102.2	P	0.01416
200607_s_at	1134.4	P	0.001221
200608_s_at	1980.3	P	0.000244
200609_s_at	1783.9	P	0.000244
200610_s_at	8840.4	P	0.000732
200611_s_at	2630.8	P	0.001953
200612_s_at	206.7	A	0.219482
200613_at	1896.3	P	0.001221
200614_at	5102	P	0.000244
200615_s_at	481.2	A	0.067627
200616_s_at	23.2	A	0.753906
200617_at	1199.1	P	0.008057
200618_at	2488	P	0.000244
200619_at	1458	P	0.010742
200620_at	2605.9	P	0.000244
200621_at	471.1	P	0.010742
200622_x_at	954	P	0.018555
200623_s_at	2800.3	P	0.000244
200624_s_at	5360.5	P	0.000244
200625_s_at	3866	P	0.000244
200626_s_at	4277.2	P	0.000244
200627_at	7207.4	P	0.000244
200628_s_at	121.3	A	0.601074
200629_at	446.1	P	0.018555
200630_x_at	3429.4	P	0.000244
200631_s_at	4919.6	P	0.000244
200632_s_at	457.4	P	0.000732
200633_at	21828.2	P	0.000244
200634_at	6416	P	0.000244
200635_s_at	113.6	A	0.080566
200636_s_at	203.8	A	0.246094
200637_s_at	81.3	A	0.398926
200638_s_at	6873.1	P	0.000244
200639_s_at	5881.5	P	0.000244
200640_at	9309.5	P	0.000244
200641_s_at	5088.3	P	0.000244
200642_at	6023.2	P	0.000244
200643_at	469.1	A	0.219482
200644_at	5787.5	P	0.000244
200645_at	6962	P	0.000244
200646_s_at	325.9	P	0.023926
200647_x_at	2968.4	P	0.00293
200648_s_at	317.5	P	0.037598
200649_at	847.2	P	0.000732
200650_s_at	5819.3	P	0.000244
200651_at	20429.7	P	0.000244
200652_at	2566	P	0.000732
200653_s_at	2655.9	P	0.000244
200654_at	4030.4	P	0.018555
200655_s_at	5316.8	P	0.000244
200656_s_at	1146.7	P	0.000732
200657_at	6724.6	P	0.000244
200658_s_at	1530.4	P	0.000244
200659_s_at	775.4	P	0.000244
200660_at	320.3	A	0.246094
200661_at	476.2	M	0.056152
200662_s_at	2678.1	P	0.000244
200663_at	2651.1	P	0.001221
200664_s_at	764.4	P	0.010742
200665_s_at	141.5	A	0.19458
200666_s_at	1676	P	0.000244
200667_at	2038.7	P	0.000244
200668_s_at	5064.7	P	0.000244
200669_s_at	3308.5	P	0.000244
200670_at	3464.6	P	0.000244
200671_s_at	1436.9	P	0.000732
200672_x_at	2871.7	P	0.000244
200673_at	4876.7	P	0.000244
200674_s_at	25375.8	P	0.000244
200675_at	4589.6	P	0.000244
200676_s_at	441.7	P	0.000244
200677_at	1409.8	P	0.000244
200678_x_at	1269.5	P	0.005859
200679_x_at	5723.1	P	0.000244
200680_x_at	15486.2	P	0.000244
200681_at	1442.7	P	0.000732
200682_s_at	2322.4	P	0.000244
200683_s_at	1611.3	P	0.000732
200684_s_at	977	P	0.000244
200685_at	538.1	P	0.000732
200686_s_at	4803.8	P	0.000244
200687_s_at	991.7	P	0.001221
200688_at	289.6	P	0.018555
200689_x_at	18328.5	P	0.000244
200690_at	375.1	A	0.19458
200691_s_at	1705.1	P	0.000244
200692_s_at	1124.8	P	0.000244
200693_at	9116.2	P	0.000244
200694_s_at	1466.7	P	0.000244
200695_at	1384.5	P	0.01416
200696_s_at	3041.9	P	0.000244
200697_at	1216.7	P	0.008057
200698_at	874.1	P	0.000244
200699_at	706.5	P	0.00415
200700_s_at	1653.6	P	0.000244
200701_at	1623.9	P	0.000244
200702_s_at	167.2	A	0.129639
200703_at	5955	P	0.000244
200704_at	506.4	P	0.000244
200705_s_at	9576.2	P	0.000244
200706_s_at	891.5	P	0.018555
200707_at	793.1	P	0.008057
200708_at	862.1	P	0.001953
200709_at	5855.5	P	0.000244
200710_at	1925	P	0.00415
200711_s_at	1647.3	P	0.000244
200712_s_at	1355.1	P	0.000732
200713_s_at	3816.3	P	0.000244
200714_x_at	3206.3	P	0.000244
200715_x_at	7045.5	P	0.000244
200716_x_at	33072.8	P	0.000244
200717_x_at	31204.8	P	0.000244
200718_s_at	7451.6	P	0.000244
200719_at	679.3	P	0.001221
200720_s_at	636	P	0.008057
200721_s_at	789.3	P	0.010742
200722_s_at	2918.1	P	0.000244
200723_s_at	5427.6	P	0.000244
200724_at	193.3	A	0.27417
200725_x_at	32888.8	P	0.000244
200726_at	2491.1	P	0.000244
200727_s_at	1158.5	P	0.01416
200728_at	5430.3	P	0.000244
200729_s_at	4323.3	P	0.000244
200730_s_at	625.1	P	0.000244
200731_s_at	520.8	P	0.000732
200732_s_at	835.6	P	0.001221
200733_s_at	479.2	P	0.037598
200734_s_at	997	P	0.005859
200735_x_at	20269	P	0.000244
200736_s_at	5793.9	P	0.000244
200737_at	1713.3	P	0.000732
200738_s_at	5497.5	P	0.000244
200739_s_at	1001.3	P	0.001221
200740_s_at	3023.1	P	0.000244
200741_s_at	37394.9	P	0.000244
200742_s_at	2579.7	P	0.000244
200743_s_at	2493.5	P	0.000244
200744_s_at	1732.4	P	0.000244
200745_s_at	3411.4	P	0.000244
200746_s_at	5769.3	P	0.001221
200747_s_at	1884.9	P	0.000244
200748_s_at	5412.4	P	0.000244
200749_at	607.7	P	0.000732
200750_s_at	4209	P	0.000244
200751_s_at	2968.1	P	0.000244
200752_s_at	563.7	P	0.000732
200753_x_at	1787.1	P	0.000732
200754_x_at	5246.4	P	0.000244
200755_s_at	436.5	P	0.008057
200756_x_at	431.9	A	0.111572
200757_s_at	951.9	P	0.00293
200758_s_at	765.8	P	0.005859
200759_x_at	1258.3	P	0.000244
200760_s_at	1622.1	P	0.000244
200761_s_at	2241.7	P	0.000732
200762_at	5394.6	P	0.000244
200763_s_at	19335.5	P	0.000244
200764_s_at	1177	P	0.000244
200765_x_at	1291	P	0.000244
200766_at	88.2	A	0.246094
200767_s_at	334.2	P	0.010742
200768_s_at	2732	P	0.000244
200769_s_at	1044.3	P	0.023926
200770_s_at	383	P	0.000244
200771_at	658.6	P	0.005859
200772_x_at	14803.2	P	0.000244
200773_x_at	15471.7	P	0.000244
200774_at	2268	P	0.000244
200775_s_at	7039.6	P	0.000244
200776_s_at	2105.2	P	0.001953
200777_s_at	2077.1	P	0.000244
200778_s_at	2813.9	P	0.000244
200779_at	3625.3	P	0.000732
200780_x_at	19453.2	P	0.000244
200781_s_at	25677	P	0.000244
200782_at	798.5	P	0.000732
200783_s_at	2152	P	0.000244
200784_s_at	34.2	A	0.919434
200785_s_at	147.2	A	0.19458
200786_at	2407	P	0.000732
200787_s_at	456.6	P	0.00415
200788_s_at	523.5	P	0.005859
200789_at	1201.8	P	0.01416
200790_at	2050.4	P	0.000732
200791_s_at	1985.8	P	0.000732
200792_at	6543.5	P	0.000732
200793_s_at	828.1	P	0.023926
200794_x_at	7194.1	P	0.000244
200795_at	114.4	A	0.111572
200796_s_at	90.3	A	0.246094
200797_s_at	1930.2	P	0.000244
200798_x_at	837.6	P	0.000244
200799_at	1909.6	P	0.000244
200800_s_at	591.6	P	0.000244
200801_x_at	34307.4	P	0.000244
200802_at	1833.4	P	0.000732
200803_s_at	3122.3	P	0.000244
200804_at	4038.4	P	0.000244
200805_at	578.2	P	0.01416
200806_s_at	2409.2	P	0.000244
200807_s_at	4677.3	P	0.000244
200808_s_at	675.7	P	0.000244
200809_x_at	12228.8	P	0.000244
200810_s_at	1852.7	P	0.000244
200811_at	2499.6	P	0.010742
200812_at	1660	P	0.000244
200813_s_at	1525.1	P	0.00293
200814_at	5021.4	P	0.000244
200815_s_at	571	P	0.000732
200816_s_at	2030.8	P	0.000732
200817_x_at	34967.9	P	0.000244
200818_at	5126.1	P	0.000244
200819_s_at	22608.6	P	0.000244
200820_at	1267.8	P	0.001953
200821_at	823.7	P	0.005859
200822_x_at	5028.1	P	0.000244
200823_x_at	11719.1	P	0.000244
200824_at	1825.2	P	0.000244
200825_s_at	1109.3	P	0.001953
200826_at	5257.5	P	0.000244
200827_at	68.1	A	0.398926
200828_s_at	4405	P	0.000732
200829_x_at	2402.3	P	0.000244
200830_at	1500.6	P	0.000244
200831_s_at	76.6	A	0.633789
200832_s_at	10.5	A	0.828613
200833_s_at	7231.8	P	0.000244
200834_s_at	16390.7	P	0.000244
200835_s_at	16.6	A	0.994141
200836_s_at	334.9	A	0.19458
200837_at	2171	P	0.000244
200838_at	597.6	P	0.046143
200839_s_at	710.4	P	0.000244
200840_at	4187.9	P	0.000244
200841_s_at	254.8	A	0.095215
200842_s_at	659.1	P	0.010742
200843_s_at	1111.7	P	0.001953
200844_s_at	1511.7	P	0.000244
200845_s_at	1276.8	P	0.000244
200846_s_at	1496.3	P	0.000244
200847_s_at	2470.3	P	0.000244
200848_at	859.3	P	0.00293
200849_s_at	969.8	P	0.000732
200850_s_at	2325.7	P	0.000244
200851_s_at	2993.4	P	0.00293
200852_x_at	1011.7	P	0.010742
200853_at	2781.6	P	0.000732
200854_at	1278.2	P	0.000244
200855_at	433.1	P	0.023926
200856_x_at	419.8	P	0.001221
200857_s_at	1051.5	P	0.001221
200858_s_at	17281	P	0.000244
200859_x_at	509	P	0.008057
200860_s_at	2675.3	P	0.000244
200861_at	1266.3	P	0.00415
200862_at	171.1	A	0.080566
200863_s_at	2812.6	P	0.000244
200864_s_at	703.3	P	0.000732
200865_at	11.3	A	0.665527
200866_s_at	1876.4	P	0.001953
200867_at	922.4	P	0.000732
200868_s_at	873.5	P	0.005859
200869_at	23433.4	P	0.000244
200870_at	1871	P	0.000244
200871_s_at	2193.6	P	0.000244
200872_at	652	P	0.037598
200873_s_at	6121.9	P	0.000244
200874_s_at	406.9	P	0.000244
200875_s_at	1643.7	P	0.000244
200876_s_at	2784.5	P	0.000244
200877_at	5651.1	P	0.000244
200878_at	303.3	P	0.01416
200879_s_at	120.5	A	0.303711
200880_at	3776.4	P	0.000732
200881_s_at	5337.3	P	0.000244
200882_s_at	2157.4	P	0.000244
200883_at	2167.3	P	0.000244
200884_at	237.5	A	0.303711
200885_at	649.6	P	0.010742
200886_s_at	2591.8	P	0.000244
200887_s_at	1688.3	P	0.000244
200888_s_at	22314	P	0.000244
200889_s_at	871.2	P	0.000244
200890_s_at	775.4	P	0.000732
200891_s_at	2044.8	P	0.000244
200892_s_at	2804.9	P	0.000244
200893_at	5218.1	P	0.000244
200894_s_at	265.9	P	0.030273
200895_s_at	769.1	P	0.030273
200896_x_at	2446.2	P	0.000732
200897_s_at	64.4	A	0.246094
200898_s_at	1902.3	P	0.00293
200899_s_at	2268.9	P	0.000244
200900_s_at	955.9	P	0.000244
200901_s_at	1769.3	P	0.001221
200902_at	2578.6	P	0.000244
200903_s_at	657.3	P	0.000732
200904_at	3820.4	P	0.000244
200905_x_at	8205.6	P	0.000244
200906_s_at	96.4	A	0.366211
200907_s_at	88.5	A	0.696289
200908_s_at	28.9	A	0.398926
200909_s_at	20653.6	P	0.000244
200910_at	2885.3	P	0.000244
200911_s_at	2864.8	P	0.00415
200912_s_at	13057.2	P	0.000244
200913_at	789.3	P	0.008057
200914_x_at	594	P	0.001953
200915_x_at	1984.4	P	0.000244
200916_at	224.7	A	0.246094
200917_s_at	88.4	A	0.601074
200918_s_at	1028.6	P	0.001953
200919_at	1446.9	P	0.01416
200920_s_at	4260.6	P	0.000244
200921_s_at	4187.6	P	0.000244
200922_at	422	P	0.001953
200923_at	468.8	A	0.080566
200924_s_at	385.3	P	0.037598
200925_at	4900.9	P	0.000244
200926_at	35593.9	P	0.000244
200927_s_at	1259.2	P	0.000244
200928_s_at	132.8	P	0.005859
200929_at	830.6	P	0.000732
200930_s_at	183.4	A	0.432373
200931_s_at	2744.5	P	0.000244
200932_s_at	618.7	P	0.000244
200933_x_at	26709.1	P	0.000244
200934_at	3217.6	P	0.000244
200935_at	354.1	P	0.000732
200936_at	16184	P	0.000244
200937_s_at	12595.2	P	0.000244
200938_s_at	6.3	A	0.904785
200939_s_at	88.7	A	0.665527
200940_s_at	979.8	P	0.005859
200941_at	1026.3	P	0.000732
200942_s_at	1910.5	P	0.000732
200943_at	9590.4	P	0.000244
200944_s_at	7457.2	P	0.000244
200945_s_at	2118.8	P	0.000244
200946_x_at	969	P	0.00415
200947_s_at	781.3	P	0.037598
200948_at	1396.3	P	0.000244
200949_x_at	18796.9	P	0.000244
200950_at	860.2	P	0.01416
200951_s_at	143.7	A	0.334473
200952_s_at	299.8	M	0.056152
200953_s_at	3458	P	0.001221
200954_at	920.5	A	0.111572
200955_at	1023.4	P	0.000244
