^SAMPLE = GSM705961
!Sample_title = SJETV101
!Sample_geo_accession = GSM705961
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705961/suppl/GSM705961.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	931.3	P	0.014937
1053_at	281.1	P	0.008689
117_at	36.7	A	0.541184
121_at	1548.9	P	0.024711
1255_g_at	156.6	M	0.05447
1294_at	1897.6	P	0.000468
1316_at	207.1	A	0.066865
1320_at	148.6	A	0.621816
1405_i_at	24.1	A	0.921094
1431_at	122.5	A	0.204022
1438_at	65.7	A	0.765443
1487_at	491.5	A	0.138765
1494_f_at	629.6	P	0.013092
1598_g_at	812.3	P	0.048995
160020_at	519.6	P	0.035163
1729_at	637.8	P	0.011447
1773_at	142	A	0.250688
177_at	74.9	A	0.339558
179_at	1145.3	A	0.098054
1861_at	231.8	A	0.234557
200000_s_at	4918.4	P	0.000244
200001_at	5183.8	P	0.000732
200002_at	12029.6	P	0.000244
200003_s_at	23171.4	P	0.000244
200004_at	8330.1	P	0.000244
200005_at	3435.4	P	0.000732
200006_at	2775.3	P	0.000244
200007_at	6820.6	P	0.000244
200008_s_at	6200.7	P	0.000244
200009_at	9642.2	P	0.000244
200010_at	16452.9	P	0.000244
200011_s_at	2118.4	P	0.000732
200012_x_at	26018.2	P	0.000244
200013_at	16183.2	P	0.000244
200014_s_at	2045.7	P	0.000244
200015_s_at	2592.7	P	0.000244
200016_x_at	20011.6	P	0.000244
200017_at	13415.8	P	0.000244
200018_at	31068.4	P	0.000244
200019_s_at	21128.8	P	0.000244
200020_at	1634.7	P	0.000244
200021_at	45862.3	P	0.00293
200022_at	18685	P	0.000244
200023_s_at	10877.9	P	0.000244
200024_at	13148.2	P	0.000732
200025_s_at	21109.9	P	0.000244
200026_at	31740.8	P	0.000732
200027_at	2113.7	P	0.000244
200028_s_at	2441	P	0.000244
200029_at	24476.7	P	0.000244
200030_s_at	10055.7	P	0.000244
200031_s_at	43433.5	P	0.000244
200032_s_at	35600.2	P	0.000244
200033_at	11765.5	P	0.000244
200034_s_at	19029.2	P	0.000244
200035_at	1956.1	P	0.001221
200036_s_at	13307.4	P	0.000244
200037_s_at	2356.9	P	0.000244
200038_s_at	24141.4	P	0.000244
200039_s_at	1876.5	P	0.000244
200040_at	3361.7	P	0.000244
200041_s_at	7817.4	P	0.000244
200042_at	1298.2	P	0.010742
200043_at	5395.7	P	0.000732
200044_at	3248.3	P	0.000244
200045_at	1422.1	P	0.000244
200046_at	2442	P	0.000244
200047_s_at	2487.6	P	0.000244
200048_s_at	3438.6	P	0.000244
200049_at	1141.8	P	0.000244
200050_at	993.7	P	0.001953
200051_at	604.1	P	0.001221
