^SAMPLE = GSM705973
!Sample_title = SJETV012
!Sample_geo_accession = GSM705973
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705973/suppl/GSM705973.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2325.9	P	0.003067
1053_at	324.3	P	0.024711
117_at	153.6	A	0.378184
121_at	1941.7	P	0.013092
1255_g_at	74.6	A	0.218983
1294_at	2754.1	P	0.000266
1316_at	269.1	P	0.035163
1320_at	180.8	A	0.397994
1405_i_at	39	A	0.834732
1431_at	160.4	P	0.02786
1438_at	217.6	A	0.32083
1487_at	535.1	A	0.175989
1494_f_at	511.6	P	0.031336
1598_g_at	853.4	A	0.07383
160020_at	800.5	P	0.013092
1729_at	586.9	P	0.024711
1773_at	222.4	A	0.218983
177_at	188.5	A	0.150527
179_at	1211.4	A	0.107301
1861_at	273	A	0.11716
200000_s_at	4160	P	0.000732
200001_at	2827	P	0.001221
200002_at	14293.2	P	0.000244
200003_s_at	24505.3	P	0.000244
200004_at	8376.9	P	0.000244
200005_at	4654.1	P	0.000244
200006_at	4371.7	P	0.000244
200007_at	7104.3	P	0.000244
200008_s_at	3220.6	P	0.000244
200009_at	7372.2	P	0.000244
200010_at	19853.2	P	0.000244
200011_s_at	1090.5	P	0.00293
200012_x_at	24779.7	P	0.000244
200013_at	19588.2	P	0.000244
200014_s_at	2538.2	P	0.000244
200015_s_at	1787.4	P	0.000732
200016_x_at	25710.1	P	0.000244
200017_at	16440.3	P	0.000244
200018_at	25675.7	P	0.000244
200019_s_at	19446.2	P	0.000244
200020_at	2082.4	P	0.000244
200021_at	29979.6	P	0.001221
200022_at	26717.5	P	0.000732
200023_s_at	12432.3	P	0.000244
200024_at	15125.5	P	0.000732
200025_s_at	27504.2	P	0.000244
200026_at	33152.3	P	0.000732
200027_at	2051	P	0.000244
200028_s_at	1809.1	P	0.001221
200029_at	20235.1	P	0.000244
200030_s_at	8342.1	P	0.000244
200031_s_at	51718.3	P	0.000244
200032_s_at	38630.4	P	0.000244
200033_at	9681.9	P	0.000244
200034_s_at	20463.3	P	0.000244
200035_at	1355.9	P	0.001221
200036_s_at	15011.1	P	0.000244
200037_s_at	2982.9	P	0.000244
200038_s_at	30511	P	0.000244
200039_s_at	2178.5	P	0.000244
200040_at	3285.2	P	0.000244
200041_s_at	9191.7	P	0.000244
200042_at	1293.9	P	0.010742
200043_at	5159.4	P	0.000244
200044_at	3164.3	P	0.000244
200045_at	1626.2	P	0.000732
200046_at	1491.4	P	0.000244
200047_s_at	2564	P	0.000244
200048_s_at	3393.3	P	0.000244
200049_at	714.5	P	0.001953
200050_at	1554.6	P	0.000244
200051_at	631.5	P	0.001221
