^SAMPLE = GSM706005
!Sample_title = SJETV064
!Sample_geo_accession = GSM706005
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM706nnn/GSM706005/suppl/GSM706005.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	866.9	P	0.011447
1053_at	196.1	P	0.00418
117_at	92.1	A	0.162895
121_at	1341	P	0.006532
1255_g_at	48.7	A	0.066865
1294_at	1307.2	P	0.000266
1316_at	73.1	A	0.11716
1320_at	83.1	A	0.64131
1405_i_at	915.7	P	0.001755
1431_at	96.1	P	0.039365
1438_at	248.1	A	0.11716
1487_at	484.5	A	0.089405
1494_f_at	338.7	M	0.060419
1598_g_at	704.9	M	0.05447
160020_at	634.6	P	0.035163
1729_at	475.3	P	0.000219
1773_at	174.4	A	0.234557
177_at	65.3	A	0.378184
179_at	994.2	M	0.060419
1861_at	189.1	A	0.162935
200000_s_at	2586.1	P	0.000244
200001_at	6047.7	P	0.000244
200002_at	13742	P	0.000244
200003_s_at	30861.8	P	0.000244
200004_at	6856.3	P	0.000244
200005_at	5238.1	P	0.000244
200006_at	4210.4	P	0.000244
200007_at	4629	P	0.000244
200008_s_at	4223.1	P	0.000244
200009_at	8350.7	P	0.000244
200010_at	22087.5	P	0.000244
200011_s_at	1650.1	P	0.000732
200012_x_at	28819.3	P	0.000244
200013_at	20459.3	P	0.000244
200014_s_at	2353.4	P	0.000244
200015_s_at	2415.5	P	0.000732
200016_x_at	22432.1	P	0.000244
200017_at	18214.6	P	0.000244
200018_at	28185.7	P	0.000244
200019_s_at	22607.2	P	0.000244
200020_at	1863.8	P	0.000244
200021_at	28323.7	P	0.001221
200022_at	22478.7	P	0.000244
200023_s_at	9405.3	P	0.000244
200024_at	18587.3	P	0.000244
200025_s_at	24119.2	P	0.000244
200026_at	37267.7	P	0.000732
200027_at	2182.9	P	0.000244
200028_s_at	2120	P	0.000244
200029_at	23120.2	P	0.000244
200030_s_at	8457.7	P	0.000244
200031_s_at	40534.9	P	0.000244
200032_s_at	32340.9	P	0.000244
200033_at	11750.7	P	0.000244
200034_s_at	17035.4	P	0.000244
200035_at	2176.6	P	0.001221
200036_s_at	11399.7	P	0.000244
200037_s_at	2833.3	P	0.000244
200038_s_at	23435.3	P	0.000244
200039_s_at	1712.2	P	0.000244
200040_at	3342.3	P	0.000244
200041_s_at	8534.8	P	0.000244
200042_at	1742.1	P	0.00293
200043_at	4140.4	P	0.001221
200044_at	2380.9	P	0.000244
200045_at	1723.8	P	0.000732
200046_at	2293	P	0.000244
200047_s_at	2223.2	P	0.000244
200048_s_at	4403.6	P	0.000244
200049_at	646.9	P	0.000732
200050_at	1460.4	P	0.001221
200051_at	444.3	P	0.000244
200052_s_at	1898.2	P	0.000244
200053_at	1510.4	P	0.000244
200054_at	364.6	P	0.01416
200055_at	3584	P	0.000244
200056_s_at	281.6	P	0.00293
200057_s_at	7659.7	P	0.000244
200058_s_at	2702.1	P	0.000244
200059_s_at	12004.8	P	0.000244
200060_s_at	2595.1	P	0.001221
200061_s_at	32598.6	P	0.000244
200062_s_at	31568.6	P	0.000244
200063_s_at	8825.5	P	0.000244
200064_at	10778.3	P	0.000732
200065_s_at	4975.3	P	0.000244
200066_at	1276.5	P	0.000732
200067_x_at	2098.3	P	0.000732
200068_s_at	4722.1	P	0.000244
200069_at	832.7	P	0.00415
200070_at	1250.5	P	0.000244
200071_at	694.2	P	0.001221
200072_s_at	4541.4	P	0.000244
200073_s_at	2717.3	P	0.000244
200074_s_at	9280.5	P	0.000244
200075_s_at	2015	P	0.000244
200076_s_at	760.1	P	0.001953
200077_s_at	13806	P	0.000244
200078_s_at	2103.9	P	0.00293
200079_s_at	3305.8	P	0.000244
200080_s_at	12716.8	P	0.000244
200081_s_at	30693	P	0.000244
200082_s_at	19998.5	P	0.000244
200083_at	2425.8	P	0.000732
200084_at	3209.6	P	0.000244
200085_s_at	2621.9	P	0.000244
200086_s_at	2962.2	P	0.000244
200087_s_at	2336.4	P	0.000244
200088_x_at	29311.4	P	0.000244
200089_s_at	10181.5	P	0.000244
200090_at	3921.1	P	0.000244
200091_s_at	10321.8	P	0.000244
200092_s_at	20247.9	P	0.000244
200093_s_at	2675.1	P	0.000244
200094_s_at	7689.4	P	0.000244
200095_x_at	35837.5	P	0.000244
200096_s_at	2062.1	P	0.000244
200097_s_at	3622.2	P	0.000244
200098_s_at	2517.8	P	0.001221
200099_s_at	32521.7	P	0.000244
200593_s_at	2878.1	P	0.000244
200594_x_at	6155.8	P	0.000244
