ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1643.1,P,0.00418
1053_at,255.9,P,0.013092
117_at,330.5,P,0.02786
121_at,1714.8,P,0.014937
1255_g_at,95.5,A,0.284747
1294_at,2564.1,P,0.000322
1316_at,231.1,P,0.031336
1320_at,31.9,A,0.697453
1405_i_at,120.4,A,0.135974
1431_at,126.1,A,0.218983
1438_at,180.3,A,0.32083
1487_at,494.6,A,0.162935
1494_f_at,490,P,0.02786
1598_g_at,1445.4,P,0.043968
160020_at,849.3,P,0.031336
1729_at,481.6,P,0.019304
1773_at,65.5,A,0.581931
177_at,92.4,A,0.250724
179_at,883.1,A,0.339558
1861_at,156.5,A,0.418069
200000_s_at,2550,P,0.000244
200001_at,2176.5,P,0.001953
200002_at,14312.7,P,0.000244
200003_s_at,22628.7,P,0.000244
200004_at,9015.6,P,0.000244
200005_at,5091.2,P,0.000244
200006_at,5309.9,P,0.000732
200007_at,6605.8,P,0.000244
200008_s_at,6788.2,P,0.000244
200009_at,13461.8,P,0.000244
200010_at,20230.1,P,0.000244
200011_s_at,1323.8,P,0.001221
200012_x_at,22409.8,P,0.000244
200013_at,16840.1,P,0.000244
200014_s_at,2710.2,P,0.000244
200015_s_at,4063.4,P,0.000244
200016_x_at,18349,P,0.000244
200017_at,16465.7,P,0.000244
200018_at,28183.7,P,0.000244
200019_s_at,18345,P,0.000244
200020_at,1901.7,P,0.000244
200021_at,24993.2,P,0.005859
200022_at,19540.7,P,0.000244
200023_s_at,7500.3,P,0.000244
200024_at,14590.1,P,0.001221
200025_s_at,22034.8,P,0.000244
200026_at,39042.6,P,0.000732
200027_at,3067.3,P,0.000244
200028_s_at,2424.9,P,0.000244
200029_at,21987.6,P,0.000244
200030_s_at,6946.1,P,0.000244
200031_s_at,45341.1,P,0.000244
200032_s_at,36565.6,P,0.000244
200033_at,13317.7,P,0.000244
200034_s_at,19853.2,P,0.000244
200035_at,1216.2,P,0.005859
200036_s_at,12280.1,P,0.000244
200037_s_at,3180.1,P,0.000244
200038_s_at,25098.6,P,0.000244
200039_s_at,1588.6,P,0.000244
200040_at,3695.3,P,0.000244
200041_s_at,9911.7,P,0.000244
200042_at,1677.5,P,0.00415
200043_at,7218.8,P,0.000244
200044_at,3054,P,0.000244
200045_at,1384.4,P,0.001953
200046_at,3146.9,P,0.000244
200047_s_at,3456,P,0.000244
200048_s_at,4525,P,0.000244
200049_at,911.3,P,0.00293
200050_at,1309.7,P,0.000244
200051_at,673.4,P,0.001221
200052_s_at,2182.3,P,0.000244
200053_at,1781.8,P,0.000244
200054_at,566.6,P,0.001221
200055_at,3791.9,P,0.000244
200056_s_at,468,P,0.005859
200057_s_at,8360,P,0.000244
200058_s_at,3532.1,P,0.000244
200059_s_at,13124.2,P,0.000244
200060_s_at,3592.6,P,0.001953
200061_s_at,34560.4,P,0.000244
200062_s_at,33523.2,P,0.000244
200063_s_at,14137.7,P,0.000244
200064_at,11767.6,P,0.000732
200065_s_at,3565.9,P,0.000244
200066_at,1587,P,0.000244
200067_x_at,2573.9,P,0.000244
200068_s_at,6690.6,P,0.000244
200069_at,865.6,P,0.001221
200070_at,961.3,P,0.000244
200071_at,985.7,P,0.005859
200072_s_at,4807.7,P,0.000244
200073_s_at,3507.4,P,0.000244
200074_s_at,6699.4,P,0.000244
200075_s_at,507.9,P,0.00293
200076_s_at,1104.5,P,0.000732
200077_s_at,10141.7,P,0.000244
200078_s_at,1731.6,P,0.023926
200079_s_at,2692.5,P,0.000244
200080_s_at,14718.2,P,0.000244
200081_s_at,21827,P,0.000244
200082_s_at,18694.8,P,0.000244
200083_at,2175.9,P,0.001221
200084_at,3370.8,P,0.000244
200085_s_at,2005.2,P,0.000732
200086_s_at,3243.7,P,0.000244
200087_s_at,4022.9,P,0.000244
200088_x_at,20518.8,P,0.000244
200089_s_at,12190.4,P,0.000244
200090_at,3383.2,P,0.000244
200091_s_at,11144.6,P,0.000244
200092_s_at,15948.7,P,0.000244
200093_s_at,3338,P,0.000244
200094_s_at,3355.7,P,0.00293
200095_x_at,46130,P,0.000244
200096_s_at,1450,P,0.001221
200097_s_at,4913.5,P,0.000244
200098_s_at,3320,P,0.001221
200099_s_at,35089.2,P,0.000244
200593_s_at,3438.8,P,0.000244
200594_x_at,7909.8,P,0.000244
200595_s_at,2105.4,P,0.000244
200596_s_at,905.4,P,0.005859
200597_at,717.3,P,0.00415
200598_s_at,2092.6,P,0.000244
200599_s_at,6153.2,P,0.000244
200600_at,4079,P,0.000244
200601_at,794.7,P,0.00293
200602_at,118.7,A,0.080566
200603_at,2629.8,P,0.000244
200604_s_at,832.6,P,0.000244
200605_s_at,2623.4,P,0.000244
200606_at,102.4,A,0.129639
200607_s_at,1962,P,0.001953
200608_s_at,2019.5,P,0.000244
200609_s_at,1950.4,P,0.001221
200610_s_at,9951.3,P,0.001221
200611_s_at,1676.5,P,0.018555
200612_s_at,159.4,A,0.432373
200613_at,1052,P,0.005859
200614_at,7055.4,P,0.000244
200615_s_at,807.4,P,0.023926
200616_s_at,60.9,A,0.696289
200617_at,1236.5,P,0.010742
200618_at,2078.9,P,0.00293
200619_at,992.2,P,0.023926
200620_at,3038.8,P,0.000732
200621_at,446.6,P,0.023926
200622_x_at,734.8,P,0.037598
200623_s_at,1556.6,P,0.000244
200624_s_at,4819.3,P,0.000244
200625_s_at,3169.4,P,0.000244
200626_s_at,4242.8,P,0.000244
200627_at,7152,P,0.000244
200628_s_at,460.8,A,0.601074
200629_at,974.7,P,0.005859
200630_x_at,4420.8,P,0.000244
200631_s_at,5279.9,P,0.000244
200632_s_at,1559.4,P,0.000244
200633_at,33023.8,P,0.000244
200634_at,7155.1,P,0.000244
200635_s_at,111.9,A,0.366211
200636_s_at,26.8,A,0.919434
200637_s_at,7.6,A,0.932373
200638_s_at,5167.4,P,0.000244
200639_s_at,6001.2,P,0.000244
200640_at,11234.3,P,0.000244
200641_s_at,4300.4,P,0.000244
200642_at,4907.1,P,0.000732
200643_at,569.7,A,0.111572
200644_at,3950.3,P,0.000732
200645_at,3164.9,P,0.000244
200646_s_at,99.3,A,0.19458
200647_x_at,2908.5,P,0.01416
200648_s_at,68.9,A,0.633789
200649_at,500.4,P,0.046143
200650_s_at,8683.4,P,0.000244
200651_at,23014.4,P,0.000244
200652_at,1898.2,P,0.001221
200653_s_at,2055.4,P,0.001953
200654_at,2003.7,P,0.018555
200655_s_at,2925.5,P,0.000244
200656_s_at,408.6,P,0.00293
200657_at,6714.6,P,0.000244
200658_s_at,632.7,P,0.001953
200659_s_at,324.5,A,0.171387
200660_at,212.3,A,0.398926
200661_at,580.7,A,0.19458
200662_s_at,2235.2,P,0.000732
200663_at,3130.9,P,0.000732
200664_s_at,367.2,A,0.149658
200665_s_at,144.2,A,0.27417
200666_s_at,1115.8,P,0.000244
200667_at,2980.8,P,0.000244
200668_s_at,5775.1,P,0.000244
200669_s_at,3261.1,P,0.000244
200670_at,6181.5,P,0.000244
200671_s_at,36.4,A,0.72583
200672_x_at,1065.2,P,0.00293
200673_at,2517.3,P,0.000244
200674_s_at,34457.3,P,0.000244
200675_at,3345.8,P,0.000244
200676_s_at,602.2,P,0.01416
200677_at,1655.1,P,0.000244
200678_x_at,762.4,M,0.056152
200679_x_at,4974,P,0.000244
200680_x_at,21114.4,P,0.000244
200681_at,1709.5,P,0.001221
200682_s_at,1845.6,P,0.000244
200683_s_at,897.1,P,0.008057
200684_s_at,451,P,0.01416
200685_at,587.1,P,0.000244
200686_s_at,4913.2,P,0.000244
200687_s_at,983.5,P,0.00293
200688_at,382.8,A,0.19458
200689_x_at,20790.8,P,0.000244
200690_at,256.4,A,0.149658
200691_s_at,1906.8,P,0.000732
200692_s_at,1019.3,P,0.000244
200693_at,7531.7,P,0.000244
200694_s_at,2943.3,P,0.000244
200695_at,648.5,A,0.171387
200696_s_at,2592.3,P,0.000732
200697_at,856,A,0.067627
200698_at,994.4,P,0.000244
200699_at,671.1,P,0.018555
200700_s_at,2006.1,P,0.000244
200701_at,1826.1,P,0.000244
200702_s_at,27.5,A,0.870361
200703_at,5043,P,0.001221
200704_at,3539.8,P,0.000244
200705_s_at,17045.9,P,0.000244
200706_s_at,2516.1,P,0.00293
200707_at,156.8,A,0.366211
200708_at,1793.5,P,0.005859
200709_at,5424.2,P,0.000244
200710_at,2123.1,P,0.00415
200711_s_at,1572.7,P,0.000244
200712_s_at,600.5,P,0.001953
200713_s_at,2830.4,P,0.000732
200714_x_at,3521.2,P,0.000732
200715_x_at,11492.7,P,0.000244
200716_x_at,55123.4,P,0.000244
200717_x_at,40198.1,P,0.000244
200718_s_at,7267.7,P,0.000244
200719_at,468.4,P,0.023926
200720_s_at,396.6,A,0.067627
200721_s_at,854.5,P,0.023926
200722_s_at,1381.9,P,0.000244
200723_s_at,3619.1,P,0.000244
200724_at,216.4,A,0.366211
200725_x_at,26487.8,P,0.000244
200726_at,2475.8,P,0.001953
