^SAMPLE = GSM705513
!Sample_title = SJE2A013
!Sample_geo_accession = GSM705513
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705513/suppl/GSM705513.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1418.5	P	0.011447
1053_at	494	P	0.019304
117_at	98.3	A	0.581931
121_at	1457.9	P	0.021866
1255_g_at	115.6	A	0.5
1294_at	1556.8	P	0.001354
1316_at	230.8	A	0.175989
1320_at	34.2	A	0.88284
1405_i_at	41.4	A	0.957858
1431_at	131.3	A	0.284747
1438_at	285.6	A	0.32083
1487_at	639.6	A	0.234557
1494_f_at	495.8	P	0.048995
1598_g_at	531.4	A	0.234557
160020_at	692.1	P	0.008689
1729_at	301.5	A	0.162935
1773_at	85.7	A	0.749276
177_at	80.2	A	0.581931
179_at	959.5	A	0.378184
1861_at	180.2	A	0.64131
200000_s_at	2472.7	P	0.001953
200001_at	3007.4	P	0.001221
200002_at	24580.6	P	0.000244
200003_s_at	36261.6	P	0.000244
200004_at	9777.6	P	0.000244
200005_at	5853.9	P	0.000244
200006_at	9133.5	P	0.000244
200007_at	8359.1	P	0.000244
200008_s_at	7008.7	P	0.000244
200009_at	11136.9	P	0.000244
200010_at	28565.2	P	0.000244
200011_s_at	768.3	P	0.01416
200012_x_at	24471.5	P	0.000244
200013_at	26473.3	P	0.000244
200014_s_at	2653.8	P	0.000244
200015_s_at	2068.6	P	0.00415
200016_x_at	29243	P	0.000244
200017_at	15496.9	P	0.000244
200018_at	31942.9	P	0.000244
200019_s_at	26075.8	P	0.000244
200020_at	2572.3	P	0.000244
200021_at	33041.8	P	0.001953
200022_at	28899.9	P	0.000244
200023_s_at	9403.5	P	0.000244
200024_at	20449.4	P	0.000732
200025_s_at	31109.8	P	0.000244
200026_at	41224.6	P	0.000732
200027_at	2405.1	P	0.000244
200028_s_at	2635.1	P	0.000732
200029_at	28366.1	P	0.000244
200030_s_at	11027.4	P	0.000244
200031_s_at	61905.6	P	0.000244
200032_s_at	41238	P	0.000244
200033_at	11216.9	P	0.000244
200034_s_at	22095.4	P	0.000244
200035_at	1034.2	P	0.000244
200036_s_at	18047.7	P	0.000244
200037_s_at	3168.3	P	0.000244
200038_s_at	27878.3	P	0.000244
200039_s_at	2500.4	P	0.000732
200040_at	4516.6	P	0.000244
200041_s_at	6166.5	P	0.000244
200042_at	2257.3	P	0.001221
200043_at	6297.4	P	0.000244
200044_at	3069	P	0.000244
200045_at	1911.8	P	0.001221
200046_at	1299.3	P	0.000732
200047_s_at	2211.8	P	0.000244
200048_s_at	3969.4	P	0.000244
200049_at	569.7	P	0.008057
200050_at	1232.6	P	0.005859
200051_at	813.4	P	0.00415
200052_s_at	2632.3	P	0.000244
200053_at	1055.5	P	0.000244
200054_at	426.7	P	0.005859
200055_at	2813.9	P	0.000244
200056_s_at	625.2	P	0.030273
200057_s_at	9578.1	P	0.000244
200058_s_at	3025.9	P	0.000244
200059_s_at	14228	P	0.000244
200060_s_at	2798.2	P	0.001221
200061_s_at	42403.5	P	0.000244
