^SAMPLE = GSM705516
!Sample_title = SJE2A016
!Sample_geo_accession = GSM705516
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 2_TCF3-PBX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: NA
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = TCF3-PBX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705516/suppl/GSM705516.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1971.3	P	0.014937
1053_at	224.1	A	0.32083
117_at	94.3	A	0.697453
121_at	2184.4	P	0.02786
1255_g_at	45.2	A	0.732537
1294_at	1553.7	P	0.005643
1316_at	438.2	A	0.07383
1320_at	19.1	A	0.92617
1405_i_at	383.7	P	0.015164
1431_at	207.3	A	0.52062
1438_at	372	A	0.458816
1487_at	574.7	A	0.397994
1494_f_at	405.3	A	0.11716
1598_g_at	1400.5	M	0.060419
160020_at	1021.9	P	0.019304
1729_at	615.8	A	0.234557
1773_at	154.2	A	0.715253
177_at	387.1	A	0.339533
179_at	966.2	A	0.418069
1861_at	313.5	A	0.302547
200000_s_at	2710.7	P	0.001953
200001_at	2668.5	P	0.00415
200002_at	20498.1	P	0.000244
200003_s_at	40337.6	P	0.000244
200004_at	8430.9	P	0.000244
200005_at	4854.4	P	0.000244
200006_at	6378.1	P	0.000244
200007_at	7861.7	P	0.000244
200008_s_at	2636.5	P	0.000244
200009_at	9219.8	P	0.000244
200010_at	25836.7	P	0.000244
200011_s_at	1012	P	0.030273
200012_x_at	36294.1	P	0.000244
200013_at	26424.3	P	0.000244
200014_s_at	2522.6	P	0.000732
200015_s_at	1337.4	P	0.023926
200016_x_at	34905.5	P	0.000244
200017_at	14912.7	P	0.000732
200018_at	45906.6	P	0.000244
200019_s_at	32789.3	P	0.000244
200020_at	1711.4	P	0.001221
200021_at	37389.9	P	0.001953
200022_at	27374.6	P	0.001221
200023_s_at	12626.6	P	0.000244
200024_at	20755.2	P	0.000732
200025_s_at	40844.8	P	0.000244
200026_at	60028.7	P	0.000732
200027_at	2132.6	P	0.000732
200028_s_at	1287.8	P	0.001953
200029_at	34143.9	P	0.000244
200030_s_at	11850.4	P	0.000244
200031_s_at	73649.9	P	0.000244
200032_s_at	60821.5	P	0.000244
200033_at	11161.9	P	0.000244
200034_s_at	21897.8	P	0.000244
200035_at	1121.2	P	0.001221
200036_s_at	14048.1	P	0.000244
200037_s_at	3379.8	P	0.000732
200038_s_at	37701.2	P	0.000244
200039_s_at	2846.2	P	0.001953
200040_at	3855.5	P	0.001221
200041_s_at	4611.3	P	0.000244
200042_at	1711.7	P	0.008057
200043_at	4213.9	P	0.001953
200044_at	3542.6	P	0.000244
200045_at	1311.4	P	0.008057
200046_at	1206	P	0.018555
200047_s_at	1824.2	P	0.000244
200048_s_at	3188.3	P	0.000244
200049_at	1113.1	P	0.01416
200050_at	1232.4	P	0.000244
