ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1129.6,P,0.004863
1053_at,434,P,0.011447
117_at,253,A,0.189687
121_at,1819.1,P,0.003585
1255_g_at,32,A,0.581931
1294_at,1040.3,P,0.000673
1316_at,298.6,P,0.02786
1320_at,102.4,A,0.581931
1405_i_at,28.9,A,0.724538
1431_at,29.1,A,0.250724
1438_at,379.1,A,0.107301
1487_at,500.8,A,0.127645
1494_f_at,491.6,P,0.011447
1598_g_at,659.1,P,0.019304
160020_at,700.9,P,0.02786
1729_at,622.7,P,0.043968
1773_at,242.1,A,0.250724
177_at,266.8,A,0.089405
179_at,682.5,P,0.031336
1861_at,251.9,A,0.175989
200000_s_at,2759.9,P,0.000244
200001_at,3095.9,P,0.001221
200002_at,12281.4,P,0.000244
200003_s_at,28608.1,P,0.000244
200004_at,10277,P,0.000732
200005_at,6170.2,P,0.000244
200006_at,8811.1,P,0.000244
200007_at,9465.6,P,0.000244
200008_s_at,8416.7,P,0.000244
200009_at,9515.1,P,0.000244
200010_at,23225.2,P,0.000244
200011_s_at,1179.7,P,0.00293
200012_x_at,19032.1,P,0.000244
200013_at,21673.6,P,0.000244
200014_s_at,2401.4,P,0.000244
200015_s_at,1968.4,P,0.000732
200016_x_at,26709.5,P,0.000244
200017_at,15966.4,P,0.000732
200018_at,30950.8,P,0.000244
200019_s_at,25100.8,P,0.000244
200020_at,2220.9,P,0.000244
200021_at,26968.2,P,0.001221
200022_at,21102.6,P,0.000244
200023_s_at,9134.6,P,0.000244
200024_at,19264.3,P,0.000732
200025_s_at,27100.2,P,0.000244
200026_at,31771.3,P,0.000732
200027_at,2030.1,P,0.000244
200028_s_at,2500,P,0.001221
200029_at,25126.6,P,0.000244
200030_s_at,10029.5,P,0.000244
200031_s_at,42314,P,0.000244
200032_s_at,36935.3,P,0.000244
200033_at,13830.9,P,0.000244
200034_s_at,20061.7,P,0.000244
200035_at,1632.1,P,0.001953
200036_s_at,15035.4,P,0.000244
200037_s_at,3866.4,P,0.000244
200038_s_at,23055.7,P,0.000244
200039_s_at,2588.4,P,0.000244
200040_at,4983.7,P,0.000244
200041_s_at,5285.3,P,0.000244
200042_at,1434.8,P,0.001953
200043_at,7526.2,P,0.001221
200044_at,4284.7,P,0.000244
200045_at,1588.9,P,0.001221
200046_at,1777.5,P,0.000732
200047_s_at,2166.1,P,0.000244
200048_s_at,4531.7,P,0.000244
200049_at,721.4,P,0.00415
200050_at,1484.3,P,0.000244
200051_at,726.5,P,0.000732
200052_s_at,3912.6,P,0.000244
200053_at,1654,P,0.000732
200054_at,309.5,P,0.008057
200055_at,2895,P,0.000244
200056_s_at,594.7,P,0.01416
200057_s_at,9666,P,0.000244
200058_s_at,3222.6,P,0.000244
200059_s_at,19385,P,0.000244
200060_s_at,2295.2,P,0.001221
200061_s_at,37781,P,0.000244
200062_s_at,38511,P,0.000244
200063_s_at,16449.4,P,0.000244
200064_at,8053.4,P,0.000732
200065_s_at,6976.3,P,0.000244
200066_at,1381.7,P,0.000244
200067_x_at,1225.4,P,0.000244
200068_s_at,6067.3,P,0.000244
200069_at,462.8,P,0.00293
200070_at,714.6,P,0.001221
200071_at,836.5,P,0.010742
200072_s_at,4160.5,P,0.000244
200073_s_at,5209.9,P,0.000244
200074_s_at,11804,P,0.000244
200075_s_at,1742.4,P,0.000244
200076_s_at,1143,P,0.001221
200077_s_at,13066,P,0.000244
200078_s_at,2811,P,0.001953
200079_s_at,3408,P,0.000732
200080_s_at,20157.6,P,0.000244
200081_s_at,30053.2,P,0.000244
200082_s_at,24558.6,P,0.000244
200083_at,2094.8,P,0.001953
200084_at,3494.6,P,0.000244
200085_s_at,2656.2,P,0.000244
200086_s_at,4423.2,P,0.000244
200087_s_at,3883.8,P,0.000244
200088_x_at,20578.4,P,0.000244
200089_s_at,15995.6,P,0.000244
200090_at,2342.5,P,0.000244
200091_s_at,13893.1,P,0.000244
200092_s_at,24484.6,P,0.000244
200093_s_at,3574.7,P,0.000244
200094_s_at,5019.8,P,0.000244
200095_x_at,46381.6,P,0.000244
200096_s_at,1570.1,P,0.001221
200097_s_at,4340.3,P,0.000244
200098_s_at,1782.2,P,0.001221
200099_s_at,35775.9,P,0.000244
200593_s_at,4698.3,P,0.000244
200594_x_at,7259.4,P,0.000244
200595_s_at,2799.4,P,0.000244
200596_s_at,956.7,P,0.000244
200597_at,675.9,P,0.010742
200598_s_at,2655.6,P,0.000244
200599_s_at,5104.2,P,0.000244
200600_at,2539.8,P,0.000732
200601_at,590.5,P,0.046143
200602_at,130.4,A,0.111572
200603_at,2146.7,P,0.000244
200604_s_at,2533.3,P,0.000244
200605_s_at,2985.5,P,0.000244
200606_at,127.6,A,0.27417
200607_s_at,1439.5,P,0.000244
200608_s_at,2386.1,P,0.000244
200609_s_at,1980.1,P,0.001953
200610_s_at,8334,P,0.000244
200611_s_at,2568.4,P,0.001953
200612_s_at,349.4,A,0.19458
200613_at,1926.9,P,0.001953
200614_at,7310.1,P,0.000244
200615_s_at,903.6,P,0.030273
200616_s_at,396,A,0.19458
200617_at,1513.7,P,0.000732
200618_at,1982.2,P,0.000732
200619_at,1745.3,P,0.023926
200620_at,1674.2,P,0.000732
200621_at,1182.5,P,0.00293
200622_x_at,1166.9,P,0.01416
200623_s_at,1457.3,P,0.001953
200624_s_at,5770.9,P,0.000244
200625_s_at,3863.9,P,0.000244
200626_s_at,4077.1,P,0.000244
200627_at,5146.3,P,0.000244
200628_s_at,632.6,A,0.398926
200629_at,768.6,P,0.000732
200630_x_at,6827.2,P,0.000244
200631_s_at,5484.2,P,0.000244
200632_s_at,549,P,0.000732
200633_at,24269.2,P,0.000244
200634_at,9154,P,0.000244
200635_s_at,36.5,A,0.567627
200636_s_at,34.9,A,0.80542
200637_s_at,52.2,A,0.696289
200638_s_at,9764.3,P,0.000244
200639_s_at,6996.3,P,0.000244
200640_at,14497.7,P,0.000244
200641_s_at,10914.2,P,0.000244
200642_at,3893.2,P,0.000244
200643_at,489.2,A,0.219482
200644_at,3600.5,P,0.000244
200645_at,3763.3,P,0.000244
200646_s_at,183.2,A,0.129639
200647_x_at,2813.3,P,0.001953
200648_s_at,2509.2,P,0.001953
200649_at,487.6,P,0.018555
200650_s_at,9709.8,P,0.000244
200651_at,35379.5,P,0.000244
200652_at,4282.6,P,0.000244
200653_s_at,2107.8,P,0.000244
200654_at,4601.5,P,0.018555
200655_s_at,4577.1,P,0.000244
200656_s_at,1784.4,P,0.000732
200657_at,12651.5,P,0.000244
200658_s_at,1078.1,P,0.000244
200659_s_at,487.1,M,0.056152
200660_at,234.2,A,0.219482
200661_at,319.3,A,0.398926
200662_s_at,2894.9,P,0.000244
200663_at,2369.1,P,0.001953
200664_s_at,551.4,P,0.030273
200665_s_at,134.9,A,0.366211
200666_s_at,1122.8,P,0.000244
200667_at,1477,P,0.000244
200668_s_at,5735.8,P,0.000244
200669_s_at,3213.7,P,0.000244
200670_at,2620.3,P,0.000244
200671_s_at,1190.6,P,0.00293
200672_x_at,2413.7,P,0.000244
200673_at,3380.6,P,0.000244
200674_s_at,34573.3,P,0.000244
200675_at,7585.7,P,0.000244
200676_s_at,471.9,P,0.010742
200677_at,1278.3,P,0.000732
200678_x_at,1049.1,P,0.037598
200679_x_at,8869.9,P,0.000244
200680_x_at,24318.2,P,0.000244
200681_at,1653.8,P,0.000732
200682_s_at,2762.7,P,0.000244
200683_s_at,1497.3,P,0.037598
200684_s_at,808.3,P,0.001221
200685_at,296.5,P,0.00415
200686_s_at,1612.2,P,0.000244
200687_s_at,818.8,P,0.00415
200688_at,240.1,A,0.334473
200689_x_at,29711.3,P,0.000244
200690_at,256.5,A,0.303711
200691_s_at,1592.9,P,0.000244
200692_s_at,1421,P,0.000244
200693_at,8159.6,P,0.000244
200694_s_at,1941.8,P,0.000244
200695_at,1347.4,P,0.030273
200696_s_at,735.4,P,0.023926
200697_at,717,A,0.067627
200698_at,894.8,P,0.000244
200699_at,745.6,P,0.018555
200700_s_at,3556.7,P,0.000244
200701_at,1423.9,P,0.000244
200702_s_at,446.5,A,0.111572
200703_at,5524.5,P,0.000244
200704_at,1029.8,P,0.001221
200705_s_at,14429.9,P,0.000244
200706_s_at,887.5,P,0.010742
200707_at,764.4,P,0.018555
200708_at,1024,P,0.000244
200709_at,4211,P,0.000244
200710_at,1876.9,P,0.00293
200711_s_at,1223.8,P,0.000244
200712_s_at,1373.6,P,0.000244
200713_s_at,3962.8,P,0.000732
200714_x_at,2589.3,P,0.000244
200715_x_at,16900.4,P,0.000732
200716_x_at,60238.2,P,0.000244
200717_x_at,30252.1,P,0.000244
200718_s_at,8684.1,P,0.000244
200719_at,400.9,A,0.080566
200720_s_at,1097.8,P,0.00415
200721_s_at,737.6,P,0.01416
200722_s_at,3064.2,P,0.000244
200723_s_at,5621.7,P,0.000244
200724_at,240.1,A,0.398926
200725_x_at,41874.4,P,0.000244
200726_at,3363.9,P,0.000244
200727_s_at,1906.3,P,0.001221
200728_at,8183.5,P,0.000244
200729_s_at,5931.1,P,0.000244
200730_s_at,656.2,P,0.000244
200731_s_at,510.2,P,0.008057
200732_s_at,878.3,P,0.001953
200733_s_at,395.9,P,0.010742
200734_s_at,1089,P,0.005859
200735_x_at,24294.2,P,0.000244
200736_s_at,3464.1,P,0.000244
200737_at,1633.6,P,0.001953
200738_s_at,4859,P,0.000244
200739_s_at,694.2,P,0.00415
200740_s_at,2233.9,P,0.000244
200741_s_at,48450.5,P,0.000244
200742_s_at,967.5,P,0.000244
200743_s_at,1174.4,P,0.000244
200744_s_at,2506.5,P,0.000244
200745_s_at,3968.8,P,0.000244
200746_s_at,5540.6,P,0.001221
200747_s_at,1979.1,P,0.000244
200748_s_at,4590.2,P,0.000244
200749_at,529,P,0.001953
200750_s_at,6817,P,0.000244
200751_s_at,2829.2,P,0.000244
200752_s_at,792.9,P,0.018555
200753_x_at,2391.2,P,0.000732
200754_x_at,8201.4,P,0.000244
200755_s_at,340.9,A,0.095215
200756_x_at,691.8,A,0.111572
200757_s_at,712.7,P,0.008057
200758_s_at,509.9,A,0.149658
200759_x_at,1350.3,P,0.00415
200760_s_at,1815.6,P,0.000244
200761_s_at,1521,P,0.001953
200762_at,1743,P,0.000244
200763_s_at,42336.3,P,0.000244
200764_s_at,1006.4,P,0.000732
200765_x_at,1377,P,0.000244
200766_at,122.1,A,0.246094
200767_s_at,550.1,P,0.005859
200768_s_at,2411.2,P,0.000244
200769_s_at,1733.5,P,0.01416
200770_s_at,354.2,P,0.037598
200771_at,616.1,P,0.030273
200772_x_at,25996,P,0.000244
200773_x_at,25105.8,P,0.000244
200774_at,2904,P,0.000244
200775_s_at,6560.3,P,0.000244
200776_s_at,3786.1,P,0.000732
200777_s_at,2055.8,P,0.000244
200778_s_at,2592.7,P,0.000244
200779_at,5334.7,P,0.000732
200780_x_at,22697.2,P,0.000244
200781_s_at,32695.5,P,0.000244
200782_at,2798.3,P,0.000244
200783_s_at,1538,P,0.000244
200784_s_at,44.3,A,0.870361
200785_s_at,216.7,A,0.246094
200786_at,2117,P,0.000244
200787_s_at,549.5,P,0.000732
200788_s_at,404.4,P,0.001953
200789_at,1245,P,0.023926
200790_at,4043.1,P,0.000244
200791_s_at,2024.8,P,0.000732
200792_at,6453.5,P,0.001953
200793_s_at,1318.9,P,0.005859
200794_x_at,5013.4,P,0.000244
200795_at,121.6,A,0.398926
200796_s_at,227.7,P,0.030273
200797_s_at,3459.1,P,0.000244
200798_x_at,1562.2,P,0.000244
200799_at,847.3,P,0.000244
200800_s_at,228,P,0.01416
200801_x_at,61185.7,P,0.000244
200802_at,1466.6,P,0.000732
200803_s_at,2901.5,P,0.001221
200804_at,2052.5,P,0.000244
200805_at,715.8,P,0.023926
200806_s_at,3898,P,0.000244
200807_s_at,5975.6,P,0.000244
200808_s_at,325.4,P,0.010742
200809_x_at,18308.8,P,0.000244
200810_s_at,549.3,P,0.001953
200811_at,879.7,A,0.067627
200812_at,2193.6,P,0.00293
200813_s_at,915.1,P,0.005859
200814_at,3752.5,P,0.000732
200815_s_at,685.2,P,0.000244
200816_s_at,1482.7,P,0.001221
200817_x_at,61132.6,P,0.000244
200818_at,3843.4,P,0.000244
200819_s_at,16824,P,0.000244
200820_at,1413.1,P,0.00293
200821_at,421.6,P,0.01416
200822_x_at,2718.2,P,0.000244
200823_x_at,16418.4,P,0.000244
200824_at,1913.2,P,0.000244
200825_s_at,2805.5,P,0.000244
200826_at,8945.9,P,0.000244
200827_at,66,A,0.27417
200828_s_at,4653.7,P,0.000732
200829_x_at,2382.3,P,0.000732
200830_at,1860.6,P,0.000244
200831_s_at,343.6,A,0.533936
200832_s_at,175.8,A,0.466064
200833_s_at,4723.4,P,0.000244
200834_s_at,24955.8,P,0.000244
200835_s_at,19.8,A,0.989258
200836_s_at,585.5,A,0.171387
200837_at,728.7,P,0.000244
200838_at,739.4,P,0.00415
200839_s_at,755.2,P,0.001953
200840_at,4049.6,P,0.000244
200841_s_at,522.6,P,0.001221
200842_s_at,1022.9,P,0.000732
