^SAMPLE = GSM705938
!Sample_title = SJETV118
!Sample_geo_accession = GSM705938
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705938/suppl/GSM705938.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	757.6	A	0.11716
1053_at	355	P	0.02786
117_at	385.8	P	0.035163
121_at	1653.5	P	0.003585
1255_g_at	133.2	A	0.581931
1294_at	1040.7	P	0.011447
1316_at	197.4	A	0.150527
1320_at	19.8	A	0.968664
1405_i_at	205.4	A	0.216313
1431_at	18.7	A	0.250724
1438_at	163.8	A	0.660442
1487_at	366.7	A	0.378184
1494_f_at	514.7	P	0.048995
1598_g_at	590.7	A	0.418069
160020_at	905.3	A	0.07383
1729_at	367.5	A	0.204022
1773_at	206.5	A	0.5
177_at	29.9	A	0.732537
179_at	1263.5	A	0.098054
1861_at	91.9	A	0.781017
200000_s_at	2207.6	P	0.000244
200001_at	3215.3	P	0.00415
200002_at	14451	P	0.000244
200003_s_at	40509.4	P	0.000244
200004_at	6241.4	P	0.000244
200005_at	4330.3	P	0.000244
200006_at	4242	P	0.000732
200007_at	3346.5	P	0.000732
200008_s_at	4399.3	P	0.000244
200009_at	10900.9	P	0.000244
200010_at	25100.4	P	0.000244
200011_s_at	1576.9	P	0.00293
200012_x_at	30752.4	P	0.000244
200013_at	20000.3	P	0.000244
200014_s_at	3068.5	P	0.000244
200015_s_at	1855.1	P	0.001221
200016_x_at	32312.9	P	0.000244
200017_at	24187.7	P	0.000244
200018_at	33138.4	P	0.000244
200019_s_at	21306	P	0.000244
200020_at	1849.6	P	0.000244
200021_at	30998.7	P	0.001221
200022_at	15523.7	P	0.000732
200023_s_at	9637.1	P	0.000244
200024_at	21771.4	P	0.000732
200025_s_at	29500.7	P	0.000244
200026_at	36379.1	P	0.000732
200027_at	2012	P	0.000244
200028_s_at	1943	P	0.001221
200029_at	25067.7	P	0.000244
200030_s_at	9532.9	P	0.000244
200031_s_at	52991.9	P	0.000244
200032_s_at	49086.3	P	0.000244
200033_at	9476.5	P	0.000244
200034_s_at	22957.8	P	0.000244
200035_at	1045.7	P	0.010742
200036_s_at	18705.3	P	0.000244
200037_s_at	2695.3	P	0.001221
200038_s_at	37369	P	0.000244
200039_s_at	1622.3	P	0.001953
200040_at	4304.4	P	0.000244
200041_s_at	4857.3	P	0.000244
200042_at	1614.7	P	0.005859
200043_at	3190.1	P	0.001953
200044_at	2615.9	P	0.000244
200045_at	1473.8	P	0.005859
200046_at	1518.6	P	0.000244
200047_s_at	2236.7	P	0.000244
200048_s_at	2874.4	P	0.000244
200049_at	809.3	P	0.023926
200050_at	1626.7	P	0.000244
200051_at	962.3	P	0.008057
