^SAMPLE = GSM705943
!Sample_title = SJETV115
!Sample_geo_accession = GSM705943
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: NA
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705943/suppl/GSM705943.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1650.5	P	0.003067
1053_at	285.8	P	0.043968
117_at	286.4	A	0.150527
121_at	1303.9	P	0.017001
1255_g_at	80.8	A	0.581931
1294_at	1601.3	P	0.000266
1316_at	307	P	0.035163
1320_at	27.8	A	0.901946
1405_i_at	280.6	P	0.03202
1431_at	102.7	A	0.189687
1438_at	144.3	A	0.397994
1487_at	452.6	A	0.218983
1494_f_at	360	P	0.021866
1598_g_at	670.1	A	0.204022
160020_at	863.8	P	0.013092
1729_at	383.7	P	0.024711
1773_at	247.6	A	0.284747
177_at	142.8	A	0.204022
179_at	594.7	A	0.302547
1861_at	228.1	A	0.234557
200000_s_at	3506.8	P	0.000732
200001_at	3025.6	P	0.001221
200002_at	13017.9	P	0.000244
200003_s_at	24592.4	P	0.000244
200004_at	8591.6	P	0.000244
200005_at	5542.7	P	0.000244
200006_at	7692.2	P	0.000244
200007_at	7204.7	P	0.000244
200008_s_at	5262.5	P	0.000244
200009_at	9636.4	P	0.000244
200010_at	20830.4	P	0.000244
200011_s_at	1385.9	P	0.000732
200012_x_at	17566	P	0.000244
200013_at	18047.3	P	0.000244
200014_s_at	2345.6	P	0.000244
200015_s_at	2129.7	P	0.000732
200016_x_at	25892.6	P	0.000244
200017_at	11965.7	P	0.000244
200018_at	24975.7	P	0.000244
200019_s_at	23244.4	P	0.000244
200020_at	1818.1	P	0.000244
200021_at	31113.7	P	0.001953
200022_at	17587	P	0.000244
200023_s_at	8291.1	P	0.000244
200024_at	14182.5	P	0.000732
200025_s_at	24146.5	P	0.000244
200026_at	36477.3	P	0.000732
200027_at	2191.7	P	0.000244
200028_s_at	2483	P	0.000244
200029_at	21964.4	P	0.000244
200030_s_at	12837.8	P	0.000244
200031_s_at	34388.6	P	0.000244
200032_s_at	36426.1	P	0.000244
200033_at	10208.2	P	0.000244
200034_s_at	20627.4	P	0.000244
200035_at	2719	P	0.001221
200036_s_at	12431.2	P	0.000244
200037_s_at	2090.1	P	0.000732
200038_s_at	25312.9	P	0.000244
200039_s_at	2166.1	P	0.000244
200040_at	3810.9	P	0.000244
200041_s_at	7364.7	P	0.000244
200042_at	1436	P	0.000732
200043_at	4643.3	P	0.001221
200044_at	3713.7	P	0.000244
200045_at	2029.3	P	0.001221
200046_at	2295.6	P	0.000244
200047_s_at	1862.9	P	0.000244
200048_s_at	3509.6	P	0.000244
200049_at	743.8	P	0.000244
200050_at	1862.7	P	0.000732
200051_at	555.1	P	0.000244
200052_s_at	3251.5	P	0.000244
200053_at	1287.8	P	0.000244
200054_at	226.4	P	0.037598
200055_at	3759.8	P	0.000244
200056_s_at	397.6	A	0.067627
200057_s_at	10812.1	P	0.000244
200058_s_at	2949.1	P	0.000244
200059_s_at	13247.1	P	0.000244
200060_s_at	2326.9	P	0.001221
200061_s_at	26527.7	P	0.000732
200062_s_at	35491.8	P	0.000244
200063_s_at	11190.8	P	0.000244
200064_at	12898.7	P	0.000732
200065_s_at	4607.9	P	0.000244
200066_at	1505.3	P	0.000732
200067_x_at	2389.1	P	0.000732
200068_s_at	5552.8	P	0.000244
200069_at	599.1	P	0.000244
200070_at	829	P	0.00293
200071_at	536.5	P	0.010742
200072_s_at	5643.9	P	0.000244
200073_s_at	4145.6	P	0.000244
200074_s_at	8469.4	P	0.000244
200075_s_at	1104.2	P	0.000732
200076_s_at	1105.2	P	0.001953
200077_s_at	14063	P	0.000244
200078_s_at	2087.8	P	0.008057
200079_s_at	3412.1	P	0.000244
200080_s_at	13188.2	P	0.000244
200081_s_at	19357.1	P	0.000244
200082_s_at	25314.8	P	0.000244
200083_at	2346.1	P	0.00293
200084_at	2991.2	P	0.000244
200085_s_at	3117.1	P	0.000732
200086_s_at	3545.3	P	0.000244
200087_s_at	2954	P	0.000244
200088_x_at	18621	P	0.000244
200089_s_at	12309.1	P	0.000244
200090_at	3114.9	P	0.000244
200091_s_at	6373.7	P	0.000244
200092_s_at	12357.2	P	0.000244
200093_s_at	2224.6	P	0.000244
200094_s_at	4625.3	P	0.001953
200095_x_at	44657.9	P	0.000244
200096_s_at	2077.6	P	0.000244
200097_s_at	3624.3	P	0.000244
200098_s_at	2194.1	P	0.000244
200099_s_at	33664.2	P	0.000244
200593_s_at	3408	P	0.000244
200594_x_at	6597.6	P	0.000244
200595_s_at	1341	P	0.000244
200596_s_at	1109.7	P	0.000732
200597_at	553.6	P	0.000244
200598_s_at	1369.4	P	0.000244
200599_s_at	3694.8	P	0.000244
200600_at	4596.6	P	0.000244
200601_at	839.5	P	0.010742
200602_at	425	P	0.00415
200603_at	1688.5	P	0.000244
200604_s_at	1414.9	P	0.000244
200605_s_at	2252.3	P	0.000244
200606_at	141.2	A	0.129639
200607_s_at	1747	P	0.00293
200608_s_at	1345.8	P	0.000244
200609_s_at	2379.5	P	0.000732
200610_s_at	8057.2	P	0.000732
200611_s_at	2546.4	P	0.001953
200612_s_at	183	A	0.633789
200613_at	2266.3	P	0.001953
200614_at	5526.6	P	0.000244
200615_s_at	447.1	P	0.023926
200616_s_at	271	A	0.72583
200617_at	1203.9	P	0.001221
200618_at	1929.7	P	0.000732
200619_at	1558	P	0.010742
200620_at	2427	P	0.000244
200621_at	632.7	P	0.030273
200622_x_at	1214.3	P	0.046143
200623_s_at	2982.2	P	0.000244
200624_s_at	4565.2	P	0.000244
200625_s_at	3469.6	P	0.000244
200626_s_at	2866	P	0.001953
200627_at	8916.5	P	0.000244
200628_s_at	494	A	0.633789
200629_at	514.3	P	0.008057
200630_x_at	7343	P	0.000244
200631_s_at	6168.6	P	0.000244
200632_s_at	503.1	P	0.001221
200633_at	30808.4	P	0.000244
200634_at	7808.4	P	0.000244
200635_s_at	165.5	A	0.19458
200636_s_at	403.3	A	0.219482
200637_s_at	66.6	A	0.753906
200638_s_at	5115.8	P	0.000244
200639_s_at	4963.2	P	0.000732
200640_at	13550.4	P	0.000244
200641_s_at	5404.6	P	0.000244
200642_at	4638	P	0.000244
200643_at	603.7	P	0.018555
200644_at	7224.5	P	0.000244
200645_at	5754.8	P	0.000732
200646_s_at	384.3	P	0.030273
200647_x_at	4631.6	P	0.001221
200648_s_at	537.7	M	0.056152
200649_at	927.1	P	0.001953
200650_s_at	8718.1	P	0.000244
200651_at	25261.9	P	0.000244
200652_at	1970.1	P	0.023926
200653_s_at	2851.8	P	0.000244
200654_at	2074.9	P	0.018555
200655_s_at	6819.4	P	0.000244
200656_s_at	854.6	P	0.001953
200657_at	11185.5	P	0.000244
200658_s_at	1696.6	P	0.000244
200659_s_at	633.6	P	0.000244
200660_at	173.2	A	0.5
200661_at	456.3	A	0.171387
200662_s_at	1931.9	P	0.000732
200663_at	2737.8	P	0.000732
200664_s_at	707.4	P	0.00293
200665_s_at	11.1	A	0.919434
200666_s_at	2295.8	P	0.000244
200667_at	2285.3	P	0.000244
200668_s_at	5250.8	P	0.000244
200669_s_at	2995.1	P	0.000244
200670_at	6786.5	P	0.000732
200671_s_at	837.7	P	0.001953
200672_x_at	2423.3	P	0.000244
200673_at	2731.9	P	0.000244
200674_s_at	40115	P	0.000244
200675_at	3305.8	P	0.000244
200676_s_at	504.4	P	0.000732
200677_at	1092.9	P	0.000732
200678_x_at	812.1	P	0.030273
200679_x_at	7447.3	P	0.000244
200680_x_at	17951.5	P	0.000244
200681_at	1566.6	P	0.000732
200682_s_at	2038	P	0.000244
200683_s_at	1399.2	P	0.001221
200684_s_at	812.2	P	0.001221
200685_at	418.4	P	0.000244
200686_s_at	1369.5	P	0.00293
200687_s_at	1381.4	P	0.001953
200688_at	257.8	A	0.080566
200689_x_at	30284.4	P	0.000244
200690_at	475.8	A	0.366211
200691_s_at	1723	P	0.000244
200692_s_at	1575.8	P	0.000732
200693_at	6699.5	P	0.000244
200694_s_at	1821.8	P	0.000244
200695_at	1396.9	P	0.037598
200696_s_at	3452.6	P	0.000244
200697_at	1501.6	P	0.008057
200698_at	728.4	P	0.000732
200699_at	773.7	P	0.001221
200700_s_at	2015.5	P	0.000732
200701_at	1402.5	P	0.000244
200702_s_at	18.6	A	0.80542
200703_at	7189.2	P	0.000244
200704_at	501.1	P	0.008057
200705_s_at	10114	P	0.000244
200706_s_at	217.8	A	0.303711
200707_at	678.2	A	0.067627
200708_at	1066	P	0.005859
200709_at	6408.8	P	0.000244
200710_at	1957.3	P	0.008057
200711_s_at	1250.7	P	0.000732
200712_s_at	1265.6	P	0.000732
200713_s_at	4023.2	P	0.000244
200714_x_at	3169.2	P	0.000244
200715_x_at	11324.4	P	0.000244
200716_x_at	53961.6	P	0.000244
200717_x_at	38322.1	P	0.000244
200718_s_at	6209.7	P	0.000244
200719_at	522.9	P	0.010742
200720_s_at	796.4	P	0.023926
200721_s_at	795.8	P	0.001953
200722_s_at	2273.4	P	0.000732
200723_s_at	4572.2	P	0.000244
200724_at	251.4	A	0.5
200725_x_at	37727.1	P	0.000244
200726_at	2519.9	P	0.000244
200727_s_at	862.4	P	0.018555
200728_at	6459.4	P	0.000244
200729_s_at	4295.3	P	0.000244
200730_s_at	517.4	P	0.000732
200731_s_at	524.1	P	0.00293
200732_s_at	1022.5	P	0.000732
200733_s_at	89.8	A	0.095215
200734_s_at	955.5	P	0.018555
200735_x_at	26281.5	P	0.000244
200736_s_at	5483.7	P	0.000244
200737_at	1829.6	P	0.000732
200738_s_at	5361.9	P	0.000244
200739_s_at	761.8	P	0.008057
200740_s_at	2296.7	P	0.000244
200741_s_at	40232.8	P	0.000244
200742_s_at	2087.7	P	0.000732
200743_s_at	2348.4	P	0.000244
200744_s_at	1847.5	P	0.000244
200745_s_at	3599.9	P	0.000244
200746_s_at	4981.1	P	0.000732
200747_s_at	1711.5	P	0.000244
200748_s_at	6891.4	P	0.000244
200749_at	725.5	P	0.000732
200750_s_at	6972.4	P	0.000244
200751_s_at	1719.4	P	0.000244
200752_s_at	634	P	0.030273
200753_x_at	1782.2	P	0.001221
200754_x_at	9588.4	P	0.000244
200755_s_at	596.8	P	0.000244
200756_x_at	564.8	A	0.111572
200757_s_at	1618.4	P	0.001221
200758_s_at	492.7	P	0.030273
200759_x_at	1342.9	P	0.000244
200760_s_at	2516.7	P	0.000244
200761_s_at	2420	P	0.00293
200762_at	3757.5	P	0.000244
200763_s_at	36434.7	P	0.000244
200764_s_at	1213.4	P	0.000244
200765_x_at	1384	P	0.000244
200766_at	170.7	P	0.023926
200767_s_at	291.9	A	0.111572
200768_s_at	2840.3	P	0.000244
200769_s_at	869	P	0.030273
200770_s_at	465.8	P	0.00415
200771_at	946.3	P	0.00415
200772_x_at	22614.2	P	0.000244
200773_x_at	21636.8	P	0.000244
200774_at	1793.2	P	0.000244
200775_s_at	5893.5	P	0.000244
200776_s_at	1397.5	P	0.00415
200777_s_at	1612.4	P	0.000244
200778_s_at	2483.2	P	0.000244
200779_at	4507.5	P	0.000732
200780_x_at	28942.2	P	0.000244
200781_s_at	28924.7	P	0.000244
200782_at	1748.1	P	0.000244
200783_s_at	2210	P	0.000244
200784_s_at	29.4	A	0.962402
200785_s_at	101.9	A	0.567627
200786_at	2421.3	P	0.000244
200787_s_at	330.5	A	0.095215
200788_s_at	452.1	P	0.01416
200789_at	1303.6	P	0.00415
200790_at	2378.6	P	0.000732
200791_s_at	1759.8	P	0.000732
200792_at	6836.5	P	0.001221
200793_s_at	907.3	P	0.037598
200794_x_at	6974.2	P	0.000244
200795_at	28.5	A	0.850342
200796_s_at	162.4	A	0.366211
200797_s_at	2359.2	P	0.000244
200798_x_at	613.2	P	0.000732
200799_at	2846	P	0.000244
