^SAMPLE = GSM705948
!Sample_title = SJETV001
!Sample_geo_accession = GSM705948
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705948/suppl/GSM705948.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1198.7	P	0.017001
1053_at	521.9	A	0.150527
117_at	71.8	A	0.541184
121_at	1995.3	P	0.008689
1255_g_at	238	A	0.07383
1294_at	1110.1	P	0.001602
1316_at	360.3	P	0.024711
1320_at	41.9	A	0.872394
1405_i_at	111.7	A	0.318883
1431_at	190.8	A	0.458816
1438_at	258.1	A	0.302547
1487_at	691.1	A	0.162935
1494_f_at	843.8	P	0.043968
1598_g_at	1225.2	A	0.189687
160020_at	1050.3	P	0.02786
1729_at	323.9	A	0.52062
1773_at	153	A	0.5
177_at	348	A	0.339558
179_at	1649.8	A	0.07383
1861_at	148.2	A	0.418069
200000_s_at	3213.9	P	0.000732
200001_at	2910.8	P	0.000732
200002_at	9177.6	P	0.000244
200003_s_at	19511.4	P	0.000244
200004_at	6638.2	P	0.000244
200005_at	3948.3	P	0.000244
200006_at	4294.4	P	0.000732
200007_at	6954.7	P	0.000244
200008_s_at	4583	P	0.000244
200009_at	7380.4	P	0.000244
200010_at	16693	P	0.000244
200011_s_at	1423.4	P	0.00415
200012_x_at	13194.7	P	0.000244
200013_at	10402.9	P	0.000244
200014_s_at	1642.6	P	0.000244
200015_s_at	1626	P	0.001221
200016_x_at	29745.9	P	0.000244
200017_at	7884.4	P	0.000244
200018_at	22925.7	P	0.000244
200019_s_at	14413.9	P	0.000244
200020_at	1472.6	P	0.000244
200021_at	23115.2	P	0.00293
200022_at	16201.7	P	0.001953
200023_s_at	9304.4	P	0.000244
200024_at	9364.9	P	0.001221
200025_s_at	23357.5	P	0.000244
200026_at	29355.5	P	0.000732
200027_at	1832.5	P	0.000244
200028_s_at	1595.7	P	0.001221
200029_at	17527.5	P	0.000244
200030_s_at	6435.8	P	0.000244
200031_s_at	33202.2	P	0.000244
200032_s_at	28294	P	0.000244
200033_at	9870.6	P	0.000244
200034_s_at	13025.7	P	0.000244
200035_at	2262.1	P	0.008057
200036_s_at	8677.3	P	0.000244
200037_s_at	3394.3	P	0.000732
200038_s_at	18204.9	P	0.000244
200039_s_at	2409.3	P	0.000244
200040_at	3681.3	P	0.000732
200041_s_at	8895	P	0.000244
200042_at	1122.8	P	0.023926
200043_at	5244.6	P	0.000732
200044_at	3718.5	P	0.000244
200045_at	1391.9	P	0.000244
200046_at	1435.9	P	0.001221
200047_s_at	1776.6	P	0.000244
200048_s_at	2441.8	P	0.000244
200049_at	498.4	P	0.010742
200050_at	1744.7	P	0.001953
200051_at	916.1	P	0.00293
200052_s_at	2569.7	P	0.000244
200053_at	1695.5	P	0.000244
200054_at	395.4	A	0.111572
200055_at	3806	P	0.000244
200056_s_at	260.9	A	0.129639
200057_s_at	10892.5	P	0.000244
200058_s_at	3053.7	P	0.000244
200059_s_at	11044.3	P	0.000244
200060_s_at	3063.4	P	0.00415
200061_s_at	35544	P	0.000244
200062_s_at	33726.1	P	0.000244
200063_s_at	8202	P	0.000244
200064_at	8371.9	P	0.000732
200065_s_at	4611.3	P	0.000244
200066_at	1379.6	P	0.000732
200067_x_at	1683.2	P	0.000244
200068_s_at	3608	P	0.000244
200069_at	354.9	P	0.00415
200070_at	758.2	P	0.030273
200071_at	801.8	P	0.01416
200072_s_at	4404.7	P	0.000244
200073_s_at	3261.3	P	0.000244
200074_s_at	6805.6	P	0.000244
200075_s_at	1361.4	P	0.046143
200076_s_at	708.2	P	0.01416
200077_s_at	12959	P	0.000244
200078_s_at	1913	A	0.080566
200079_s_at	2731	P	0.000732
200080_s_at	18087.5	P	0.000244
200081_s_at	13060.3	P	0.000244
200082_s_at	16191.3	P	0.000244
200083_at	2407.8	P	0.005859
200084_at	2330.8	P	0.000244
200085_s_at	2318.6	P	0.001953
200086_s_at	2089.8	P	0.000244
200087_s_at	2501.1	P	0.000244
200088_x_at	14041.9	P	0.000244
200089_s_at	12901.3	P	0.000244
200090_at	3243.7	P	0.000732
200091_s_at	9425.2	P	0.000244
200092_s_at	13794.9	P	0.000244
200093_s_at	1983.3	P	0.000244
200094_s_at	4667.5	P	0.001221
200095_x_at	33601.7	P	0.000244
200096_s_at	1282.2	P	0.00415
200097_s_at	3254.6	P	0.000732
200098_s_at	1992.3	P	0.00415
200099_s_at	27056.2	P	0.000244
200593_s_at	3170.6	P	0.000244
200594_x_at	6459.5	P	0.000244
200595_s_at	1498.4	P	0.000244
200596_s_at	536.7	A	0.219482
200597_at	656.9	P	0.018555
200598_s_at	917.4	P	0.000732
200599_s_at	1712.5	P	0.000732
200600_at	3849.6	P	0.000244
200601_at	1080.8	M	0.056152
