^SAMPLE = GSM705964
!Sample_title = SJETV104
!Sample_geo_accession = GSM705964
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705964/suppl/GSM705964.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1742.1	P	0.000673
1053_at	308.4	P	0.014937
117_at	241.4	A	0.218983
121_at	1492.5	P	0.019304
1255_g_at	138.7	P	0.048995
1294_at	1973.6	P	0.000266
1316_at	179.2	A	0.066865
1320_at	146.5	A	0.561639
1405_i_at	94.4	A	0.135974
1431_at	96	A	0.11716
1438_at	153.1	A	0.47938
1487_at	545.2	A	0.089405
1494_f_at	517.8	P	0.014937
1598_g_at	819.9	M	0.05447
160020_at	824.9	P	0.048995
1729_at	265.3	A	0.098054
1773_at	254.8	A	0.098054
177_at	53.6	A	0.284747
179_at	855.1	A	0.098054
1861_at	282.2	A	0.11716
200000_s_at	3614.4	P	0.000244
200001_at	3142.5	P	0.001953
200002_at	18010	P	0.000244
200003_s_at	30087.1	P	0.000244
200004_at	9821.3	P	0.000244
200005_at	5992.2	P	0.000244
200006_at	3262.1	P	0.000732
200007_at	6286.3	P	0.000244
200008_s_at	3527.3	P	0.000244
200009_at	6354.9	P	0.000244
200010_at	25535.4	P	0.000244
200011_s_at	1093.3	P	0.001953
200012_x_at	28000.4	P	0.000244
200013_at	23427.9	P	0.000244
200014_s_at	1523	P	0.000244
200015_s_at	3609.6	P	0.000732
200016_x_at	37612.2	P	0.000244
200017_at	18421.5	P	0.000244
200018_at	28664.9	P	0.000244
200019_s_at	24608.7	P	0.000244
200020_at	2703.8	P	0.000244
200021_at	32149.5	P	0.000732
200022_at	28072.4	P	0.000244
200023_s_at	12734.7	P	0.000244
200024_at	17515.9	P	0.000732
200025_s_at	25857.4	P	0.000244
200026_at	32197.1	P	0.000732
200027_at	3508.1	P	0.000244
200028_s_at	1953.5	P	0.000732
200029_at	24995.4	P	0.000244
200030_s_at	15047.7	P	0.000244
200031_s_at	46976.5	P	0.000244
200032_s_at	34896.5	P	0.000244
200033_at	16623.5	P	0.000244
200034_s_at	16307.3	P	0.000244
200035_at	1449.8	P	0.001953
200036_s_at	11269	P	0.000244
200037_s_at	2868.5	P	0.000244
200038_s_at	30943.9	P	0.000244
200039_s_at	1367.1	P	0.001221
200040_at	3855.7	P	0.000244
200041_s_at	9050.7	P	0.000244
200042_at	2073.1	P	0.000244
200043_at	5374.8	P	0.001221
200044_at	2536	P	0.000244
200045_at	2378.9	P	0.000244
200046_at	652	P	0.00415
200047_s_at	2259.5	P	0.000244
200048_s_at	5180.2	P	0.000244
200049_at	943.1	P	0.000244
200050_at	782.3	P	0.000244
200051_at	550.4	P	0.000244
200052_s_at	2891.2	P	0.000244
200053_at	1813.3	P	0.000244
200054_at	338.1	P	0.00293
200055_at	3154.2	P	0.000244
200056_s_at	406.3	P	0.000244
200057_s_at	12043.9	P	0.000244
200058_s_at	5175.3	P	0.000244
200059_s_at	14610.5	P	0.000244
200060_s_at	4133	P	0.001221
200061_s_at	35131.3	P	0.000244
200062_s_at	35015.9	P	0.000244
200063_s_at	12473	P	0.000244
200064_at	6355.8	P	0.000732
200065_s_at	5495.1	P	0.000244
200066_at	1409.9	P	0.000244
200067_x_at	1898.9	P	0.000244
200068_s_at	2430.1	P	0.000244
200069_at	566.7	P	0.001953
200070_at	828.5	P	0.00293
200071_at	1006.1	P	0.00293
200072_s_at	7087.6	P	0.000244
200073_s_at	2938.7	P	0.000244
200074_s_at	10063.2	P	0.000244
200075_s_at	1101.4	P	0.001221
200076_s_at	915	P	0.001221
200077_s_at	10373.7	P	0.000244
200078_s_at	3011.4	P	0.001953
200079_s_at	2502.7	P	0.000244
200080_s_at	14507.7	P	0.000244
200081_s_at	31284.5	P	0.000244
200082_s_at	25835.9	P	0.000244
200083_at	4386.9	P	0.000732
200084_at	1511.6	P	0.000244
200085_s_at	2052.6	P	0.000244
200086_s_at	5737.7	P	0.000244
200087_s_at	2964.9	P	0.000244
200088_x_at	24114	P	0.000244
200089_s_at	11940.2	P	0.000244
200090_at	2496.6	P	0.000732
200091_s_at	11179.2	P	0.000244
200092_s_at	18506.3	P	0.000244
200093_s_at	3033	P	0.000244
200094_s_at	6449.3	P	0.000244
200095_x_at	50341.5	P	0.000244
200096_s_at	1291.5	P	0.001221
200097_s_at	8626.5	P	0.000244
200098_s_at	1759.6	P	0.001953
200099_s_at	34946.2	P	0.000244
200593_s_at	2527.9	P	0.000244
200594_x_at	5538.1	P	0.000244
200595_s_at	1407.7	P	0.000244
200596_s_at	894.9	P	0.000244
200597_at	469	P	0.001953
200598_s_at	1272.5	P	0.000244
200599_s_at	4478.1	P	0.000244
200600_at	6128.8	P	0.000244
200601_at	399.1	A	0.080566
200602_at	334.2	P	0.001953
200603_at	1155	P	0.000244
200604_s_at	1118.9	P	0.000244
200605_s_at	1350.5	P	0.000244
200606_at	54.3	A	0.334473
200607_s_at	1502.8	P	0.000732
200608_s_at	1547.6	P	0.000244
200609_s_at	1669.5	P	0.001953
200610_s_at	6945.2	P	0.000244
200611_s_at	1917.2	P	0.005859
200612_s_at	83.4	A	0.398926
200613_at	884.6	P	0.005859
200614_at	3840.9	P	0.000244
200615_s_at	31.7	A	0.72583
200616_s_at	231.8	A	0.246094
200617_at	688.8	A	0.111572
200618_at	1240.4	P	0.001953
200619_at	2587.9	P	0.01416
200620_at	2521.9	P	0.000244
200621_at	529.7	P	0.008057
200622_x_at	1204.7	P	0.005859
200623_s_at	2556.2	P	0.000244
200624_s_at	7867.2	P	0.000244
200625_s_at	2445.9	P	0.000244
200626_s_at	5738.2	P	0.000732
200627_at	4520.8	P	0.000244
200628_s_at	70.6	A	0.696289
200629_at	323.1	P	0.018555
200630_x_at	6367.2	P	0.000244
200631_s_at	5595.6	P	0.000244
200632_s_at	2681.5	P	0.000244
200633_at	29486.5	P	0.000244
200634_at	2167.3	P	0.000244
200635_s_at	81.8	A	0.303711
200636_s_at	107.8	A	0.5
200637_s_at	57.1	A	0.5
200638_s_at	7984.4	P	0.000244
200639_s_at	3669.5	P	0.000244
200640_at	11048.1	P	0.000244
200641_s_at	8695	P	0.000244
200642_at	2107.8	P	0.001221
200643_at	82.3	A	0.398926
200644_at	1844.6	P	0.000244
200645_at	7255.7	P	0.000244
200646_s_at	250.4	P	0.030273
200647_x_at	3394.4	P	0.001953
200648_s_at	18.2	A	0.466064
200649_at	534.5	P	0.00415
200650_s_at	2416.9	P	0.000244
200651_at	26852.8	P	0.000244
200652_at	3144.8	P	0.000732
200653_s_at	1774.4	P	0.000244
200654_at	3289.2	P	0.018555
200655_s_at	3966.6	P	0.000244
200656_s_at	912.8	P	0.000244
200657_at	8322.4	P	0.000244
200658_s_at	1362	P	0.000244
200659_s_at	1070.3	P	0.000732
200660_at	15	A	0.919434
200661_at	464.9	A	0.171387
200662_s_at	3988.7	P	0.000244
200663_at	1565.8	P	0.001221
200664_s_at	1048.3	P	0.00293
200665_s_at	62.1	A	0.567627
200666_s_at	1817.6	P	0.000244
200667_at	2975.3	P	0.000244
200668_s_at	7561.3	P	0.000244
200669_s_at	4788.6	P	0.000244
200670_at	2985.9	P	0.000244
200671_s_at	2058.9	P	0.001221
200672_x_at	4439.3	P	0.000244
200673_at	3439.1	P	0.000244
200674_s_at	35371.6	P	0.000244
200675_at	3060.2	P	0.000244
200676_s_at	150.1	A	0.398926
200677_at	1599.2	P	0.000732
200678_x_at	654	P	0.037598
200679_x_at	8690.5	P	0.000244
200680_x_at	30329.7	P	0.000244
200681_at	1249.6	P	0.001953
200682_s_at	2343.4	P	0.000244
200683_s_at	174.5	A	0.19458
200684_s_at	159.4	A	0.111572
200685_at	541.3	P	0.001221
200686_s_at	5498	P	0.000244
200687_s_at	456.7	P	0.023926
200688_at	291.9	P	0.023926
200689_x_at	31476.6	P	0.000244
200690_at	547.7	A	0.111572
200691_s_at	1515.2	P	0.000244
200692_s_at	2383.5	P	0.000244
200693_at	7860.9	P	0.000244
200694_s_at	2149.8	P	0.000244
200695_at	1491.4	P	0.01416
200696_s_at	2998.5	P	0.000732
200697_at	745.5	A	0.129639
200698_at	375.1	P	0.008057
200699_at	170.8	A	0.095215
200700_s_at	760.5	P	0.000244
200701_at	1629.5	P	0.000244
200702_s_at	223.8	A	0.129639
200703_at	170	A	0.334473
200704_at	345.4	P	0.037598
200705_s_at	10651.1	P	0.000244
200706_s_at	337.5	A	0.19458
200707_at	1199.6	P	0.001221
200708_at	357.3	P	0.01416
200709_at	4294.3	P	0.000244
200710_at	2360.6	P	0.000732
200711_s_at	2003.8	P	0.000244
200712_s_at	2924.2	P	0.000244
200713_s_at	7672.4	P	0.000244
200714_x_at	3107.4	P	0.000732
200715_x_at	10593.7	P	0.000244
200716_x_at	53518.2	P	0.000244
200717_x_at	39663.9	P	0.000244
200718_s_at	4279.1	P	0.000244
200719_at	1201.3	P	0.001221
200720_s_at	751.8	P	0.00293
200721_s_at	540.3	P	0.030273
200722_s_at	1837.6	P	0.000244
200723_s_at	2968.1	P	0.000244
200724_at	188.7	A	0.27417
200725_x_at	31877	P	0.000244
200726_at	2362.8	P	0.000244
200727_s_at	831.7	P	0.018555
200728_at	2948	P	0.000244
200729_s_at	2407.9	P	0.000244
200730_s_at	1229.1	P	0.000244
200731_s_at	821.8	P	0.000732
200732_s_at	1440.2	P	0.001953
200733_s_at	497	P	0.000244
200734_s_at	500.9	A	0.27417
200735_x_at	23135.8	P	0.000244
200736_s_at	2853.1	P	0.000244
200737_at	1606.8	P	0.000732
200738_s_at	4558.1	P	0.000244
200739_s_at	1313.8	P	0.000732
200740_s_at	3600.4	P	0.000244
200741_s_at	35106.6	P	0.000244
200742_s_at	1146.9	P	0.000244
200743_s_at	1587.3	P	0.000244
200744_s_at	2659.8	P	0.000244
200745_s_at	4099.3	P	0.000244
200746_s_at	4987.8	P	0.000244
200747_s_at	2128.1	P	0.000244
200748_s_at	13489.4	P	0.000244
200749_at	403.3	P	0.000244
200750_s_at	4108.5	P	0.000244
200751_s_at	1324.1	P	0.001953
200752_s_at	454.5	P	0.030273
200753_x_at	2711.5	P	0.000732
200754_x_at	15143.6	P	0.000244
200755_s_at	403.2	A	0.080566
200756_x_at	370.2	A	0.27417
200757_s_at	518.2	P	0.018555
200758_s_at	438.6	A	0.067627
200759_x_at	960.2	P	0.008057
200760_s_at	1389.6	P	0.000732
200761_s_at	1613.1	P	0.000732
200762_at	1085.7	P	0.000244
200763_s_at	28424.6	P	0.000244
200764_s_at	677.8	P	0.00415
200765_x_at	528.4	P	0.000732
200766_at	110.9	A	0.149658
200767_s_at	424.5	P	0.00415
200768_s_at	962	P	0.000244
200769_s_at	393.5	A	0.19458
200770_s_at	265.7	P	0.000244
200771_at	356.2	A	0.111572
200772_x_at	24744.6	P	0.000244
200773_x_at	20331.4	P	0.000244
200774_at	1012	P	0.001953
200775_s_at	4078.7	P	0.000244
200776_s_at	1794.8	P	0.00415
200777_s_at	1337.6	P	0.000244
200778_s_at	3961.5	P	0.000244
200779_at	8466.3	P	0.000732
200780_x_at	30396.2	P	0.000244
200781_s_at	39808.3	P	0.000244
200782_at	292.2	P	0.037598
200783_s_at	3409.2	P	0.000244
200784_s_at	14.2	A	0.989258
200785_s_at	146.4	A	0.398926
200786_at	2018.5	P	0.000244
200787_s_at	375.7	P	0.037598
200788_s_at	449.5	P	0.010742
200789_at	827.6	A	0.095215
200790_at	4582.7	P	0.000244
200791_s_at	840	P	0.001221
200792_at	5977	P	0.001953
200793_s_at	968.6	A	0.111572
200794_x_at	11554.2	P	0.000244
200795_at	164.7	A	0.246094
200796_s_at	232.2	A	0.080566
200797_s_at	5637.2	P	0.000244
200798_x_at	1486.1	P	0.000244
200799_at	239.9	A	0.095215
200800_s_at	18.9	A	0.72583
200801_x_at	24828.1	P	0.000244
200802_at	1112.7	P	0.00293
200803_s_at	2155.2	P	0.001953
200804_at	2981.3	P	0.000244
200805_at	439.8	P	0.046143
200806_s_at	2013.6	P	0.000244
200807_s_at	3399.1	P	0.000244
200808_s_at	783.8	P	0.005859
200809_x_at	23333.3	P	0.000244
200810_s_at	9167.1	P	0.000244
200811_at	7293.5	P	0.001953
200812_at	571.8	P	0.00415
200813_s_at	1121.9	P	0.008057
200814_at	4328.3	P	0.000244
200815_s_at	2182.5	P	0.000244
200816_s_at	1528	P	0.000244
200817_x_at	49063.2	P	0.000244
200818_at	3426.3	P	0.000244
200819_s_at	34550.1	P	0.000244
200820_at	716.2	P	0.005859
200821_at	445	P	0.00415
200822_x_at	1455.3	P	0.001953
200823_x_at	16338.5	P	0.000244
200824_at	860.5	P	0.001221
200825_s_at	1188.6	P	0.018555
200826_at	5056.5	P	0.000244
200827_at	138.1	A	0.219482
200828_s_at	8270.4	P	0.000244
200829_x_at	4059.2	P	0.000244
200830_at	1614	P	0.000244
200831_s_at	104.8	A	0.665527
200832_s_at	11.1	A	0.943848
200833_s_at	9586.4	P	0.000244
200834_s_at	20465	P	0.000244
200835_s_at	19.3	A	0.981445
200836_s_at	292.9	A	0.303711
200837_at	873.9	P	0.01416
200838_at	590.9	A	0.067627
200839_s_at	688.4	P	0.00293
200840_at	3481.8	P	0.000244
200841_s_at	234.6	A	0.149658
200842_s_at	204.2	P	0.037598
200843_s_at	431.6	P	0.023926
200844_s_at	2833.8	P	0.000244
200845_s_at	1195.9	P	0.000244
200846_s_at	491.9	P	0.01416
200847_s_at	4425.2	P	0.000244
200848_at	321.6	A	0.111572
200849_s_at	684.3	A	0.067627
200850_s_at	897.5	P	0.000244
200851_s_at	5806.3	P	0.000732
200852_x_at	1155.8	P	0.008057
200853_at	6373.3	P	0.001221
200854_at	481.6	P	0.000244
200855_at	202.1	M	0.056152
200856_x_at	379.4	P	0.00415
200857_s_at	1233.7	P	0.001953
200858_s_at	15973	P	0.000244
200859_x_at	310.6	P	0.018555
200860_s_at	1538.5	P	0.000244
200861_at	994	P	0.005859
200862_at	310.5	P	0.030273
200863_s_at	3872.5	P	0.000732
200864_s_at	459.5	P	0.000244
200865_at	37.5	A	0.567627
200866_s_at	1941.3	P	0.001953
200867_at	726	P	0.000244
200868_s_at	1425.6	P	0.005859
200869_at	27916.6	P	0.000244
200870_at	4196	P	0.000244
200871_s_at	1868.1	P	0.000244
200872_at	267.3	A	0.27417
200873_s_at	4086.2	P	0.000244
200874_s_at	425.6	P	0.000244
200875_s_at	896.2	P	0.000244
200876_s_at	3525.5	P	0.000244
200877_at	3569	P	0.000244
200878_at	129.9	A	0.5
200879_s_at	26.3	A	0.533936
200880_at	2374.9	P	0.001221
200881_s_at	2783.1	P	0.000244
200882_s_at	1215	P	0.000732
200883_at	1658.8	P	0.000732
200884_at	200.8	A	0.111572
200885_at	246.5	A	0.129639
200886_s_at	1624.4	P	0.000732
200887_s_at	730.6	P	0.00293
200888_s_at	17472.8	P	0.000244
200889_s_at	526.9	P	0.000244
200890_s_at	280.8	P	0.010742
200891_s_at	950.9	P	0.000244
200892_s_at	5364.8	P	0.000244
200893_at	6216.4	P	0.000244
200894_s_at	139.6	A	0.398926
200895_s_at	201.8	A	0.27417
200896_x_at	2456.9	P	0.000244
200897_s_at	82.6	A	0.366211
200898_s_at	5142.6	P	0.000244
200899_s_at	1633.7	P	0.000244
200900_s_at	350	P	0.01416
200901_s_at	1060.2	P	0.008057
200902_at	1574.4	P	0.000244
200903_s_at	710.7	P	0.000732
200904_at	5550	P	0.000244
200905_x_at	17952.6	P	0.000244
200906_s_at	34.6	A	0.665527
200907_s_at	72.4	A	0.567627
200908_s_at	309.3	A	0.149658
200909_s_at	23967.7	P	0.000244
200910_at	1394.9	P	0.000732
200911_s_at	4479.1	P	0.001953
200912_s_at	14362.4	P	0.000244
200913_at	588.3	P	0.000732
200914_x_at	545.1	P	0.010742
200915_x_at	1873	P	0.000244
200916_at	1087.5	P	0.01416
200917_s_at	240.5	A	0.149658
200918_s_at	3033.4	P	0.000732
200919_at	2250.8	P	0.008057
200920_s_at	18181.5	P	0.000244
200921_s_at	11274.2	P	0.000244
200922_at	527.8	P	0.01416
