^SAMPLE = GSM705967
!Sample_title = SJETV107
!Sample_geo_accession = GSM705967
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 08 2011
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705967/suppl/GSM705967.CEL.gz
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1988.4	P	0.021866
1053_at	253.3	A	0.378184
117_at	185.3	A	0.378184
121_at	1424.7	P	0.008689
1255_g_at	196.3	A	0.32083
1294_at	1450.8	P	0.003067
1316_at	129.5	A	0.438361
1320_at	126.4	A	0.715253
1405_i_at	331.8	A	0.135974
1431_at	78.4	A	0.602006
1438_at	81.5	A	0.956032
1487_at	806.1	A	0.189687
1494_f_at	635.1	A	0.098054
1598_g_at	1018.3	A	0.189687
160020_at	910	M	0.05447
1729_at	369.5	A	0.397994
1773_at	84.3	A	0.810313
177_at	170	A	0.47938
179_at	1416	A	0.150527
1861_at	168.8	A	0.602006
200000_s_at	4450.2	P	0.000732
200001_at	2731.9	P	0.010742
200002_at	16037.2	P	0.000244
200003_s_at	25108.5	P	0.000244
200004_at	11379.2	P	0.000244
200005_at	4732.1	P	0.000244
200006_at	2282.8	P	0.000244
200007_at	6403.2	P	0.000244
200008_s_at	2607	P	0.000244
200009_at	4365.1	P	0.000244
200010_at	16789.8	P	0.000244
200011_s_at	854.2	P	0.005859
200012_x_at	23202.3	P	0.000244
200013_at	20665.2	P	0.000244
200014_s_at	1587.3	P	0.000244
200015_s_at	2229.8	P	0.000732
200016_x_at	24449.3	P	0.000244
200017_at	10142.2	P	0.001221
200018_at	23165.2	P	0.000244
200019_s_at	27162.7	P	0.000244
200020_at	1037.5	P	0.000244
200021_at	23147.9	P	0.001953
200022_at	23044	P	0.000244
200023_s_at	9652.2	P	0.000244
200024_at	16860.9	P	0.001221
200025_s_at	19933.3	P	0.000244
200026_at	26619.2	P	0.00293
200027_at	2238.8	P	0.000244
200028_s_at	1446	P	0.00293
200029_at	18444.8	P	0.000244
200030_s_at	11834.5	P	0.000244
200031_s_at	41537.7	P	0.000244
200032_s_at	25468.9	P	0.000244
200033_at	18096.6	P	0.000244
200034_s_at	14894.8	P	0.000244
200035_at	1895.9	P	0.046143
200036_s_at	10486.4	P	0.000244
200037_s_at	2709.1	P	0.001953
200038_s_at	23352.6	P	0.000244
200039_s_at	1591.3	P	0.00415
200040_at	1821.9	P	0.001221
200041_s_at	9139.4	P	0.000244
200042_at	1132.9	A	0.067627
200043_at	3232.3	P	0.001953
200044_at	2408.6	P	0.000244
200045_at	1618.1	P	0.000244
200046_at	1432.6	P	0.001953
200047_s_at	1738.2	P	0.000244
200048_s_at	4049.9	P	0.00293
200049_at	902.3	P	0.000732
200050_at	579.7	P	0.018555
