^SAMPLE = GSM705980
!Sample_title = SJETV019
!Sample_geo_accession = GSM705980
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 3_ETV6_RUNX1
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = ETV6-RUNX1 B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705980/suppl/GSM705980.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	2017.5	P	0.003067
1053_at	181.4	P	0.048995
117_at	219.4	A	0.284747
121_at	2792.6	P	0.008689
1255_g_at	114.6	A	0.339558
1294_at	1899.2	P	0.000673
1316_at	310.1	P	0.02786
1320_at	41.4	A	0.64131
1405_i_at	134	A	0.150145
1431_at	126.1	A	0.089405
1438_at	149.9	A	0.418069
1487_at	485	A	0.189687
1494_f_at	570.3	P	0.02786
1598_g_at	1631.8	P	0.031336
160020_at	1459.1	P	0.031336
1729_at	536.3	A	0.11716
1773_at	342.9	A	0.218983
177_at	153	A	0.35869
179_at	2159	A	0.089405
1861_at	166	A	0.47938
200000_s_at	3501.3	P	0.001953
200001_at	3326.1	P	0.001953
200002_at	5886.6	P	0.000244
200003_s_at	14663.4	P	0.000244
200004_at	7720.1	P	0.000244
200005_at	3381.7	P	0.000244
200006_at	3061.8	P	0.000244
200007_at	6075.5	P	0.000244
200008_s_at	7052.9	P	0.000244
200009_at	9137.7	P	0.000244
200010_at	12854.7	P	0.000244
200011_s_at	1521.8	P	0.00293
200012_x_at	13859	P	0.000244
200013_at	10077.7	P	0.000244
200014_s_at	1784.3	P	0.000244
200015_s_at	1342.7	P	0.001221
200016_x_at	15681.8	P	0.000244
200017_at	15238	P	0.000244
200018_at	20608.6	P	0.000244
200019_s_at	7694.3	P	0.000244
200020_at	1824.1	P	0.000244
200021_at	25579.4	P	0.001953
200022_at	19434.4	P	0.000732
200023_s_at	8717.3	P	0.000244
200024_at	7696.8	P	0.001221
200025_s_at	16703.4	P	0.000244
200026_at	16397.4	P	0.001953
200027_at	1684.6	P	0.000244
200028_s_at	2026.2	P	0.00293
200029_at	15045.2	P	0.000244
200030_s_at	6382.6	P	0.000244
200031_s_at	38888.2	P	0.000244
200032_s_at	24978.9	P	0.000244
200033_at	8639.1	P	0.000244
200034_s_at	13278.4	P	0.000244
200035_at	1164.1	P	0.018555
200036_s_at	7555.1	P	0.000244
200037_s_at	2297.7	P	0.000244
200038_s_at	19297.8	P	0.000244
200039_s_at	1702	P	0.000732
200040_at	2048.2	P	0.000244
200041_s_at	7245.8	P	0.000244
200042_at	1613	P	0.018555
200043_at	3357.8	P	0.001953
200044_at	2881.7	P	0.000244
200045_at	1582.6	P	0.008057
200046_at	1348.1	P	0.001953
200047_s_at	2010.5	P	0.000244
200048_s_at	3871.9	P	0.000244
200049_at	949.2	P	0.00293
200050_at	1748.5	P	0.000244
200051_at	464.3	P	0.037598
200052_s_at	1761.9	P	0.000244
200053_at	1166.2	P	0.000244
200054_at	284.3	P	0.005859
200055_at	1923.4	P	0.000732
200056_s_at	417.4	P	0.01416
200057_s_at	8240.7	P	0.000244
200058_s_at	3189.5	P	0.000244
200059_s_at	13021.3	P	0.000244
200060_s_at	3567	P	0.001953
200061_s_at	20221.9	P	0.000244
200062_s_at	25972.7	P	0.000244
200063_s_at	9206.7	P	0.000244
200064_at	6223.5	P	0.000732
200065_s_at	4366.1	P	0.000244
200066_at	761.3	P	0.001221
200067_x_at	1916.4	P	0.000244
200068_s_at	3963.5	P	0.000244
200069_at	734	P	0.00415
200070_at	654.2	P	0.005859
200071_at	623.4	P	0.018555
200072_s_at	3291.1	P	0.000244
200073_s_at	2442.9	P	0.000244
200074_s_at	5287	P	0.000244
200075_s_at	912.5	P	0.001221
200076_s_at	895.2	P	0.00415
200077_s_at	11143.3	P	0.000244
200078_s_at	2490.5	P	0.023926
200079_s_at	2133.2	P	0.000732
200080_s_at	14293.2	P	0.000244
200081_s_at	19557.2	P	0.000244
200082_s_at	17363.9	P	0.000244
200083_at	2981.9	P	0.001953
200084_at	2024.6	P	0.000244
200085_s_at	2145.5	P	0.001953
200086_s_at	1904.1	P	0.000244
200087_s_at	1961.9	P	0.000244
200088_x_at	14485.5	P	0.000244
200089_s_at	9290.8	P	0.000244
200090_at	3660.5	P	0.001953
200091_s_at	7494.1	P	0.000244
200092_s_at	10518.4	P	0.000244
200093_s_at	1769.1	P	0.000244
200094_s_at	5834.2	P	0.000244
200095_x_at	30150.6	P	0.000244
200096_s_at	1478.1	P	0.000732
200097_s_at	3699	P	0.000244
200098_s_at	2118.8	P	0.005859
200099_s_at	24590.3	P	0.000244
200593_s_at	2339.5	P	0.000244
200594_x_at	6308.6	P	0.000244
200595_s_at	1439.4	P	0.000244
200596_s_at	729.4	P	0.030273
200597_at	499.2	P	0.037598
200598_s_at	1239.3	P	0.000244
200599_s_at	2089	P	0.000244
200600_at	3367.1	P	0.000244
200601_at	684.3	A	0.067627
200602_at	258.5	P	0.023926
200603_at	2201.1	P	0.000244
200604_s_at	1821.2	P	0.000244
200605_s_at	2417.4	P	0.000244
200606_at	150.3	A	0.19458
200607_s_at	1723.3	P	0.008057
