ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1251.2,P,0.021866
1053_at,271.8,A,0.138765
117_at,149.6,A,0.561639
121_at,1391,P,0.017001
1255_g_at,183.6,A,0.32083
1294_at,889.3,P,0.001141
1316_at,196.9,A,0.150527
1320_at,95.7,A,0.67917
1405_i_at,156.3,P,0.048099
1431_at,99.3,A,0.267463
1438_at,84.5,A,0.621816
1487_at,446.6,A,0.234557
1494_f_at,613.5,P,0.014937
1598_g_at,988.9,A,0.098054
160020_at,559.2,P,0.043968
1729_at,329.1,A,0.458816
1773_at,154.5,A,0.5
177_at,220.1,A,0.250724
179_at,1565,A,0.089405
1861_at,334.5,A,0.284747
200000_s_at,3275,P,0.000732
200001_at,2569.8,P,0.00415
200002_at,17297,P,0.000244
200003_s_at,22707.4,P,0.000244
200004_at,11058.3,P,0.000244
200005_at,4443.6,P,0.000244
200006_at,3003.6,P,0.000244
200007_at,5927.7,P,0.000244
200008_s_at,1901.6,P,0.000244
200009_at,3898.6,P,0.000244
200010_at,18371.6,P,0.000244
200011_s_at,1257.8,P,0.001221
200012_x_at,25742.5,P,0.000244
200013_at,18192.8,P,0.000244
200014_s_at,1182.3,P,0.000732
200015_s_at,1660.2,P,0.001221
200016_x_at,24139.7,P,0.000244
200017_at,13227,P,0.000244
200018_at,25412.9,P,0.000244
200019_s_at,25767.8,P,0.000244
200020_at,929.3,P,0.001953
200021_at,45933.9,P,0.001953
200022_at,23510.8,P,0.000244
200023_s_at,8237.7,P,0.000244
200024_at,11969.8,P,0.001221
200025_s_at,23039.9,P,0.000244
200026_at,27136,P,0.000732
200027_at,1857.8,P,0.000244
200028_s_at,1794,P,0.000732
200029_at,22743.1,P,0.000244
200030_s_at,12073,P,0.000244
200031_s_at,47251.4,P,0.000244
200032_s_at,30682.8,P,0.000244
200033_at,14874.6,P,0.000244
200034_s_at,17109.5,P,0.000244
200035_at,1236.5,P,0.005859
200036_s_at,10434.4,P,0.000244
200037_s_at,2218.6,P,0.001221
200038_s_at,26306.5,P,0.000244
200039_s_at,1228.8,P,0.001221
200040_at,2176.3,P,0.000244
200041_s_at,6677.4,P,0.000244
200042_at,1324.2,P,0.018555
200043_at,3127.7,P,0.001221
200044_at,2113.1,P,0.000244
200045_at,1295.6,P,0.000244
200046_at,1763.4,P,0.000244
200047_s_at,2236.2,P,0.000244
200048_s_at,4514.6,P,0.000244
200049_at,878.1,P,0.001953
200050_at,488,P,0.01416
200051_at,560.2,P,0.005859
200052_s_at,2708.8,P,0.000244
