^SAMPLE = GSM705573
!Sample_title = SJHYPER012
!Sample_geo_accession = GSM705573
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: neg
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705573/suppl/GSM705573.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	631	P	0.002617
1053_at	376.7	P	0.003585
117_at	94.1	A	0.35869
121_at	1236.9	P	0.013092
1255_g_at	83.8	A	0.32083
1294_at	956.1	P	0.000388
1316_at	156.6	A	0.081337
1320_at	47.5	A	0.749276
1405_i_at	304.3	P	0.027766
1431_at	104.5	A	0.066865
1438_at	227.4	A	0.189687
1487_at	552.7	M	0.060419
1494_f_at	328.3	A	0.089405
1598_g_at	679.6	A	0.150527
160020_at	674.6	P	0.02786
1729_at	466.5	P	0.006532
1773_at	318.8	A	0.107301
177_at	190.8	A	0.07383
179_at	1240.9	P	0.048995
1861_at	323.8	P	0.024711
200000_s_at	3831.3	P	0.000244
200001_at	5273.1	P	0.000732
200002_at	9896.2	P	0.000244
200003_s_at	16837.8	P	0.000244
200004_at	7689.3	P	0.000244
200005_at	6861.3	P	0.000244
200006_at	3275.9	P	0.000244
200007_at	5087.6	P	0.000244
200008_s_at	7200.9	P	0.000244
200009_at	11953.6	P	0.000244
200010_at	19429.5	P	0.000244
200011_s_at	2148.9	P	0.000244
200012_x_at	18770.1	P	0.000244
200013_at	12236.9	P	0.000244
200014_s_at	1849	P	0.000244
200015_s_at	1750.9	P	0.000732
200016_x_at	20366.7	P	0.000244
200017_at	14401.5	P	0.000732
200018_at	26326.7	P	0.000244
200019_s_at	18088.5	P	0.000244
200020_at	1638.5	P	0.000244
200021_at	30705.7	P	0.001221
200022_at	15863.4	P	0.000244
200023_s_at	9273.1	P	0.000244
200024_at	10933.1	P	0.000732
200025_s_at	21848.7	P	0.000244
200026_at	32099.5	P	0.000732
200027_at	3069.7	P	0.000244
200028_s_at	2748	P	0.000244
200029_at	22080.6	P	0.000244
200030_s_at	9568.6	P	0.000244
200031_s_at	37432.4	P	0.000244
200032_s_at	34234.5	P	0.000244
200033_at	10877.9	P	0.000244
200034_s_at	18868.7	P	0.000244
200035_at	1601.6	P	0.001953
200036_s_at	13404.7	P	0.000244
200037_s_at	2223.9	P	0.000244
200038_s_at	22714.3	P	0.000244
200039_s_at	1816.1	P	0.000244
200040_at	3598.4	P	0.000244
200041_s_at	9182.4	P	0.000244
200042_at	1288.3	P	0.001953
200043_at	7312.4	P	0.000244
200044_at	5118.3	P	0.000244
200045_at	1934	P	0.000244
200046_at	2097.2	P	0.000244
200047_s_at	2398.4	P	0.000244
200048_s_at	4894.2	P	0.000244
200049_at	1012.1	P	0.000244
200050_at	1414.1	P	0.00293
200051_at	538.5	P	0.000244
