^SAMPLE = GSM705582
!Sample_title = SJHYPER013
!Sample_geo_accession = GSM705582
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: neg
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705582/suppl/GSM705582.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	1903.2	P	0.008689
1053_at	205.3	A	0.107301
117_at	148	A	0.438361
121_at	3081.9	P	0.014937
1255_g_at	152.2	A	0.234557
1294_at	2129.8	P	0.001354
1316_at	436	P	0.043968
1320_at	48.1	A	0.749276
1405_i_at	245.3	P	0.003815
1431_at	48.1	A	0.218983
1438_at	96.1	A	0.64131
1487_at	499.2	A	0.378184
1494_f_at	752.9	A	0.07383
1598_g_at	1360.4	P	0.031336
160020_at	1558	P	0.039365
1729_at	575.8	A	0.189687
1773_at	70.4	A	0.621816
177_at	101	A	0.52062
179_at	1097.4	A	0.218983
1861_at	125.4	A	0.621816
200000_s_at	2200	P	0.00293
200001_at	1911.5	P	0.00415
200002_at	12231.5	P	0.000244
200003_s_at	17870.7	P	0.000244
200004_at	5238.3	P	0.000244
200005_at	2735	P	0.000244
200006_at	3373.8	P	0.000732
200007_at	4597.2	P	0.000732
200008_s_at	2942.8	P	0.000244
200009_at	4597.5	P	0.000244
200010_at	14626.9	P	0.000244
200011_s_at	1959.4	P	0.005859
200012_x_at	20525.5	P	0.000244
200013_at	11353.3	P	0.000244
200014_s_at	1281.5	P	0.000732
200015_s_at	1894.9	P	0.00293
200016_x_at	15581.9	P	0.000244
200017_at	12408.9	P	0.001221
200018_at	19436.3	P	0.000244
200019_s_at	11835.4	P	0.000244
200020_at	1811	P	0.000244
200021_at	27085.4	P	0.005859
200022_at	15857.1	P	0.001221
200023_s_at	8236.1	P	0.000244
200024_at	7395.1	P	0.001221
200025_s_at	15752.7	P	0.000244
200026_at	36554.5	P	0.00293
200027_at	1833.5	P	0.000244
200028_s_at	2414.5	P	0.00293
200029_at	16610.3	P	0.000244
200030_s_at	5758.3	P	0.000244
200031_s_at	33500.6	P	0.000244
200032_s_at	32623.5	P	0.000244
200033_at	10876.6	P	0.000244
200034_s_at	13628.8	P	0.000244
200035_at	775.4	P	0.001221
200036_s_at	9387.9	P	0.000244
200037_s_at	2188.1	P	0.000732
200038_s_at	15765.5	P	0.000244
200039_s_at	1800.1	P	0.00415
200040_at	1702.9	P	0.000732
200041_s_at	9253.8	P	0.000244
200042_at	1614.5	P	0.037598
200043_at	4517.6	P	0.00293
200044_at	1617.8	P	0.000732
200045_at	1198.9	P	0.00415
200046_at	1557.3	P	0.001953
200047_s_at	2125.2	P	0.000244
200048_s_at	1857.2	P	0.000244
200049_at	849.3	P	0.00415
200050_at	1204.9	P	0.000732
200051_at	501.8	P	0.01416
