^SAMPLE = GSM705617
!Sample_title = SJHYPER019
!Sample_geo_accession = GSM705617
!Sample_status = Public on Apr 20 2011
!Sample_submission_date = Apr 08 2011
!Sample_last_update_date = Nov 14 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Leukemic cells obtained from bone marrow or blood at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: tumor cells obtained at diagnosis
!Sample_characteristics_ch1 = subtype: 1_Hyperdiploid
!Sample_characteristics_ch1 = day 19: pos
!Sample_characteristics_ch1 = day 46: pos
!Sample_growth_protocol_ch1 = No growth protocol. Cells were obtained from bone marrow or blood from children with acute lymphoblastic leukemia
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix One-Cycle protocol from 1 ug of total RNA
!Sample_hyb_protocol = Following fragmentation, 15 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.
!Sample_scan_protocol = GeneChips were scanned using the GeneChip Scanner 3000 7G.
!Sample_description = High hyperdiploid B-precursor ALL
!Sample_data_processing = The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.
!Sample_platform_id = GPL96
!Sample_contact_name = Charles,G,Mullighan 
!Sample_contact_email = charles.mullighan@stjude.org
!Sample_contact_phone = 901-595-3387
!Sample_contact_fax = 901-595-5947
!Sample_contact_laboratory = Mullighan
!Sample_contact_department = Pathology
!Sample_contact_institute = St. Jude Children's Research Hospital
!Sample_contact_address = 262 Danny Thomas Place, MS 342
!Sample_contact_city = Memphis
!Sample_contact_state = TN
!Sample_contact_zip/postal_code = 38105-3678
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.stjude.org/mullighan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM705nnn/GSM705617/suppl/GSM705617.CEL.gz
!Sample_relation = Reanalyzed by: GSE122505
!Sample_series_id = GSE28497
!Sample_series_id = GSE33315
!Sample_data_row_count = 22283
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1007_s_at	908.6	P	0.001602
1053_at	431	P	0.002617
117_at	169.5	A	0.150527
121_at	1131.1	P	0.001141
1255_g_at	88.9	A	0.107301
1294_at	953.7	P	0.000322
1316_at	102	A	0.098054
1320_at	18.5	A	0.795978
1405_i_at	242.3	P	0.001755
1431_at	119.5	P	0.031336
1438_at	16.4	A	0.849473
1487_at	429.5	A	0.081337
1494_f_at	339.9	P	0.035163
1598_g_at	481.5	M	0.05447
160020_at	464.1	P	0.021866
1729_at	609.5	P	0.000468
1773_at	12.8	A	0.660442
177_at	69.9	A	0.234557
179_at	614.9	A	0.098054
1861_at	139.9	A	0.175989
200000_s_at	3881.6	P	0.000244
200001_at	2502.8	P	0.000732
200002_at	14048.4	P	0.000244
200003_s_at	19285.5	P	0.000244
200004_at	7882	P	0.000244
200005_at	8599.6	P	0.000244
200006_at	4475.8	P	0.000244
200007_at	5918	P	0.000244
200008_s_at	6069.8	P	0.000244
200009_at	11048.6	P	0.000244
200010_at	19687.3	P	0.000244
200011_s_at	1972.8	P	0.000244
200012_x_at	26048.4	P	0.000244
200013_at	19417.3	P	0.000244
200014_s_at	2707.8	P	0.000244
200015_s_at	2364.4	P	0.000732
200016_x_at	21981.4	P	0.000244
200017_at	22782.3	P	0.000244
200018_at	28721.9	P	0.000244
200019_s_at	21818.7	P	0.000244
200020_at	2411	P	0.000244
200021_at	32507.6	P	0.001221
200022_at	20631.5	P	0.000244
200023_s_at	21452.8	P	0.000244
200024_at	15223.5	P	0.000244
200025_s_at	24541	P	0.000244
200026_at	35523	P	0.000732
200027_at	3171	P	0.000244
200028_s_at	2985.8	P	0.000244
200029_at	28241.9	P	0.000244
200030_s_at	10976.2	P	0.000244
200031_s_at	39665.7	P	0.000244
200032_s_at	32864.6	P	0.000244
200033_at	16897.6	P	0.000244
200034_s_at	20102.1	P	0.000244
200035_at	2341.4	P	0.001953
200036_s_at	14890.6	P	0.000244
200037_s_at	2812.7	P	0.000244
200038_s_at	25841.8	P	0.000244
200039_s_at	1541.7	P	0.000244
200040_at	4374.9	P	0.000244
200041_s_at	11250.3	P	0.000244
200042_at	1528.1	P	0.000244
200043_at	7585.6	P	0.000732
200044_at	3347.5	P	0.000244
200045_at	1661.6	P	0.000244
200046_at	2146.9	P	0.000244
200047_s_at	2857.2	P	0.000244
200048_s_at	5488.9	P	0.000244
200049_at	723.7	P	0.000244
200050_at	1134.7	P	0.000244
200051_at	629.9	P	0.000244
200052_s_at	2887.5	P	0.000244
200053_at	1494.3	P	0.000244
200054_at	358.4	P	0.001953
200055_at	3583.5	P	0.000244
200056_s_at	269.2	P	0.000732
200057_s_at	12532.6	P	0.000244
