ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,972.5,P,0.001892
1053_at,392.1,P,0.017001
117_at,144.9,A,0.127645
121_at,1100.2,P,0.021866
1255_g_at,84.2,A,0.250724
1294_at,1069,P,0.000322
1316_at,116.6,A,0.127645
1320_at,25.9,A,0.824011
1405_i_at,138.6,P,0.004591
1431_at,11.1,A,0.581931
1438_at,198.4,A,0.250724
1487_at,391,A,0.081337
1494_f_at,278.7,A,0.107301
1598_g_at,615.8,M,0.060419
160020_at,635.5,P,0.017001
1729_at,394.3,P,0.02786
1773_at,203.7,A,0.098054
177_at,43.1,A,0.52062
179_at,856,M,0.05447
1861_at,241.3,M,0.05447
200000_s_at,3783.7,P,0.000244
200001_at,3515.4,P,0.000244
200002_at,10981,P,0.000244
200003_s_at,24567.9,P,0.000244
200004_at,8251,P,0.000244
200005_at,3853.5,P,0.000244
200006_at,5719.2,P,0.000244
200007_at,6472.5,P,0.000244
200008_s_at,7045.2,P,0.000244
200009_at,9548,P,0.000244
200010_at,15411.6,P,0.000244
200011_s_at,1202.9,P,0.000244
200012_x_at,13133.8,P,0.000244
200013_at,9285.8,P,0.000244
200014_s_at,3255.1,P,0.000244
200015_s_at,3382.5,P,0.000244
200016_x_at,18755,P,0.000244
200017_at,17234.8,P,0.000244
200018_at,19262.7,P,0.000244
200019_s_at,15446.3,P,0.000244
200020_at,2457.8,P,0.000244
200021_at,17489.4,P,0.00415
200022_at,12865.2,P,0.000244
200023_s_at,9314.1,P,0.000244
200024_at,11050,P,0.000732
200025_s_at,29055.6,P,0.000244
200026_at,38119.1,P,0.000732
200027_at,3275.7,P,0.000244
200028_s_at,2666.2,P,0.000244
200029_at,27149.9,P,0.000244
200030_s_at,5095.8,P,0.000244
200031_s_at,33467.8,P,0.000244
200032_s_at,42366.7,P,0.000244
200033_at,16105.7,P,0.000244
200034_s_at,15966.5,P,0.000244
200035_at,2423.3,P,0.001953
200036_s_at,19023.7,P,0.000244
200037_s_at,3059.2,P,0.000244
200038_s_at,25416.5,P,0.000244
200039_s_at,2321.2,P,0.000244
200040_at,2938.6,P,0.000244
200041_s_at,7695.7,P,0.000244
200042_at,1039.8,P,0.001953
200043_at,12130.3,P,0.000244
200044_at,4732,P,0.000244
200045_at,1899.8,P,0.000244
200046_at,2544.3,P,0.000244
200047_s_at,3484.8,P,0.000244
200048_s_at,3204.3,P,0.000244
200049_at,1042.2,P,0.000244
200050_at,2025.8,P,0.000244
200051_at,675.2,P,0.001221
200052_s_at,3387.8,P,0.000244
200053_at,1832.9,P,0.000244
200054_at,303.3,P,0.00415
200055_at,2246.6,P,0.000244
200056_s_at,504.3,P,0.000732
200057_s_at,15795,P,0.000244
200058_s_at,3279.1,P,0.000244
200059_s_at,12607.1,P,0.000244
200060_s_at,2671.3,P,0.000732
200061_s_at,35290.1,P,0.000244
200062_s_at,30645.2,P,0.000244
200063_s_at,11768.6,P,0.000244
200064_at,10564.4,P,0.000732
200065_s_at,4684,P,0.000244
200066_at,1219.1,P,0.000244
200067_x_at,3207.6,P,0.000244
200068_s_at,3564.7,P,0.000244
200069_at,954.5,P,0.000244
200070_at,594.5,P,0.005859
200071_at,1147.5,P,0.001953
200072_s_at,3538.2,P,0.000244
200073_s_at,5388.7,P,0.000244
200074_s_at,7921.3,P,0.000244
200075_s_at,1149.5,P,0.000244
200076_s_at,1079.1,P,0.000244
200077_s_at,12157.9,P,0.000244
200078_s_at,2308.1,P,0.001953
200079_s_at,3084.7,P,0.000244
200080_s_at,16277,P,0.000244
200081_s_at,20509.2,P,0.000244
200082_s_at,18355.6,P,0.000244
200083_at,2373.7,P,0.000732
200084_at,2826.8,P,0.000244
200085_s_at,2585.5,P,0.000244
200086_s_at,3083.1,P,0.000244
